training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.49,0.62,0.94,0.48,0.63,1.0,and(!$GoldPrice_bin2 !$GoldPrice_bin4 !$MinningDifficulty_bin3 !$MinningDifficulty_bin4 !$MinningDifficulty_bin6 !$TransactionVolume_USD_bin1) 
0.42,0.58,0.93,0.38,0.57,1.0,and(!$GoldPrice_bin2 !$GoldPrice_bin4 !$MinningDifficulty_bin4 !$MinningDifficulty_bin6 !$TransactionVolume_USD_bin1 !$TransactionVolume_USD_bin5) 
0.41,0.57,0.92,0.71,0.57,0.68,and(!$MinningDifficulty_bin3 !$MinningDifficulty_bin6 !$TransactionFee_bin0 !$TransactionFee_bin1 !$TransactionFee_bin2 !$TransactionVolume_USD_bin4) 
0.4,0.57,0.92,0.71,0.57,0.68,and(!$HashRate_bin3 !$MinningDifficulty_bin6 !$TransactionFee_bin0 !$TransactionFee_bin1 !$TransactionFee_bin2 !$TransactionVolume_USD_bin4) 
0.48,0.61,0.92,0.33,0.53,1.0,and(!$GoldPrice_bin2 !$GoldPrice_bin4 !$MinningDifficulty_bin3 !$MinningDifficulty_bin6 !$TransactionVolume_USD_bin1 !$TransactionVolume_USD_bin4) 
0.52,0.63,0.9,0.48,0.63,1.0,and(!$GoldPrice_bin2 !$GoldPrice_bin4 !$MinningDifficulty_bin4 !$MinningDifficulty_bin6 !$TransactionVolume_USD_bin1) 
0.58,0.66,0.9,0.48,0.63,1.0,and(!$GoldPrice_bin2 !$GoldPrice_bin4 !$MinningDifficulty_bin3 !$MinningDifficulty_bin6 !$TransactionVolume_USD_bin1) 
0.49,0.62,0.94,0.48,0.63,1.0,and(or(!$TransactionVolume_USD_bin1 $TransactionVolume_USD_bin6) !$GoldPrice_bin2 !$GoldPrice_bin4 !$MinningDifficulty_bin3 !$MinningDifficulty_bin4 !$MinningDifficulty_bin6) 
0.58,0.68,0.93,0.48,0.63,1.0,and(or(!$MinningDifficulty_bin4 !$TransactionVolume_USD_bin4) !$GoldPrice_bin2 !$GoldPrice_bin4 !$MinningDifficulty_bin3 !$MinningDifficulty_bin6 !$TransactionVolume_USD_bin1) 
0.57,0.65,0.87,0.71,0.57,0.68,and(!$GoldPrice_bin4 !$MinningDifficulty_bin6 !$TransactionVolume_USD_bin1 !$TransactionVolume_USD_bin4) 
