training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.55,0.74,0.94,0.95,0.77,0.78,and(or($MarketCap_bin0 $MarketCap_bin1 $TransactionVolume_USD_bin0) !$MempoolSize_bin4 !$MempoolSize_bin5 !$MinningDifficulty_bin7) 
0.53,0.72,0.92,0.68,0.67,0.83,and(or(and(!$GTrends_bin0 !$MinningDifficulty_bin0) !$MempoolSize_bin4) or($MarketCap_bin0 $TransactionVolume_USD_bin0) !$MempoolSize_bin5 !$MinningDifficulty_bin7) 
0.52,0.72,0.92,0.68,0.67,0.83,and(or(and(!$BlockSize_bin3 !$GTrends_bin0) !$MempoolSize_bin4) or($MarketCap_bin0 $TransactionVolume_USD_bin0) !$MempoolSize_bin5 !$MinningDifficulty_bin7) 
0.52,0.72,0.92,0.68,0.67,0.83,and(or(and(!$GTrends_bin0 !$HashRate_bin0) !$MempoolSize_bin4) or($MarketCap_bin0 $TransactionVolume_USD_bin0) !$MempoolSize_bin5 !$MinningDifficulty_bin7) 
0.62,0.78,0.94,1.0,0.8,0.79,and(or(and(!$BlockSize_bin3 !$GTrends_bin0) !$MempoolSize_bin4) or($MarketCap_bin0 $MarketCap_bin1 $TransactionVolume_USD_bin0) !$MempoolSize_bin5 !$MinningDifficulty_bin7) 
0.62,0.78,0.94,1.0,0.8,0.79,and(or(and(!$BlockSize_bin3 !$GTrends_bin0) !$MempoolSize_bin4) or($MarketCap_bin0 !$MarketCap_bin2 $TransactionVolume_USD_bin0) !$MempoolSize_bin5 !$MinningDifficulty_bin7) 
0.55,0.72,0.89,0.86,0.7,0.76,and(or($MarketCap_bin1 $TransactionVolume_USD_bin0) or(!$BlockSize_bin3 $GoldPrice_bin1) !$MempoolCount_bin5 !$MinningDifficulty_bin7) 
0.48,0.67,0.83,0.59,0.6,0.81,and(!$MempoolCount_bin5 !$MinningDifficulty_bin7 $TransactionVolume_USD_bin0) 
0.48,0.67,0.83,0.59,0.6,0.81,and(!$MempoolSize_bin5 !$MinningDifficulty_bin7 $TransactionVolume_USD_bin0) 
0.53,0.71,0.89,0.68,0.67,0.83,and(or($MarketCap_bin0 $TransactionVolume_USD_bin0) or(!$GTrends_bin0 !$MempoolSize_bin4) !$MempoolSize_bin5 !$MinningDifficulty_bin7) 
