training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.41,0.58,0.82,0.35,0.43,0.8,or(and(!$BlockSize_bin2 $MinningDifficulty_bin0) $GoldPrice_bin3) 
0.46,0.6,0.82,0.0,0.23,-1.0,or(and(!$HashRate_bin4 $MinningDifficulty_bin3) $HashRate_bin0 $MinningDifficulty_bin6) 
0.41,0.58,0.82,0.0,0.23,-1.0,or(and($MinningDifficulty_bin3 $TransactionFee_bin0) $HashRate_bin0 $MinningDifficulty_bin0) 
0.39,0.56,0.81,0.35,0.5,1.0,or($HashRate_bin0 $MempoolCount_bin8 $MinningDifficulty_bin6) 
0.39,0.56,0.81,0.35,0.43,0.8,and(or($GoldPrice_bin3 $MinningDifficulty_bin0) !$BlockSize_bin2) 
0.38,0.54,0.77,0.0,0.23,-1.0,or($MinningDifficulty_bin0 $MinningDifficulty_bin6) 
0.42,0.57,0.79,0.0,0.23,-1.0,or($HashRate_bin0 $MinningDifficulty_bin0 $MinningDifficulty_bin6) 
0.39,0.57,0.81,0.0,0.23,-1.0,and(or($HashRate_bin0 $MinningDifficulty_bin0 $MinningDifficulty_bin6) !$TransactionPerDay_bin9) 
0.42,0.58,0.81,0.0,0.23,-1.0,or(and($MinningDifficulty_bin6 $TransactionFee_bin0) $HashRate_bin0 $MinningDifficulty_bin0) 
0.4,0.56,0.79,0.17,0.33,0.8,or($MinningDifficulty_bin0 $MinningDifficulty_bin6 $TransactionPerDay_bin8) 
