training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.55,0.59,1.0,0.0,0.57,0.0,$TransactionVolume_USD_bin0 
0.35,0.41,1.0,0.0,0.47,0.0,$TransactionVolume_USD_bin1 
0.85,0.86,1.0,0.75,0.5,0.43,and(!$TransactionPerDay_bin7 !$TransactionFee_bin3) 
0.55,0.59,1.0,0.0,0.57,0.0,and($TransactionVolume_USD_bin0 !$TransactionVolume_USD_bin1) 
0.35,0.41,1.0,0.0,0.47,0.0,and($TransactionVolume_USD_bin1 !$TransactionVolume_USD_bin2) 
0.55,0.59,1.0,0.33,0.57,0.44,or($TransactionVolume_USD_bin0 $TransactionVolume_USD_bin4) 
0.35,0.41,1.0,0.33,0.47,0.33,or($TransactionVolume_USD_bin1 $TransactionVolume_USD_bin4) 
0.8,0.77,0.94,0.58,0.43,0.37,and(!$TransactionPerDay_bin6 !$TransactionVolume_USD_bin3) 
0.65,0.64,0.93,0.33,0.57,0.44,or($TransactionVolume_USD_bin0 $TransactionVolume_USD_bin3) 
0.3,0.36,1.0,0.25,0.67,0.75,$TransactionFee_bin1 
