training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.47,0.64,1.0,0.54,0.6,0.54,or(and(or($TransactionPerDay_bin4 $TransactionFee_bin0) !$TransactionFee_bin4) and($TransactionPerDay_bin2 $TransactionFee_bin1) $TransactionPerDay_bin5) 
0.47,0.64,1.0,0.54,0.57,0.5,or(and(or($TransactionPerDay_bin4 $TransactionFee_bin0) !$TransactionFee_bin4) and($TransactionPerDay_bin3 $TransactionFee_bin2) $TransactionPerDay_bin5) 
0.42,0.61,1.0,0.54,0.6,0.54,or(and(or($TransactionPerDay_bin4 $TransactionFee_bin0) !$TransactionFee_bin4) $TransactionPerDay_bin5) 
0.42,0.61,1.0,0.54,0.6,0.54,or(and(or($TransactionPerDay_bin4 $TransactionFee_bin0) !$TransactionPerDay_bin8 !$TransactionFee_bin4) $TransactionPerDay_bin5) 
0.42,0.61,1.0,0.46,0.6,0.55,or(and(or($TransactionPerDay_bin4 $TransactionFee_bin0) !$TransactionFee_bin2 !$TransactionFee_bin4) $TransactionPerDay_bin5) 
0.42,0.61,1.0,0.54,0.6,0.54,or(and(or($TransactionPerDay_bin4 $TransactionFee_bin0) !$TransactionFee_bin4) $TransactionPerDay_bin5 $TransactionFee_bin0) 
0.42,0.61,1.0,0.46,0.6,0.55,or(and(or(!$TransactionPerDay_bin4 $TransactionVolume_USD_bin1) or($TransactionPerDay_bin4 $TransactionFee_bin0) !$TransactionFee_bin4) $TransactionPerDay_bin5) 
0.42,0.61,1.0,0.54,0.6,0.54,or(and(or($TransactionPerDay_bin4 $TransactionFee_bin0) !$TransactionFee_bin4) and(!$TransactionPerDay_bin2 $TransactionFee_bin0) $TransactionPerDay_bin5) 
0.42,0.61,1.0,0.54,0.6,0.54,or(and(or($TransactionPerDay_bin4 $TransactionFee_bin0) !$TransactionFee_bin4) and($TransactionPerDay_bin2 $TransactionPerDay_bin3) $TransactionPerDay_bin5) 
0.42,0.61,1.0,0.54,0.6,0.54,or(and(or($TransactionPerDay_bin4 $TransactionFee_bin0) !$TransactionFee_bin4) and($TransactionPerDay_bin2 $TransactionFee_bin0) $TransactionPerDay_bin5) 
