training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.44,0.64,1.0,0.17,0.43,0.6,or(and($TransactionPerDay_bin5 $TransactionFee_bin0) $TransactionPerDay_bin4 $TransactionPerDay_bin7) 
0.5,0.68,1.0,0.17,0.43,0.6,or(and(or($MempoolCount_bin8 $TransactionPerDay_bin5) $TransactionFee_bin0) and($TransactionPerDay_bin2 $TransactionPerDay_bin3) $TransactionPerDay_bin4 $TransactionPerDay_bin7) 
0.44,0.64,1.0,0.33,0.43,0.55,or(and($TransactionPerDay_bin5 $TransactionFee_bin0) $TransactionPerDay_bin2 $TransactionPerDay_bin4 $TransactionPerDay_bin7) 
0.44,0.64,1.0,0.17,0.43,0.6,or(and(or($TransactionPerDay_bin4 $TransactionPerDay_bin7) !$TransactionPerDay_bin2) and($TransactionPerDay_bin5 $TransactionFee_bin0)) 
0.44,0.64,1.0,0.17,0.43,0.6,or(and(or($TransactionPerDay_bin4 $TransactionPerDay_bin7) !$TransactionPerDay_bin3) and($TransactionPerDay_bin5 $TransactionFee_bin0)) 
0.44,0.64,1.0,0.17,0.43,0.6,or(and(or($TransactionPerDay_bin4 $TransactionPerDay_bin7) !$TransactionPerDay_bin5) and($TransactionPerDay_bin5 $TransactionFee_bin0)) 
0.44,0.64,1.0,0.17,0.43,0.6,or(and(or($TransactionPerDay_bin4 $TransactionPerDay_bin7) !$TransactionPerDay_bin6) and($TransactionPerDay_bin5 $TransactionFee_bin0)) 
0.44,0.64,1.0,0.17,0.43,0.6,or(and(or($TransactionPerDay_bin4 $TransactionPerDay_bin7) !$TransactionPerDay_bin8) and($TransactionPerDay_bin5 $TransactionFee_bin0)) 
0.44,0.64,1.0,0.17,0.43,0.6,or(and(or($TransactionPerDay_bin4 $TransactionPerDay_bin7) !$TransactionPerDay_bin9) and($TransactionPerDay_bin5 $TransactionFee_bin0)) 
0.5,0.64,0.9,0.22,0.43,0.57,or($TransactionPerDay_bin4 $TransactionPerDay_bin5 $TransactionPerDay_bin7) 
