training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.35,0.43,1.0,0.06,0.43,1.0,and(!$TransactionFee_bin1 $TransactionVolume_USD_bin1) 
0.5,0.52,0.91,1.0,0.6,0.6,!$TransactionVolume_USD_bin0 
0.45,0.48,0.9,0.11,0.47,1.0,$TransactionVolume_USD_bin1 
0.5,0.52,0.91,0.67,0.6,0.67,and(!$TransactionVolume_USD_bin0 !$TransactionVolume_USD_bin3) 
0.5,0.52,0.91,0.83,0.67,0.68,and(!$TransactionVolume_USD_bin0 !$TransactionVolume_USD_bin4) 
0.5,0.52,0.91,1.0,0.6,0.6,or(!$TransactionVolume_USD_bin0 $TransactionVolume_USD_bin1) 
0.45,0.48,0.9,0.83,0.57,0.6,and(!$TransactionPerDay_bin7 !$TransactionVolume_USD_bin0) 
0.45,0.48,0.9,0.11,0.47,1.0,and($TransactionVolume_USD_bin1 !$TransactionVolume_USD_bin2) 
0.45,0.48,0.9,0.44,0.47,0.57,or($TransactionVolume_USD_bin1 $TransactionVolume_USD_bin3) 
0.45,0.48,0.9,0.28,0.4,0.5,or($TransactionVolume_USD_bin1 $TransactionVolume_USD_bin4) 
