training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.42,0.59,0.89,0.0,0.6,-1.0,and(or($TransactionVolume_USD_bin1 $TransactionVolume_USD_bin3) !$BlockSize_bin5 !$GoldPrice_bin6) 
0.43,0.6,0.91,0.42,0.5,0.38,or(and(!$GoldPrice_bin6 !$TransactionPerDay_bin5 !$TransactionPerDay_bin6 $TransactionVolume_USD_bin1) $TransactionVolume_USD_bin3) 
0.43,0.6,0.91,0.0,0.57,0.0,and(or(and(!$TransactionPerDay_bin5 !$TransactionPerDay_bin6 $TransactionVolume_USD_bin1) $TransactionVolume_USD_bin3) !$GoldPrice_bin6) 
0.45,0.6,0.88,0.0,0.57,0.0,and(or(and(!$TransactionPerDay_bin6 $TransactionVolume_USD_bin1) $TransactionVolume_USD_bin3) !$GoldPrice_bin6) 
0.42,0.59,0.87,0.42,0.5,0.38,or(and(!$HashRate_bin3 !$TransactionPerDay_bin5 $TransactionVolume_USD_bin1) $TransactionVolume_USD_bin3) 
0.43,0.6,0.89,0.42,0.5,0.38,or(and(!$BlockSize_bin5 !$GoldPrice_bin6 !$TransactionPerDay_bin5 $TransactionVolume_USD_bin1) $TransactionVolume_USD_bin3) 
0.43,0.6,0.89,0.0,0.57,0.0,and(or(and(!$BlockSize_bin5 !$TransactionPerDay_bin5 $TransactionVolume_USD_bin1) $TransactionVolume_USD_bin3) !$GoldPrice_bin6) 
0.43,0.6,0.89,0.0,0.6,-1.0,and(or(and(!$BlockSize_bin5 $TransactionVolume_USD_bin3) and(!$TransactionPerDay_bin5 $TransactionVolume_USD_bin1)) !$GoldPrice_bin6) 
0.42,0.59,0.89,0.0,0.6,-1.0,and(or($TransactionVolume_USD_bin1 $TransactionVolume_USD_bin3) !$BlockSize_bin5 !$GoldPrice_bin6 !$TransactionVolume_USD_bin2) 
0.42,0.59,0.89,0.42,0.5,0.38,or(and(!$GoldPrice_bin6 !$HashRate_bin3 !$TransactionPerDay_bin5 $TransactionVolume_USD_bin1) $TransactionVolume_USD_bin3) 
