training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.45,0.64,0.92,0.35,0.33,0.62,and(or(and(or(and(!$GoldPrice_bin3 $TransactionFee_bin0) $TransactionVolume_USD_bin2) !$HashRate_bin1 !$MinningDifficulty_bin5) $MempoolCount_bin7 $TransactionPerDay_bin8) !$HashRate_bin5) 
0.47,0.64,0.89,0.3,0.33,0.64,and(or(and(or($TransactionFee_bin0 $TransactionVolume_USD_bin2) !$HashRate_bin1 !$MinningDifficulty_bin5) $MempoolCount_bin7 $TransactionPerDay_bin8) !$GoldPrice_bin3) 
0.42,0.6,0.85,0.22,0.27,0.56,or(and(or($TransactionFee_bin0 $TransactionVolume_USD_bin2) !$HashRate_bin1 !$MinningDifficulty_bin5) $MempoolCount_bin7) 
0.45,0.63,0.89,0.35,0.33,0.62,and(or(and(or($TransactionFee_bin0 $TransactionVolume_USD_bin2) !$HashRate_bin1 !$MinningDifficulty_bin5) $MempoolCount_bin7 $TransactionPerDay_bin8) !$HashRate_bin5) 
0.44,0.63,0.92,0.35,0.33,0.62,and(or(and(or($TransactionFee_bin0 $TransactionVolume_USD_bin2) !$GoldPrice_bin3 !$HashRate_bin1 !$MinningDifficulty_bin5) $MempoolCount_bin7 $TransactionPerDay_bin8) !$HashRate_bin5) 
0.44,0.63,0.92,0.3,0.33,0.64,and(or(and(or(and(!$TransactionPerDay_bin0 $TransactionFee_bin0) $TransactionVolume_USD_bin2) !$HashRate_bin1 !$MinningDifficulty_bin5) $MempoolCount_bin7 $TransactionPerDay_bin8) !$GoldPrice_bin3) 
0.42,0.61,0.9,0.22,0.27,0.56,or(and(or(and(!$GoldPrice_bin3 $TransactionFee_bin0) $TransactionVolume_USD_bin2) !$HashRate_bin1 !$MinningDifficulty_bin5) $MempoolCount_bin7) 
0.5,0.65,0.89,0.35,0.33,0.62,or(and(or(and(!$GoldPrice_bin3 $TransactionFee_bin0) $TransactionVolume_USD_bin2) !$HashRate_bin1 !$MinningDifficulty_bin5) $MempoolCount_bin7 $TransactionPerDay_bin8) 
0.43,0.61,0.89,0.17,0.33,0.8,and(or(and(or($TransactionFee_bin0 $TransactionVolume_USD_bin2) !$HashRate_bin1 !$MinningDifficulty_bin5) $TransactionPerDay_bin8) or(!$HashRate_bin5 $TransactionPerDay_bin2)) 
0.45,0.64,0.92,0.35,0.33,0.62,and(or(and(or(and(!$GoldPrice_bin3 $TransactionFee_bin0 !$TransactionFee_bin2) $TransactionVolume_USD_bin2) !$HashRate_bin1 !$MinningDifficulty_bin5) $MempoolCount_bin7 $TransactionPerDay_bin8) !$HashRate_bin5) 
