training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.43,0.59,0.89,0.43,0.6,1.0,and(or(and(!$MempoolSize_bin3 $TransactionVolume_USD_bin2) $GTrends_bin3 $TransactionPerDay_bin4) !$MempoolCount_bin5 !$MempoolSize_bin9) 
0.43,0.59,0.89,0.43,0.6,1.0,and(or(and(!$MempoolSize_bin3 $TransactionVolume_USD_bin2) $GTrends_bin3 $TransactionPerDay_bin4) !$MempoolSize_bin5 !$MempoolSize_bin9) 
0.41,0.57,0.87,0.48,0.53,0.77,and(or($GTrends_bin3 $TransactionPerDay_bin4 $TransactionVolume_USD_bin2) !$MempoolCount_bin5 !$MempoolSize_bin3) 
0.41,0.57,0.87,0.48,0.53,0.77,and(or($GTrends_bin3 $TransactionPerDay_bin4 $TransactionVolume_USD_bin2) !$MempoolSize_bin3 !$MempoolSize_bin5) 
0.43,0.6,0.91,0.43,0.6,1.0,and(or($GTrends_bin3 $TransactionPerDay_bin4 $TransactionVolume_USD_bin2) or(!$MempoolSize_bin3 !$TransactionVolume_USD_bin2) !$MempoolCount_bin9 !$MempoolSize_bin5) 
0.41,0.58,0.9,0.43,0.5,0.75,and(or(and($GTrends_bin3 !$TransactionPerDay_bin6) $TransactionPerDay_bin4 $TransactionVolume_USD_bin2) !$MempoolSize_bin3 !$MempoolSize_bin5) 
0.42,0.59,0.91,0.43,0.6,1.0,and(or(and($GTrends_bin3 !$MinningDifficulty_bin6) and(!$MempoolSize_bin3 $TransactionVolume_USD_bin2) $TransactionPerDay_bin4) !$MempoolSize_bin5 !$MempoolSize_bin9) 
0.41,0.59,0.91,0.43,0.6,1.0,and(or($GTrends_bin3 $TransactionPerDay_bin4 $TransactionVolume_USD_bin2) or($HashRate_bin3 !$MempoolSize_bin3) !$MempoolCount_bin9 !$MempoolSize_bin5) 
0.41,0.59,0.91,0.43,0.6,1.0,and(or(and($GTrends_bin3 !$HashRate_bin5) and(!$MempoolSize_bin3 $TransactionVolume_USD_bin2) $TransactionPerDay_bin4) !$MempoolSize_bin5 !$MempoolSize_bin9) 
0.41,0.59,0.91,0.43,0.5,0.75,and(or(and($GTrends_bin3 !$TransactionPerDay_bin6) $TransactionPerDay_bin4 $TransactionVolume_USD_bin2) or($GTrends_bin3 !$MempoolSize_bin3) !$MempoolSize_bin5) 
