training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.58,0.69,1.0,0.56,0.73,0.56,or(and(!$GoldPrice_bin3 !$TransactionPerDay_bin6 $TransactionFee_bin3) $BlockSize_bin8 $TransactionVolume_USD_bin0) 
0.58,0.69,1.0,0.56,0.73,0.56,or(and(!$MempoolCount_bin7 !$TransactionPerDay_bin6 $TransactionFee_bin3) $BlockSize_bin8 $TransactionVolume_USD_bin0) 
0.58,0.69,1.0,0.56,0.73,0.56,or(and(!$MempoolSize_bin7 !$TransactionPerDay_bin6 $TransactionFee_bin3) $BlockSize_bin8 $TransactionVolume_USD_bin0) 
0.58,0.69,1.0,0.56,0.73,0.56,and(or(and(!$TransactionPerDay_bin6 $TransactionFee_bin3) $BlockSize_bin8 $TransactionVolume_USD_bin0) !$GoldPrice_bin3) 
0.47,0.62,1.0,0.56,0.73,0.56,and(or(and(!$TransactionPerDay_bin6 $TransactionFee_bin3) $BlockSize_bin8 $TransactionVolume_USD_bin0) !$MempoolCount_bin7) 
0.47,0.62,1.0,0.56,0.73,0.56,and(or(and(!$TransactionPerDay_bin6 $TransactionFee_bin3) $BlockSize_bin8 $TransactionVolume_USD_bin0) !$MempoolSize_bin7) 
0.58,0.65,0.92,0.11,0.7,0.5,or(and(!$TransactionPerDay_bin6 $TransactionFee_bin3) $BlockSize_bin8) 
0.53,0.62,0.91,0.0,0.6,0.0,or(and(!$TransactionPerDay_bin6 $TransactionFee_bin3) $MempoolCount_bin7) 
0.53,0.62,0.91,0.0,0.6,0.0,or(and(!$TransactionPerDay_bin6 $TransactionFee_bin3) $MempoolSize_bin7) 
0.68,0.73,0.93,0.11,0.67,0.33,or(and(!$TransactionPerDay_bin6 $TransactionFee_bin3) $BlockSize_bin8 $HashRate_bin1) 
