training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.49,0.67,0.84,0.0,0.13,-1.0,and(or($MarketCap_bin0 !$TransactionFee_bin1) !$MarketCap_bin2 !$GoldPrice_bin4 !$GTrends_bin0) 
0.47,0.66,0.85,0.0,0.13,-1.0,and(or(!$GTrends_bin1 $MinningDifficulty_bin4 !$TransactionFee_bin1) !$MarketCap_bin2 !$GoldPrice_bin4 !$GTrends_bin0) 
0.5,0.67,0.84,0.0,0.13,-1.0,and(or($MarketCap_bin0 !$TransactionFee_bin1) or(!$GoldPrice_bin4 $HashRate_bin7) !$MarketCap_bin2 !$GTrends_bin0) 
0.49,0.67,0.84,0.0,0.13,-1.0,and(or($MarketCap_bin0 $BlockSize_bin6 !$TransactionFee_bin1) !$MarketCap_bin2 !$GoldPrice_bin4 !$GTrends_bin0) 
0.49,0.67,0.84,0.0,0.13,-1.0,and(or($MarketCap_bin0 $GoldPrice_bin1 !$TransactionFee_bin1) !$MarketCap_bin2 !$GoldPrice_bin4 !$GTrends_bin0) 
0.49,0.67,0.84,0.0,0.13,-1.0,and(or($MarketCap_bin0 !$GTrends_bin1 !$TransactionFee_bin1) !$MarketCap_bin2 !$GoldPrice_bin4 !$GTrends_bin0) 
0.49,0.67,0.84,0.0,0.13,-1.0,and(or($MarketCap_bin0 $HashRate_bin7 !$TransactionFee_bin1) !$MarketCap_bin2 !$GoldPrice_bin4 !$GTrends_bin0) 
0.49,0.67,0.84,0.0,0.13,-1.0,and(or($MarketCap_bin0 $MempoolCount_bin9 !$TransactionFee_bin1) !$MarketCap_bin2 !$GoldPrice_bin4 !$GTrends_bin0) 
0.49,0.67,0.84,0.0,0.13,-1.0,and(or($MarketCap_bin0 $MinningDifficulty_bin0 !$TransactionFee_bin1) !$MarketCap_bin2 !$GoldPrice_bin4 !$GTrends_bin0) 
0.49,0.67,0.84,0.0,0.13,-1.0,and(or($MarketCap_bin0 $MinningDifficulty_bin7 !$TransactionFee_bin1) !$MarketCap_bin2 !$GoldPrice_bin4 !$GTrends_bin0) 
