training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.4,0.54,0.91,0.14,0.47,0.33,and(or($TransactionPerDay_bin6 $TransactionFee_bin2 $TransactionVolume_USD_bin0) !$GoldPrice_bin1) 
0.43,0.56,0.92,0.21,0.47,0.38,and(or($TransactionPerDay_bin6 $TransactionFee_bin2 $TransactionVolume_USD_bin0) !$BlockSize_bin0 !$MinningDifficulty_bin2) 
0.38,0.53,0.92,0.14,0.47,0.33,and(or($TransactionPerDay_bin6 $TransactionFee_bin2 $TransactionVolume_USD_bin0) !$GoldPrice_bin1 !$MinningDifficulty_bin2) 
0.39,0.53,0.91,0.21,0.43,0.33,and(or(and($TransactionFee_bin2 !$TransactionVolume_USD_bin2) $TransactionPerDay_bin6 $TransactionVolume_USD_bin0) !$MinningDifficulty_bin2) 
0.39,0.53,0.91,0.21,0.43,0.33,and(or(and(or($TransactionFee_bin2 $TransactionVolume_USD_bin0) !$TransactionVolume_USD_bin2) $TransactionPerDay_bin6) !$MinningDifficulty_bin2) 
0.39,0.54,0.94,0.14,0.47,0.33,and(or(and(or($TransactionPerDay_bin8 $TransactionFee_bin2) !$TransactionVolume_USD_bin2) $TransactionPerDay_bin6 $TransactionVolume_USD_bin0) !$GoldPrice_bin1) 
0.39,0.54,0.94,0.14,0.47,0.33,and(or(and(or($TransactionPerDay_bin8 $TransactionFee_bin2 $TransactionVolume_USD_bin0) !$TransactionVolume_USD_bin2) $TransactionPerDay_bin6) !$GoldPrice_bin1) 
0.38,0.52,0.91,0.21,0.43,0.33,and(or($TransactionPerDay_bin6 $TransactionFee_bin2 $TransactionVolume_USD_bin0) !$MinningDifficulty_bin2 !$TransactionVolume_USD_bin2) 
0.38,0.52,0.91,0.21,0.47,0.38,and(or(and($TransactionFee_bin2 !$TransactionVolume_USD_bin2) $TransactionPerDay_bin6 $TransactionVolume_USD_bin0) !$BlockSize_bin0) 
0.38,0.52,0.91,0.21,0.47,0.38,and(or(and(or($TransactionFee_bin2 $TransactionVolume_USD_bin0) !$TransactionVolume_USD_bin2) $TransactionPerDay_bin6) !$BlockSize_bin0) 
