training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.51,0.64,0.8,0.0,0.13,-1.0,and(or($GoldPrice_bin0 $TransactionFee_bin0) !$MarketCap_bin2) 
0.51,0.64,0.8,0.0,0.13,-1.0,or(and(!$MarketCap_bin2 $GoldPrice_bin0) $TransactionFee_bin0) 
0.46,0.63,0.82,0.0,0.13,-1.0,and(or(and($GoldPrice_bin0 !$TransactionFee_bin5) $TransactionFee_bin0) !$MarketCap_bin2 !$MempoolCount_bin7) 
0.46,0.63,0.82,0.0,0.13,-1.0,and(or(and($GoldPrice_bin0 !$TransactionFee_bin5) $TransactionFee_bin0) !$MarketCap_bin2 !$MempoolSize_bin7) 
0.48,0.63,0.81,0.0,0.13,-1.0,and(or(and($GoldPrice_bin0 !$TransactionFee_bin5) and(!$MempoolCount_bin7 $TransactionFee_bin0)) !$MarketCap_bin2) 
0.48,0.63,0.81,0.0,0.13,-1.0,and(or(and($GoldPrice_bin0 !$TransactionFee_bin5) and(!$MempoolSize_bin7 $TransactionFee_bin0)) !$MarketCap_bin2) 
0.53,0.67,0.83,0.27,0.37,1.0,and(or(!$MarketCap_bin2 $HashRate_bin8) or($GoldPrice_bin0 $TransactionPerDay_bin9 $TransactionFee_bin0) !$MempoolCount_bin7) 
0.53,0.67,0.83,0.35,0.43,1.0,and(or(and(!$MarketCap_bin2 !$MempoolSize_bin7) $HashRate_bin8) or($GoldPrice_bin0 $TransactionPerDay_bin9 $TransactionFee_bin0)) 
0.49,0.63,0.79,0.0,0.13,-1.0,and(or(and($GoldPrice_bin0 !$TransactionFee_bin5) $TransactionFee_bin0) !$MarketCap_bin2) 
0.56,0.68,0.83,0.27,0.37,1.0,and(or(!$MarketCap_bin2 $HashRate_bin8) or($GoldPrice_bin0 $HashRate_bin6 $TransactionFee_bin0) !$MempoolCount_bin7) 
