training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.48,0.67,0.84,0.5,0.63,0.64,or(and($MarketCap_bin0 !$MarketCap_bin2 !$HashRate_bin7 !$TransactionPerDay_bin2) $TransactionPerDay_bin5) 
0.48,0.67,0.84,0.5,0.63,0.64,or(and(!$MarketCap_bin1 !$MarketCap_bin2 !$HashRate_bin7 !$TransactionPerDay_bin2) $TransactionPerDay_bin5) 
0.48,0.67,0.84,0.5,0.63,0.64,and(or(and(!$MarketCap_bin1 !$MarketCap_bin2 !$HashRate_bin7) $TransactionPerDay_bin5) !$TransactionPerDay_bin2) 
0.5,0.66,0.8,0.79,0.67,0.61,or(and(!$MarketCap_bin1 !$MarketCap_bin2 !$TransactionPerDay_bin2) $TransactionPerDay_bin5) 
0.5,0.66,0.8,0.79,0.67,0.61,and(or(and(!$MarketCap_bin1 !$MarketCap_bin2) $TransactionPerDay_bin5) !$TransactionPerDay_bin2) 
0.49,0.67,0.84,0.5,0.63,0.64,and(or(and(or(!$MarketCap_bin1 $HashRate_bin1) !$MarketCap_bin2 !$HashRate_bin7) $TransactionPerDay_bin5) !$TransactionPerDay_bin2) 
0.49,0.67,0.84,0.5,0.63,0.64,and(or(and(or(!$MarketCap_bin1 $MempoolCount_bin8) !$MarketCap_bin2 !$HashRate_bin7) $TransactionPerDay_bin5) !$TransactionPerDay_bin2) 
0.49,0.67,0.84,0.57,0.63,0.62,and(or(and(or(!$MarketCap_bin1 $MempoolSize_bin5) !$MarketCap_bin2 !$HashRate_bin7) $TransactionPerDay_bin5) !$TransactionPerDay_bin2) 
0.49,0.67,0.84,0.5,0.63,0.64,and(or(and(or(!$MarketCap_bin1 $MempoolSize_bin8) !$MarketCap_bin2 !$HashRate_bin7) $TransactionPerDay_bin5) !$TransactionPerDay_bin2) 
0.47,0.67,0.87,0.5,0.63,0.64,or(and(!$MarketCap_bin1 !$MarketCap_bin2 !$HashRate_bin7 !$TransactionPerDay_bin2) and(!$BlockSize_bin9 $TransactionPerDay_bin5)) 
