month,look_ahead_days,vote_based_on,training_accuracy,training_precision,test_accuracy,test_precision
24-31,7.0,precision,0.73,0.94,0.57,1.0
24-31,7.0,accuracy,0.77,0.95,0.57,0.67
24-31,2.0,precision,0.64,0.89,0.6,1.0
24-31,2.0,accuracy,0.64,0.87,0.6,1.0
24-31,1.0,precision,0.62,0.82,0.47,0.48
24-31,1.0,accuracy,0.64,0.83,0.47,0.48
24-31,3.0,precision,0.66,0.96,0.63,0.5
24-31,3.0,accuracy,0.65,0.96,0.67,0.67
24-31,4.0,precision,0.65,0.93,0.7,1.0
24-31,4.0,accuracy,0.65,0.93,0.7,1.0
24-31,6.0,precision,0.71,0.97,0.67,1.0
24-31,6.0,accuracy,0.71,0.97,0.67,1.0
24-31,5.0,precision,0.72,0.9,0.67,1.0
24-31,5.0,accuracy,0.72,0.9,0.67,1.0
22-29,7.0,precision,0.73,0.96,0.77,0.7
22-29,7.0,accuracy,0.74,0.96,0.73,0.62
22-29,2.0,precision,0.64,0.82,0.67,0.67
22-29,2.0,accuracy,0.64,0.81,0.67,0.65
22-29,1.0,precision,0.6,0.96,0.57,0.57
22-29,1.0,accuracy,0.6,0.96,0.57,0.57
22-29,3.0,precision,0.61,0.88,0.63,0.62
22-29,3.0,accuracy,0.63,0.89,0.67,0.67
22-29,4.0,precision,0.66,0.95,0.7,0.64
22-29,4.0,accuracy,0.66,0.95,0.67,0.62
22-29,6.0,precision,0.75,0.96,0.63,0.6
22-29,6.0,accuracy,0.75,0.96,0.63,0.6
22-29,5.0,precision,0.72,0.93,0.67,0.5
22-29,5.0,accuracy,0.72,0.93,0.67,0.5
11-18,7.0,precision,0.49,1.0,0.2,-1.0
11-18,7.0,accuracy,0.51,0.97,0.2,-1.0
11-18,2.0,precision,0.52,0.87,0.43,0.78
11-18,2.0,accuracy,0.54,0.91,0.47,0.88
11-18,1.0,precision,0.63,0.95,0.5,0.8
11-18,1.0,accuracy,0.63,0.95,0.5,0.8
11-18,3.0,precision,0.54,1.0,0.5,0.9
11-18,3.0,accuracy,0.55,1.0,0.63,0.88
11-18,4.0,precision,0.56,0.97,0.27,1.0
11-18,4.0,accuracy,0.56,0.94,0.5,1.0
11-18,6.0,precision,0.55,1.0,0.2,-1.0
11-18,6.0,accuracy,0.55,1.0,0.2,-1.0
11-18,5.0,precision,0.56,0.92,0.4,1.0
11-18,5.0,accuracy,0.55,0.92,0.5,0.91
6-13,7.0,precision,0.53,1.0,0.6,0.62
6-13,7.0,accuracy,0.54,1.0,0.57,0.57
6-13,2.0,precision,0.49,0.97,0.53,0.55
6-13,2.0,accuracy,0.45,1.0,0.47,0.33
6-13,1.0,precision,0.51,0.97,0.4,-1.0
6-13,1.0,accuracy,0.51,0.97,0.4,-1.0
6-13,3.0,precision,0.48,0.98,0.57,0.6
6-13,3.0,accuracy,0.42,0.97,0.57,1.0
6-13,4.0,precision,0.39,1.0,0.57,0.55
6-13,4.0,accuracy,0.39,1.0,0.57,0.56
6-13,6.0,precision,0.46,0.92,0.57,0.75
6-13,6.0,accuracy,0.46,0.97,0.53,1.0
6-13,5.0,precision,0.5,0.98,0.67,0.83
6-13,5.0,accuracy,0.5,0.98,0.67,0.83
4-11,7.0,precision,0.49,0.94,0.13,-1.0
4-11,7.0,accuracy,0.49,0.94,0.13,-1.0
4-11,2.0,precision,0.52,0.88,0.1,-1.0
4-11,2.0,accuracy,0.49,0.86,0.1,-1.0
4-11,1.0,precision,0.52,0.97,0.27,-1.0
4-11,1.0,accuracy,0.48,0.92,0.27,-1.0
4-11,3.0,precision,0.44,1.0,0.17,1.0
4-11,3.0,accuracy,0.47,1.0,0.37,0.89
4-11,4.0,precision,0.51,1.0,0.2,1.0
4-11,4.0,accuracy,0.53,1.0,0.23,1.0
4-11,6.0,precision,0.48,0.97,0.2,0.67
4-11,6.0,accuracy,0.49,0.97,0.2,0.6
4-11,5.0,precision,0.44,0.93,0.2,-1.0
4-11,5.0,accuracy,0.44,0.93,0.2,-1.0
7-14,7.0,precision,0.48,1.0,0.4,-1.0
7-14,7.0,accuracy,0.48,0.97,0.47,1.0
7-14,2.0,precision,0.5,0.94,0.57,0.7
7-14,2.0,accuracy,0.5,0.94,0.57,0.7
7-14,1.0,precision,0.52,0.9,0.6,1.0
7-14,1.0,accuracy,0.51,0.89,0.57,1.0
7-14,3.0,precision,0.43,0.96,0.53,-1.0
7-14,3.0,accuracy,0.43,1.0,0.53,-1.0
7-14,4.0,precision,0.45,1.0,0.53,1.0
7-14,4.0,accuracy,0.42,1.0,0.53,1.0
7-14,6.0,precision,0.49,1.0,0.5,-1.0
7-14,6.0,accuracy,0.51,1.0,0.5,-1.0
7-14,5.0,precision,0.47,1.0,0.53,1.0
7-14,5.0,accuracy,0.45,0.96,0.53,1.0
15-22,7.0,precision,0.65,1.0,0.5,0.2
15-22,7.0,accuracy,0.65,1.0,0.63,0.14
15-22,2.0,precision,0.62,0.95,0.73,-1.0
15-22,2.0,accuracy,0.63,0.95,0.73,-1.0
15-22,1.0,precision,0.56,0.86,0.53,0.42
15-22,1.0,accuracy,0.57,0.87,0.53,0.42
15-22,3.0,precision,0.6,0.98,0.6,0.0
15-22,3.0,accuracy,0.61,0.98,0.67,0.0
15-22,4.0,precision,0.63,0.98,0.47,0.27
15-22,4.0,accuracy,0.58,0.97,0.8,-1.0
15-22,6.0,precision,0.58,1.0,0.57,0.23
15-22,6.0,accuracy,0.58,1.0,0.67,0.0
15-22,5.0,precision,0.64,1.0,0.57,0.33
15-22,5.0,accuracy,0.65,1.0,0.57,0.2
13-20,7.0,precision,0.51,1.0,0.77,-1.0
13-20,7.0,accuracy,0.51,1.0,0.77,-1.0
13-20,2.0,precision,0.53,0.91,0.67,0.5
13-20,2.0,accuracy,0.51,0.93,0.67,-1.0
13-20,1.0,precision,0.56,0.83,0.43,0.43
13-20,1.0,accuracy,0.56,0.83,0.5,0.47
13-20,3.0,precision,0.6,0.96,0.53,0.42
13-20,3.0,accuracy,0.61,0.96,0.6,-1.0
13-20,4.0,precision,0.51,1.0,0.63,0.0
13-20,4.0,accuracy,0.54,0.97,0.67,-1.0
13-20,6.0,precision,0.51,1.0,0.8,-1.0
13-20,6.0,accuracy,0.5,1.0,0.8,-1.0
13-20,5.0,precision,0.47,0.93,0.7,0.0
13-20,5.0,accuracy,0.5,0.97,0.8,-1.0
16-23,7.0,precision,0.7,0.91,0.4,0.88
16-23,7.0,accuracy,0.69,0.91,0.43,0.82
16-23,2.0,precision,0.64,0.85,0.43,1.0
16-23,2.0,accuracy,0.67,0.83,0.63,0.75
16-23,1.0,precision,0.59,0.85,0.4,1.0
16-23,1.0,accuracy,0.58,0.81,0.5,0.7
16-23,3.0,precision,0.59,0.91,0.4,0.64
16-23,3.0,accuracy,0.6,0.92,0.43,0.64
16-23,4.0,precision,0.65,0.89,0.4,1.0
16-23,4.0,accuracy,0.65,0.95,0.4,1.0
16-23,6.0,precision,0.65,0.88,0.37,0.75
16-23,6.0,accuracy,0.66,0.91,0.4,0.78
16-23,5.0,precision,0.68,0.88,0.47,0.8
16-23,5.0,accuracy,0.71,0.9,0.6,0.81
18-25,7.0,precision,0.74,0.88,0.53,0.44
18-25,7.0,accuracy,0.74,0.88,0.6,0.6
18-25,2.0,precision,0.67,0.93,0.57,0.58
18-25,2.0,accuracy,0.68,0.93,0.6,0.62
18-25,1.0,precision,0.6,0.75,0.57,0.71
18-25,1.0,accuracy,0.59,0.74,0.63,0.69
18-25,3.0,precision,0.63,0.92,0.7,0.67
18-25,3.0,accuracy,0.64,0.93,0.7,0.67
18-25,4.0,precision,0.63,0.81,0.5,0.4
18-25,4.0,accuracy,0.64,0.82,0.57,0.6
18-25,6.0,precision,0.72,0.87,0.53,0.45
18-25,6.0,accuracy,0.72,0.87,0.53,0.45
18-25,5.0,precision,0.69,0.87,0.43,0.46
18-25,5.0,accuracy,0.68,0.86,0.47,0.44
0-7,7.0,precision,0.6,0.94,0.57,0.93
0-7,7.0,accuracy,0.63,0.94,0.63,0.89
0-7,2.0,precision,0.6,0.94,0.33,1.0
0-7,2.0,accuracy,0.6,0.91,0.47,0.73
0-7,1.0,precision,0.56,0.77,0.63,0.71
0-7,1.0,accuracy,0.58,0.79,0.63,0.7
0-7,3.0,precision,0.55,0.92,0.27,-1.0
0-7,3.0,accuracy,0.57,0.93,0.33,0.75
0-7,4.0,precision,0.57,0.86,0.13,-1.0
0-7,4.0,accuracy,0.6,0.86,0.2,1.0
0-7,6.0,precision,0.58,0.9,0.13,-1.0
0-7,6.0,accuracy,0.58,0.96,0.47,1.0
0-7,5.0,precision,0.57,0.91,0.13,-1.0
0-7,5.0,accuracy,0.57,0.89,0.17,1.0
5-12,7.0,precision,0.58,0.98,0.23,1.0
5-12,7.0,accuracy,0.58,0.98,0.23,1.0
5-12,2.0,precision,0.44,0.95,0.4,1.0
5-12,2.0,accuracy,0.46,0.96,0.47,0.78
5-12,1.0,precision,0.56,1.0,0.57,0.82
5-12,1.0,accuracy,0.58,0.98,0.57,0.73
5-12,3.0,precision,0.41,0.96,0.27,1.0
5-12,3.0,accuracy,0.45,0.97,0.67,0.85
5-12,4.0,precision,0.42,0.93,0.17,-1.0
5-12,4.0,accuracy,0.44,0.97,0.17,-1.0
5-12,6.0,precision,0.53,1.0,0.4,1.0
5-12,6.0,accuracy,0.53,1.0,0.43,0.86
5-12,5.0,precision,0.46,0.97,0.2,-1.0
5-12,5.0,accuracy,0.46,0.97,0.2,-1.0
17-24,7.0,precision,0.72,0.93,0.77,0.6
17-24,7.0,accuracy,0.72,0.95,0.73,-1.0
17-24,2.0,precision,0.63,0.94,0.63,1.0
17-24,2.0,accuracy,0.64,0.92,0.63,1.0
17-24,1.0,precision,0.54,0.82,0.67,0.8
17-24,1.0,accuracy,0.53,0.79,0.67,0.8
17-24,3.0,precision,0.61,0.94,0.63,-1.0
17-24,3.0,accuracy,0.62,0.95,0.63,-1.0
17-24,4.0,precision,0.65,0.97,0.7,1.0
17-24,4.0,accuracy,0.65,0.97,0.7,1.0
17-24,6.0,precision,0.66,0.93,0.8,0.6
17-24,6.0,accuracy,0.66,0.95,0.8,0.67
17-24,5.0,precision,0.66,1.0,0.7,0.5
17-24,5.0,accuracy,0.68,1.0,0.63,0.0
2-9,7.0,precision,0.49,0.95,0.43,1.0
2-9,7.0,accuracy,0.51,0.95,0.43,1.0
2-9,2.0,precision,0.5,0.96,0.37,1.0
2-9,2.0,accuracy,0.55,0.94,0.43,0.8
2-9,1.0,precision,0.49,0.92,0.63,0.83
2-9,1.0,accuracy,0.5,0.92,0.57,0.62
2-9,3.0,precision,0.48,0.96,0.33,1.0
2-9,3.0,accuracy,0.53,0.95,0.47,1.0
2-9,4.0,precision,0.47,0.96,0.33,1.0
2-9,4.0,accuracy,0.5,1.0,0.33,1.0
2-9,6.0,precision,0.54,1.0,0.4,1.0
2-9,6.0,accuracy,0.5,0.97,0.4,1.0
2-9,5.0,precision,0.44,1.0,0.33,1.0
2-9,5.0,accuracy,0.42,0.95,0.37,1.0
3-10,7.0,precision,0.46,0.97,0.6,-1.0
3-10,7.0,accuracy,0.45,0.97,0.6,-1.0
3-10,2.0,precision,0.51,0.93,0.43,0.5
3-10,2.0,accuracy,0.51,0.93,0.43,-1.0
3-10,1.0,precision,0.51,0.93,0.47,0.56
3-10,1.0,accuracy,0.49,0.89,0.7,0.72
3-10,3.0,precision,0.47,1.0,0.4,1.0
3-10,3.0,accuracy,0.47,1.0,0.43,0.8
3-10,4.0,precision,0.42,0.96,0.57,1.0
3-10,4.0,accuracy,0.43,1.0,0.57,1.0
3-10,6.0,precision,0.47,1.0,0.47,-1.0
3-10,6.0,accuracy,0.47,1.0,0.47,-1.0
3-10,5.0,precision,0.47,0.97,0.4,-1.0
3-10,5.0,accuracy,0.48,0.97,0.4,-1.0
8-15,7.0,precision,0.58,0.98,0.3,1.0
8-15,7.0,accuracy,0.59,1.0,0.3,1.0
8-15,2.0,precision,0.53,1.0,0.33,-1.0
8-15,2.0,accuracy,0.54,1.0,0.33,-1.0
8-15,1.0,precision,0.59,0.89,0.4,1.0
8-15,1.0,accuracy,0.59,0.89,0.47,0.8
8-15,3.0,precision,0.52,1.0,0.33,1.0
8-15,3.0,accuracy,0.5,1.0,0.33,1.0
8-15,4.0,precision,0.59,1.0,0.27,-1.0
8-15,4.0,accuracy,0.59,0.98,0.27,-1.0
8-15,6.0,precision,0.62,1.0,0.27,1.0
8-15,6.0,accuracy,0.62,1.0,0.27,1.0
8-15,5.0,precision,0.59,0.96,0.3,1.0
8-15,5.0,accuracy,0.58,0.96,0.3,1.0
19-26,7.0,precision,0.74,0.9,0.33,-1.0
19-26,7.0,accuracy,0.74,0.9,0.43,1.0
19-26,2.0,precision,0.67,0.93,0.63,0.86
19-26,2.0,accuracy,0.68,0.93,0.8,0.92
19-26,1.0,precision,0.61,0.82,0.63,0.73
19-26,1.0,accuracy,0.61,0.8,0.6,0.67
19-26,3.0,precision,0.67,0.96,0.4,0.75
19-26,3.0,accuracy,0.65,0.83,0.47,0.7
19-26,4.0,precision,0.66,0.81,0.4,0.75
19-26,4.0,accuracy,0.7,0.85,0.47,0.67
19-26,6.0,precision,0.75,0.91,0.63,0.85
19-26,6.0,accuracy,0.78,0.94,0.7,0.7
19-26,5.0,precision,0.72,0.89,0.53,1.0
19-26,5.0,accuracy,0.72,0.89,0.5,0.69
9-16,7.0,precision,0.56,1.0,0.77,0.82
9-16,7.0,accuracy,0.55,1.0,0.8,0.79
9-16,2.0,precision,0.47,0.96,0.6,0.75
9-16,2.0,accuracy,0.49,0.96,0.63,0.78
9-16,1.0,precision,0.56,0.94,0.6,0.5
9-16,1.0,accuracy,0.54,1.0,0.6,-1.0
9-16,3.0,precision,0.53,1.0,0.5,0.5
9-16,3.0,accuracy,0.52,1.0,0.5,0.5
9-16,4.0,precision,0.51,1.0,0.67,0.61
9-16,4.0,accuracy,0.51,1.0,0.67,0.61
9-16,6.0,precision,0.58,0.98,0.73,0.73
9-16,6.0,accuracy,0.59,0.98,0.77,0.72
9-16,5.0,precision,0.53,0.97,0.6,0.75
9-16,5.0,accuracy,0.52,0.97,0.67,0.65
