Date,Open,High ,Low,Close,TransactionVolume,MarketCap
2016-01-21,419.63,422.88,406.3,410.26,68338000,6198658815
2016-01-22,409.75,410.41,375.28,382.49,91546600,5780764155
2016-01-23,382.43,394.54,381.98,387.49,56247400,5858059876
2016-01-24,388.1,405.48,387.51,402.97,54824800,6093787908
2016-01-25,402.32,402.32,388.55,391.73,59062400,5925345408
2016-01-26,392,397.77,390.58,392.15,58147000,5933372928
2016-01-27,392.44,396.84,391.78,394.97,47424400,5977545745
2016-01-28,395.15,395.5,379.73,380.29,59247900,5756710303
2016-01-29,380.11,384.38,365.45,379.47,86125296,5745985821
2016-01-30,378.86,380.92,376.49,378.26,30284400,5729296096
2016-01-31,378.29,380.35,367.83,368.77,37894300,5587253351
2016-02-01,369.35,378.07,367.96,373.06,51656700,5653747618
2016-02-02,372.92,375.88,372.92,374.45,40378700,5676528707
2016-02-03,374.65,374.95,368.05,369.95,45933400,5609971377
2016-02-04,370.17,391.61,369.99,389.59,69285504,5909517630
2016-02-05,388.9,391.09,385.57,386.55,43825000,5865136968
2016-02-06,386.59,386.63,372.39,376.52,49249300,5714879155
2016-02-07,376.51,380.87,374.9,376.62,37076300,5718023735
2016-02-08,376.76,379.88,373.33,373.45,47671100,5671240831
2016-02-09,373.42,377.25,372.9,376.03,55318500,5712106127
2016-02-10,376.15,385.48,375.78,381.65,85130896,5799042060
2016-02-11,382.11,383.13,376.4,379.65,74375600,5770550973
2016-02-12,379.69,384.95,379.6,384.26,67042800,5842238586
2016-02-13,384.64,391.86,384.64,391.86,61911700,5959279526
2016-02-14,392.93,407.23,392.93,407.23,74469800,6194711495
2016-02-15,407.57,410.38,397.75,400.18,74070496,6089064891
2016-02-16,401.43,408.95,401.43,407.49,73093104,6201590434
2016-02-17,407.66,421.17,406.78,416.32,83193600,6337628174
2016-02-18,416.57,426,415.64,422.37,76752600,6431547586
2016-02-19,422.73,423.1,417.6,420.79,55711300,6408881658
2016-02-20,421.6,441.98,421.6,437.16,93992096,6659985887
2016-02-21,437.77,448.05,429.08,438.8,89820704,6686294225
2016-02-22,438.99,439.05,432.92,437.75,85385200,6671673493
2016-02-23,438.26,439.86,417.82,420.74,85244896,6413836323
2016-02-24,420.96,425.55,413.91,424.95,67743696,6479395124
2016-02-25,425.04,427.72,420.42,424.54,70798000,6474784226
2016-02-26,424.63,432.15,421.62,432.15,61486000,6592327507
2016-02-27,432.84,434.23,428.1,432.52,41893600,6599515471
2016-02-28,432.57,435.68,423.82,433.5,53033400,6615986322
2016-02-29,433.44,441.51,431.69,437.7,60694700,6681444705
2016-03-01,437.92,439.65,432.32,435.12,74895800,6643686404
2016-03-02,435.13,435.92,423.99,423.99,74955296,6475329604
2016-03-03,423.91,425.37,419.41,421.65,100484000,6441066887
2016-03-04,421.84,425.18,410.94,410.94,90856096,6279024638
2016-03-05,410.78,411.26,394.04,400.57,135384992,6122091567
2016-03-06,400.52,411.91,395.78,407.71,91212496,6232667872
2016-03-07,407.76,415.92,406.31,414.32,85762400,6335164892
2016-03-08,414.46,416.24,411.09,413.97,70311696,6331422309
2016-03-09,413.89,416.03,411.61,414.86,70012304,6346735710
2016-03-10,414.74,417.51,413.25,417.13,81022896,6383105414
2016-03-11,417.24,423.93,417.01,421.69,73969696,6454555816
2016-03-12,421.61,421.8,410.09,411.62,92712896,6301963440
2016-03-13,411.65,416.6,411.64,414.07,74322800,6340701565
2016-03-14,414.2,416.68,414.2,416.44,95259400,6378632901
2016-03-15,416.39,418.13,414.98,416.83,66781700,6386304534
2016-03-16,416.89,417.69,415.91,417.01,65185800,6390672724
2016-03-17,417.89,421,417.89,420.62,83528600,6447467967
2016-03-18,420.55,420.55,406.14,409.55,104940000,6279128504
2016-03-19,409.27,410.98,407.23,410.44,58423000,6294271612
2016-03-20,410.4,414.63,410.4,413.76,45947900,6346546570
2016-03-21,413.42,413.42,410.38,413.31,61655400,6341110984
2016-03-22,413.13,418.38,412.53,418.09,66813300,6416025151
2016-03-23,418.16,419.27,417.36,418.04,61444200,6416845742
2016-03-24,418.42,418.68,415.49,416.39,68346704,6393094869
2016-03-25,416.51,418.08,415.56,417.18,52560000,6406608048
2016-03-26,417.36,418.99,416.26,417.95,44650400,6420042696
2016-03-27,418.14,428.8,417.71,426.77,71229400,6557030843
2016-03-28,426.55,426.86,423.29,424.23,68522800,6519889575
2016-03-29,424.3,426.2,412.68,416.52,75411504,6402954687
2016-03-30,416.83,416.83,412.5,414.82,66034100,6378356002
2016-03-31,415.26,418.37,415.26,416.73,60215200,6409062819
2016-04-01,416.76,418.17,415.83,417.96,51235700,6429593619
2016-04-02,418.42,422.08,418.42,420.87,45681200,6475857111
2016-04-03,421.17,421.58,419.7,420.9,38053700,6477828309
2016-04-04,421.3,422.34,419.6,421.44,50634300,6487898586
2016-04-05,421.02,424.26,420.61,424.03,60718000,6529351750
2016-04-06,424.28,424.53,422.73,423.41,59091000,6521491709
2016-04-07,423.62,423.66,420.52,422.74,57858600,6512693215
2016-04-08,422.91,425.36,419.64,420.35,63454700,6477294354
2016-04-09,420.81,420.89,416.52,419.41,49792700,6464539022
2016-04-10,419.59,422.43,419.26,421.56,73478600,6499536744
2016-04-11,421.87,422.74,420.53,422.48,50747500,6515321585
2016-04-12,422.84,427.28,422.84,425.19,70728800,6558651418
2016-04-13,425.63,426.66,422.92,423.73,69060400,6537929600
2016-04-14,423.93,425.37,423.01,424.28,45281000,6548113819
2016-04-15,424.43,429.93,424.43,429.71,54801500,6633436610
2016-04-16,429.58,432.63,428.98,430.57,39392800,6648182380
2016-04-17,430.64,431.37,426.08,427.4,52125900,6600878376
2016-04-18,427.61,429.27,427.09,428.59,55670900,6620723761
2016-04-19,428.7,436.02,428.1,435.51,52810500,6729223763
2016-04-20,435.32,443.05,434.41,441.39,72890096,6821898724
2016-04-21,441.42,450.55,440.95,449.42,68204704,6947795903
2016-04-22,449.69,449.81,444.15,445.74,58804400,6892364370
2016-04-23,445.86,450.28,444.33,450.28,50485400,6964275296
2016-04-24,450.56,460.15,448.93,458.55,68198400,7093731211
2016-04-25,459.12,466.62,453.59,461.43,87091800,7139621427
2016-04-26,461.65,467.96,461.62,466.09,78971904,7213507974
2016-04-27,466.26,467.08,444.13,444.69,93564896,6883732526
2016-04-28,445.04,449.55,436.65,449.01,74064704,6952183242
2016-04-29,449.41,455.38,446.02,455.1,49258500,7048201013
2016-04-30,455.18,455.59,447.7,448.32,69322600,6944860514
2016-05-01,448.48,452.48,447.93,451.88,40660100,7001712750
2016-05-02,451.93,452.45,441.78,444.67,92127000,6891791430
2016-05-03,444.73,451.1,442.62,450.3,59366400,6980826502
2016-05-04,450.18,450.38,445.63,446.72,50407300,6927161701
2016-05-05,446.71,448.51,445.88,447.98,50440800,6948331748
2016-05-06,447.94,461.38,447.07,459.6,72796800,7130556704
2016-05-07,459.64,460.67,457.32,458.54,38364500,7115722136
2016-05-08,458.43,459.42,455.98,458.55,40315000,7117822794
2016-05-09,458.21,462.48,456.53,460.48,55493100,7149827444
2016-05-10,460.52,461.93,448.95,450.89,58956100,7002714977
2016-05-11,450.86,454.58,450.86,452.73,50605200,7032699388
2016-05-12,452.45,454.95,449.25,454.77,59849300,7065960832
2016-05-13,454.85,457.05,453.45,455.67,60845000,7081726955
2016-05-14,455.82,456.84,454.79,455.67,37209000,7083394303
2016-05-15,455.76,458.69,455.46,457.57,28514000,7114461730
2016-05-16,457.59,458.2,452.95,454.16,59171500,7063120268
2016-05-17,454.01,455.07,453.61,453.78,64100300,7058821457
2016-05-18,453.69,456,453.3,454.62,86850096,7073564772
2016-05-19,454.52,454.63,438.71,438.71,96027400,6827425412
2016-05-20,437.79,444.05,437.39,442.68,81987904,6890716750
2016-05-21,442.97,443.78,441.71,443.19,42762300,6900237725
2016-05-22,443.22,443.43,439.04,439.32,39657600,6842082300
2016-05-23,439.35,444.35,438.82,444.15,50582500,6919346395
2016-05-24,444.29,447.1,443.93,445.98,65783100,6949432035
2016-05-25,446.06,450.3,446.06,449.6,65231000,7007360094
2016-05-26,449.67,453.64,447.9,453.38,65203800,7067871184
2016-05-27,453.52,478.15,453.52,473.46,164780992,7382558440
2016-05-28,473.03,533.47,472.7,530.04,181199008,8266477338
2016-05-29,527.48,553.96,512.18,526.23,148736992,8209050618
2016-05-30,528.47,544.35,522.96,533.86,87958704,8330000111
2016-05-31,534.19,546.62,520.66,531.39,138450000,8293035755
2016-06-01,531.11,543.08,525.64,536.92,86061800,8381321200
2016-06-02,536.52,540.35,533.08,537.97,60378200,8399598923
2016-06-03,537.68,574.64,536.92,569.19,122020000,8889102698
2016-06-04,569.71,590.13,564.24,572.73,94925296,8945981422
2016-06-05,573.31,582.81,569.18,574.98,68874096,8983555643
2016-06-06,574.6,586.47,574.6,585.54,72138896,9151021089
2016-06-07,585.45,590.26,567.51,576.6,107770000,9013335474
2016-06-08,577.17,582.84,573.13,581.65,80265800,9094354021
2016-06-09,582.2,582.2,570.95,574.63,71301000,8987040811
2016-06-10,575.84,579.13,573.33,577.47,66991900,9033522014
2016-06-11,578.67,607.12,578.67,606.73,82357000,9493578714
2016-06-12,609.68,684.84,607.04,672.78,277084992,10529624647
2016-06-13,671.65,716,664.49,704.38,243295008,11026918233
2016-06-14,704.5,704.5,662.8,685.56,186694000,10734585656
2016-06-15,685.68,696.3,672.56,694.47,99223800,10876756116
2016-06-16,696.52,773.72,696.52,766.31,271633984,12004751236
2016-06-17,768.49,775.36,716.56,748.91,363320992,11734973407
2016-06-18,748.76,777.99,733.93,756.23,252718000,11852610450
2016-06-19,756.69,766.62,745.63,763.78,136184992,11974386667
2016-06-20,763.93,764.08,732.73,737.23,174511008,11561085979
2016-06-21,735.88,735.88,639.07,666.65,309944000,10456853278
2016-06-22,665.91,678.67,587.48,596.12,266392992,9352374507
2016-06-23,597.44,629.33,558.14,623.98,253462000,9791649877
2016-06-24,625.58,681.73,625.27,665.3,224316992,10442233719
2016-06-25,665.28,691.73,646.56,665.12,126656000,10442165051
2016-06-26,665.93,665.98,616.93,629.37,109225000,9883123077
2016-06-27,629.35,655.28,620.52,655.28,122134000,10292371661
2016-06-28,658.1,659.25,637.77,647,138384992,10164806261
2016-06-29,644.12,644.68,628.28,639.89,142456000,10055423427
2016-06-30,640.59,675.4,636.61,673.34,138980000,10583527799
2016-07-01,672.52,686.15,669.59,676.3,134431008,10632674990
2016-07-02,676.73,703.7,676.4,703.7,112354000,11066171356
2016-07-03,704.97,704.97,649.01,658.66,129512000,10360455388
2016-07-04,658.8,683.66,650.51,683.66,92008400,10756225162
2016-07-05,683.21,683.49,665.07,670.63,130476000,10553590036
2016-07-06,670.42,681.9,670.42,677.33,134960992,10661460872
2016-07-07,678.09,682.43,611.83,640.56,258091008,10084880016
2016-07-08,640.69,666.71,636.47,666.52,141970000,10496037616
2016-07-09,666.38,666.38,633.4,650.96,180536000,10252979330
2016-07-10,650.6,652.29,641.26,649.36,102532000,10229001841
2016-07-11,648.48,659.63,644.98,647.66,107910000,10203318330
2016-07-12,648.28,675.26,646.78,664.55,138172992,10470577835
2016-07-13,664.8,668.7,654.47,654.47,131449000,10312716681
2016-07-14,652.92,662.9,652.92,658.08,98511400,10370714378
2016-07-15,659.17,667.08,659.04,663.26,81673104,10453381650
2016-07-16,663.78,666.46,659.33,660.77,50330200,10415413843
2016-07-17,661.99,682.36,661.99,679.46,74407904,10711263460
2016-07-18,679.81,681.55,668.63,673.11,69465000,10612299585
2016-07-19,672.74,673.28,667.63,672.86,61203300,10609525767
2016-07-20,672.81,672.93,663.36,665.68,94636400,10497527596
2016-07-21,665.23,666.22,660.41,665.01,60491800,10487976073
2016-07-22,664.92,666.58,646.72,650.62,134169000,10261989674
2016-07-23,650.73,656.37,648.52,655.56,69532200,10340881944
2016-07-24,655.41,663.11,652.79,661.28,118184000,10432244355
2016-07-25,661.26,661.83,653.4,654.1,78176496,10319876749
2016-07-26,654.23,656.22,645.88,651.78,225135008,10284392843
2016-07-27,651.63,657.46,648.45,654.35,147460992,10325917979
2016-07-28,654.49,657.59,654.49,655.03,86428400,10337749269
2016-07-29,655.11,657.8,654.79,656.99,60703500,10369809306
2016-07-30,657.01,658.22,654.21,655.05,38456100,10340045284
2016-07-31,655.1,655.28,624.36,624.68,110818000,9861866433
2016-08-01,624.6,626.12,605.88,606.27,121887000,9572348580
2016-08-02,606.4,612.85,531.33,547.47,330932992,8644864335
2016-08-03,548.66,573.36,541.55,566.35,207982000,8944279139
2016-08-04,566.33,579.5,565.78,578.29,125292000,9133817995
2016-08-05,578.28,578.28,569.98,575.04,66127900,9083715053
