Date,dates_count1
2/3/2017,36862637
2/4/2017,17737602.5
2/5/2017,14654654.5
2/6/2017,19515762
2/7/2017,43185267.75
2/8/2017,42172629.5
2/9/2017,35734136
2/10/2017,32444996
2/11/2017,14885861
2/12/2017,5449688
2/13/2017,7268375.5
2/14/2017,3108333
2/15/2017,13083822.5
2/16/2017,28553421
2/17/2017,25394407.5
2/18/2017,19914848
2/19/2017,13715047.5
2/20/2017,9866992
2/21/2017,26541994
2/22/2017,47079641
2/23/2017,63932011.5
2/24/2017,56929144.5
2/25/2017,40496404
2/26/2017,11220022.5
2/27/2017,15645298.5
2/28/2017,34137044.5
3/1/2017,43418674
3/2/2017,40141501.5
3/3/2017,62309826
3/4/2017,60114856.75
3/5/2017,50125449
3/6/2017,62830053
3/7/2017,63834734
3/8/2017,56354526.5
3/9/2017,45148257.5
3/10/2017,48539835.5
3/11/2017,48493916.5
3/12/2017,41602867.5
3/13/2017,29761185.75
3/14/2017,27414201
3/15/2017,33967451
3/16/2017,30662260.5
3/17/2017,22064683
3/18/2017,5024273.5
3/19/2017,5283026
3/20/2017,4511298.5
3/21/2017,8889973.5
3/22/2017,10442532.5
3/23/2017,12207538.5
3/24/2017,2032544
3/25/2017,6633085.5
3/26/2017,304373.5
3/27/2017,6017569.5
3/28/2017,9737980
3/29/2017,13455215.5
3/30/2017,7978176
3/31/2017,14271184
4/1/2017,11438329
4/2/2017,3840439
4/3/2017,2222958
4/4/2017,12344852
4/5/2017,11053104
4/6/2017,12200478.5
4/7/2017,10454241
4/8/2017,29420906.25
4/9/2017,2585694
4/10/2017,8791788.5
4/11/2017,7713749
4/12/2017,12272608.5
4/13/2017,22463796
4/14/2017,40286354
4/15/2017,26838669
4/16/2017,4877901.5
4/17/2017,14021816
4/18/2017,20640286.5
4/19/2017,20381965
4/20/2017,27080279.5
4/21/2017,19917433.5
4/22/2017,15480124
4/23/2017,17616372
4/24/2017,3576868
4/25/2017,33454419.25
4/26/2017,35236899
4/27/2017,39077243
4/28/2017,45147215.5
4/29/2017,26130291.5
4/30/2017,14183038.5
5/1/2017,5169054
5/2/2017,21319726.5
5/3/2017,36477371.5
5/4/2017,59560790.5
5/5/2017,99065880
5/6/2017,64257015
5/7/2017,44526655
5/8/2017,44916173.5
5/9/2017,54653396
5/10/2017,73096131
5/11/2017,95735528.5
5/12/2017,106529345
5/13/2017,97595747
5/14/2017,84155131
5/15/2017,89949017.5
5/16/2017,115033202
5/17/2017,100513919.5
5/18/2017,99161933.5
5/19/2017,93719150.5
5/20/2017,98265216.5
5/21/2017,96461175.5
5/22/2017,111841794
