Date,TotalTransactions
12/6/2012,9572451
12/7/2012,9608124
12/8/2012,9640977
12/9/2012,9673327
12/10/2012,9705212
12/11/2012,9741735
12/12/2012,9778760
12/13/2012,9815756
12/14/2012,9857514
12/15/2012,9896241
12/16/2012,9929404
12/17/2012,9965643
12/18/2012,10006433
12/19/2012,10056237
12/20/2012,10102270
12/21/2012,10137279
12/22/2012,10181557
12/23/2012,10231842
12/24/2012,10269999
12/25/2012,10304998
12/26/2012,10334978
12/27/2012,10371253
12/28/2012,10414929
12/29/2012,10462078
12/30/2012,10500851
12/31/2012,10543880
1/1/2013,10574923
1/2/2013,10607977
1/3/2013,10645749
1/4/2013,10689444
1/5/2013,10736967
1/6/2013,10776919
1/7/2013,10809992
1/8/2013,10850581
1/9/2013,10889554
1/10/2013,10932348
1/11/2013,10985079
1/12/2013,11037730
1/13/2013,11084053
1/14/2013,11133971
1/15/2013,11177577
1/16/2013,11223805
1/17/2013,11275736
1/18/2013,11324748
1/19/2013,11374254
1/20/2013,11429595
1/21/2013,11470967
1/22/2013,11511741
1/23/2013,11554282
1/24/2013,11601767
1/25/2013,11647539
1/26/2013,11697182
1/27/2013,11750047
1/28/2013,11803931
1/29/2013,11856814
1/30/2013,11907424
1/31/2013,11948514
2/1/2013,12001174
2/2/2013,12058839
2/3/2013,12113515
2/4/2013,12174180
2/5/2013,12230103
2/6/2013,12284113
2/7/2013,12326149
2/8/2013,12389473
2/9/2013,12449436
2/10/2013,12507043
2/11/2013,12563302
2/12/2013,12621212
2/13/2013,12679870
2/14/2013,12738236
2/15/2013,12789852
2/16/2013,12844461
2/17/2013,12897001
2/18/2013,12946648
2/19/2013,12996905
2/20/2013,13050488
2/21/2013,13110924
2/22/2013,13167455
2/23/2013,13229224
2/24/2013,13287089
2/25/2013,13343889
2/26/2013,13412268
2/27/2013,13474740
2/28/2013,13535903
3/1/2013,13598834
3/2/2013,13663445
3/3/2013,13719394
3/4/2013,13772663
3/5/2013,13836824
3/6/2013,13893110
3/7/2013,13956499
3/8/2013,14023868
3/9/2013,14079216
3/10/2013,14135024
3/11/2013,14208133
3/12/2013,14266851
3/13/2013,14316803
3/14/2013,14373169
3/15/2013,14431750
3/16/2013,14494802
3/17/2013,14527964
3/18/2013,14563421
3/19/2013,14606935
3/20/2013,14652922
3/21/2013,14699235
3/22/2013,14755235
3/23/2013,14815723
3/24/2013,14868113
3/25/2013,14920113
3/26/2013,14967871
3/27/2013,15018090
3/28/2013,15070440
3/29/2013,15132212
3/30/2013,15193467
3/31/2013,15254299
4/1/2013,15297902
4/2/2013,15350645
4/3/2013,15413337
4/4/2013,15478894
4/5/2013,15544561
4/6/2013,15605535
4/7/2013,15657432
4/8/2013,15720811
4/9/2013,15783181
4/10/2013,15851234
4/11/2013,15914172
4/12/2013,15982159
4/13/2013,16040808
4/14/2013,16094101
4/15/2013,16150926
4/16/2013,16204700
4/17/2013,16272140
4/18/2013,16328800
4/19/2013,16377849
4/20/2013,16435511
4/21/2013,16482847
4/22/2013,16527267
4/23/2013,16574391
4/24/2013,16636371
4/25/2013,16702041
4/26/2013,16763420
4/27/2013,16818992
4/28/2013,16862126
4/29/2013,16904991
4/30/2013,16957087
5/1/2013,17003811
5/2/2013,17060676
5/3/2013,17115150
5/4/2013,17166278
5/5/2013,17217025
5/6/2013,17267052
5/7/2013,17320003
5/8/2013,17377525
5/9/2013,17428143
5/10/2013,17495329
5/11/2013,17563010
5/12/2013,17636602
5/13/2013,17701484
5/14/2013,17762224
5/15/2013,17829398
5/16/2013,17892373
5/17/2013,17953673
5/18/2013,18013034
5/19/2013,18065249
5/20/2013,18112406
5/21/2013,18161187
5/22/2013,18215291
5/23/2013,18267343
5/24/2013,18327164
5/25/2013,18381992
5/26/2013,18432920
5/27/2013,18473806
5/28/2013,18527140
5/29/2013,18585520
5/30/2013,18639856
5/31/2013,18696372
6/1/2013,18750853
6/2/2013,18804679
6/3/2013,18854845
6/4/2013,18911479
6/5/2013,18968119
6/6/2013,19025395
6/7/2013,19079857
6/8/2013,19132077
6/9/2013,19179588
6/10/2013,19224500
6/11/2013,19269817
6/12/2013,19318712
6/13/2013,19364831
6/14/2013,19408703
6/15/2013,19457866
6/16/2013,19493884
6/17/2013,19537219
6/18/2013,19583875
6/19/2013,19628991
6/20/2013,19676123
6/21/2013,19729922
6/22/2013,19775885
6/23/2013,19820439
6/24/2013,19858679
6/25/2013,19903350
6/26/2013,19947494
6/27/2013,19994588
6/28/2013,20039632
6/29/2013,20089797
6/30/2013,20126014
7/1/2013,20156291
7/2/2013,20195359
7/3/2013,20235054
7/4/2013,20270292
7/5/2013,20305777
7/6/2013,20342663
7/7/2013,20375577
7/8/2013,20406506
7/9/2013,20445873
7/10/2013,20486722
7/11/2013,20526427
7/12/2013,20570050
7/13/2013,20619435
7/14/2013,20656789
7/15/2013,20690399
7/16/2013,20727952
7/17/2013,20768115
7/18/2013,20807881
7/19/2013,20848986
7/20/2013,20885640
7/21/2013,20919929
7/22/2013,20954874
7/23/2013,20994783
7/24/2013,21033297
7/25/2013,21076174
7/26/2013,21117800
7/27/2013,21155715
7/28/2013,21191837
7/29/2013,21230643
7/30/2013,21271213
7/31/2013,21315021
8/1/2013,21363780
8/2/2013,21414941
8/3/2013,21467145
8/4/2013,21511443
8/5/2013,21555457
8/6/2013,21605448
8/7/2013,21660224
8/8/2013,21718265
8/9/2013,21775362
8/10/2013,21825982
8/11/2013,21876559
8/12/2013,21915245
8/13/2013,21965501
8/14/2013,22019554
8/15/2013,22070588
8/16/2013,22127928
8/17/2013,22199224
8/18/2013,22257108
8/19/2013,22313877
8/20/2013,22384112
8/21/2013,22446879
8/22/2013,22509027
8/23/2013,22574543
8/24/2013,22629577
8/25/2013,22681696
8/26/2013,22726987
8/27/2013,22782269
8/28/2013,22844276
8/29/2013,22909978
8/30/2013,22968800
8/31/2013,23030744
9/1/2013,23077433
9/2/2013,23124245
9/3/2013,23176392
9/4/2013,23228838
9/5/2013,23280617
9/6/2013,23341870
9/7/2013,23404354
9/8/2013,23454968
9/9/2013,23500691
9/10/2013,23559190
9/11/2013,23611975
9/12/2013,23660611
9/13/2013,23714158
9/14/2013,23758981
9/15/2013,23801417
9/16/2013,23855615
9/17/2013,23909007
9/18/2013,23977226
9/19/2013,24036034
9/20/2013,24096566
9/21/2013,24154304
9/22/2013,24206791
9/23/2013,24258317
9/24/2013,24323668
9/25/2013,24386007
9/26/2013,24441697
9/27/2013,24498716
9/28/2013,24545065
9/29/2013,24587885
9/30/2013,24628315
10/1/2013,24675350
10/2/2013,24733873
10/3/2013,24794525
10/4/2013,24854698
10/5/2013,24905813
10/6/2013,24951132
10/7/2013,24994546
10/8/2013,25040424
10/9/2013,25084585
10/10/2013,25135957
10/11/2013,25192822
10/12/2013,25244071
10/13/2013,25293601
10/14/2013,25344485
10/15/2013,25401959
10/16/2013,25458329
10/17/2013,25508453
10/18/2013,25556817
10/19/2013,25615143
10/20/2013,25672174
10/21/2013,25720144
10/22/2013,25780740
10/23/2013,25845690
10/24/2013,25901649
10/25/2013,25964772
10/26/2013,26022313
10/27/2013,26069832
10/28/2013,26113692
10/29/2013,26164782
10/30/2013,26214977
10/31/2013,26264072
11/1/2013,26320894
11/2/2013,26365993
11/3/2013,26405872
11/4/2013,26440851
11/5/2013,26487515
11/6/2013,26539802
11/7/2013,26595563
11/8/2013,26655030
11/9/2013,26714951
11/10/2013,26770087
11/11/2013,26826681
11/12/2013,26883665
11/13/2013,26941978
11/14/2013,27007967
11/15/2013,27077177
11/16/2013,27137550
11/17/2013,27184145
11/18/2013,27236692
11/19/2013,27319034
11/20/2013,27409802
11/21/2013,27485379
11/22/2013,27558620
11/23/2013,27635949
11/24/2013,27706910
11/25/2013,27767714
11/26/2013,27839343
11/27/2013,27926889
11/28/2013,28019674
11/29/2013,28118687
11/30/2013,28208498
12/1/2013,28282590
12/2/2013,28354872
12/3/2013,28431204
12/4/2013,28508089
12/5/2013,28588953
12/6/2013,28673205
12/7/2013,28743635
12/8/2013,28809793
12/9/2013,28857723
12/10/2013,28921451
12/11/2013,28990656
12/12/2013,29057543
12/13/2013,29114386
