training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.5,0.66,0.79,1.0,0.63,0.63,and(!$MarketCap_bin2 !$MempoolCount_bin5 !$MinningDifficulty_bin7) 
0.5,0.66,0.79,1.0,0.63,0.63,and(!$MarketCap_bin2 !$MempoolSize_bin5 !$MinningDifficulty_bin7) 
0.47,0.66,0.82,0.79,0.6,0.65,and(or(and(!$MarketCap_bin2 !$MempoolCount_bin2) $HashRate_bin1) !$MempoolCount_bin5 !$MinningDifficulty_bin7) 
0.47,0.66,0.82,0.79,0.6,0.65,and(or(and(!$MarketCap_bin2 !$MempoolSize_bin2) $HashRate_bin1) !$MempoolCount_bin5 !$MinningDifficulty_bin7) 
0.46,0.65,0.81,0.79,0.6,0.65,and(or($GoldPrice_bin4 !$MempoolCount_bin5) !$MarketCap_bin2 !$MempoolCount_bin2 !$MinningDifficulty_bin7) 
0.46,0.65,0.81,0.79,0.6,0.65,and(or($GoldPrice_bin4 !$MempoolCount_bin5) !$MarketCap_bin2 !$MempoolSize_bin2 !$MinningDifficulty_bin7) 
0.52,0.67,0.79,1.0,0.63,0.63,and(or($GoldPrice_bin4 !$MempoolCount_bin5) !$MarketCap_bin2 !$MinningDifficulty_bin7) 
0.51,0.66,0.79,1.0,0.63,0.63,and(or(!$MarketCap_bin2 $HashRate_bin1) !$MempoolCount_bin5 !$MinningDifficulty_bin7) 
0.51,0.66,0.79,1.0,0.63,0.63,and(or($BlockSize_bin9 !$MempoolCount_bin5) !$MarketCap_bin2 !$MinningDifficulty_bin7) 
0.51,0.66,0.79,1.0,0.63,0.63,and(or($HashRate_bin4 !$MempoolCount_bin5) !$MarketCap_bin2 !$MinningDifficulty_bin7) 
