training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.43,0.63,0.75,0.57,0.6,0.57,or(and(or($TransactionPerDay_bin4 $TransactionVolume_USD_bin0) !$MarketCap_bin1 !$TransactionFee_bin0) and($TransactionFee_bin2 !$TransactionVolume_USD_bin0)) 
0.43,0.63,0.75,0.57,0.6,0.57,or(and(or($TransactionPerDay_bin4 $TransactionVolume_USD_bin0) !$MarketCap_bin1 !$TransactionFee_bin0) and($TransactionFee_bin2 $TransactionVolume_USD_bin1)) 
0.41,0.6,0.7,0.57,0.6,0.57,or(and(!$MarketCap_bin1 !$TransactionFee_bin0 $TransactionVolume_USD_bin0) $TransactionFee_bin2) 
0.44,0.63,0.76,0.57,0.6,0.57,or(and(or($MinningDifficulty_bin6 $TransactionPerDay_bin4 $TransactionVolume_USD_bin0) !$MarketCap_bin1 !$TransactionFee_bin0) and($TransactionFee_bin2 !$TransactionVolume_USD_bin0)) 
0.45,0.65,0.78,0.57,0.57,0.53,or(and(or(and(!$TransactionPerDay_bin3 $TransactionVolume_USD_bin0) $TransactionPerDay_bin4) or(!$MarketCap_bin1 $GTrends_bin2) !$TransactionFee_bin0) and($TransactionFee_bin2 !$TransactionVolume_USD_bin0)) 
0.45,0.65,0.78,0.57,0.57,0.53,or(and(or(and(!$TransactionPerDay_bin3 $TransactionVolume_USD_bin0) $TransactionPerDay_bin4) or(!$MarketCap_bin1 $GTrends_bin2) !$TransactionFee_bin0) and($TransactionFee_bin2 $TransactionVolume_USD_bin1)) 
0.46,0.62,0.72,0.86,0.67,0.6,or(and(or($TransactionPerDay_bin4 $TransactionVolume_USD_bin0) !$MarketCap_bin1) and($TransactionFee_bin2 !$TransactionVolume_USD_bin0)) 
0.46,0.64,0.75,0.57,0.6,0.57,or(and(or($MempoolCount_bin2 $TransactionPerDay_bin4 $TransactionVolume_USD_bin0) !$MarketCap_bin1 !$TransactionFee_bin0) and($TransactionFee_bin2 !$TransactionVolume_USD_bin0)) 
0.46,0.64,0.75,0.57,0.57,0.53,or(and(or(!$MarketCap_bin1 $GTrends_bin2) or($TransactionPerDay_bin4 $TransactionVolume_USD_bin0) !$TransactionFee_bin0) and($TransactionFee_bin2 !$TransactionVolume_USD_bin0)) 
0.46,0.64,0.75,0.57,0.57,0.53,or(and(or(!$MarketCap_bin1 $GTrends_bin2) or($TransactionPerDay_bin4 $TransactionVolume_USD_bin0) !$TransactionFee_bin0) and($TransactionFee_bin2 $TransactionVolume_USD_bin1)) 
