Score
45
54
54
52
50
45
44
50
49
50
55
46
40
38
37
76
100
70
51
42
39
45
43
40
39
39
32
31
32
35
38
49
65
42
37
64
80
52
43
38
31
28
31
29
29
31
28
26
26
25
28
28
26
23
20
20
21
22
21
20
19
18
17
19
19
22
21
24
18
18
20
19
22
24
20
19
22
21
19
19
18
17
14
15
20
19
17
20
23
17
18
100
91
88
93
95
77
72
85
84
76
96
95
73
72
77
75
74
78
79
72
71
78
92
86
73
73
63
63
67
66
66
69
68
67
63
70
68
64
66
77
62
57
69
64
63
62
59
51
51
57
59
73
70
60
51
52
59
62
58
55
51
49
48
54
52
52
52
49
44
64
82
68
76
66
56
50
49
57
55
55
51
63
55
64
57
54
52
51
67
59
50
72
67
66
67
61
53
57
61
66
60
65
61
55
53
64
82
94
79
73
65
63
77
100
91
81
81
65
63
72
74
70
69
70
66
63
70
72
89
75
72
73
64
73
90
83
71
68
58
57
65
68
73
66
62
56
55
62
76
69
69
62
59
63
64
68
83
92
72
61
60
66
67
73
70
63
56
53
61
58
61
61
68
57
53
57
59
60
59
58
50
49
52
38
40
39
36
33
31
38
39
40
52
42
35
35
47
42
39
38
37
33
32
38
38
38
37
36
32
30
37
37
39
38
37
33
38
41
40
39
38
37
31
33
37
39
59
68
52
43
39
68
100
78
55
58
54
81
80
73
68
59
55
48
42
53
53
51
56
73
53
48
54
50
49
50
54
49
46
55
54
59
60
56
45
45
52
50
47
48
48
43
40
40
77
90
93
88
75
77
88
86
86
100
88
73
78
83
82
78
76
72
65
63
73
72
68
71
70
64
61
76
78
72
71
69
63
61
75
86
84
77
80
75
68
72
69
71
71
68
62
61
82
92
84
80
76
74
93
80
78
69
71
67
63
62
67
73
72
69
66
67
62
68
68
64
64
64
66
64
68
70
73
76
70
64
59
67
66
73
68
70
61
60
73
43
46
33
27
23
24
28
26
26
27
23
20
19
22
22
23
22
22
21
20
22
30
25
23
25
19
19
20
20
21
21
27
24
23
24
28
28
31
32
43
44
51
61
49
46
43
34
37
37
38
34
32
32
29
30
43
39
36
39
35
29
29
31
37
31
29
30
26
25
26
27
27
27
30
29
37
39
40
34
34
43
69
48
51
56
100
86
63
48
41
49
100
92
85
80
70
64
81
91
98
88
85
70
73
88
87
96
88
75
64
64
68
68
72
69
63
65
59
65
62
65
62
69
62
61
90
87
78
74
66
61
57
66
66
73
77
64
57
57
65
64
64
63
60
53
52
59
59
61
69
57
49
47
60
64
59
57
58
49
47
53
51
51
51
48
44
43
48
46
47
51
47
41
42
48
70
78
73
65
52
52
61
56
62
62
57
53
53
63
61
62
61
56
50
48
57
57
59
57
55
50
49
56
55
68
65
74
100
72
72
71
63
62
59
52
51
58
61
58
56
58
52
51
55
55
55
51
51
50
48
53
58
54
64
76
60
58
80
68
63
60
55
51
51
55
55
55
55
52
48
44
51
52
51
52
51
50
48
54
66
67
62
55
51
48
58
50
51
52
51
51
49
51
49
48
61
65
63
59
63
83
86
62
71
66
57
56
88
81
71
73
74
79
68
61
61
62
61
54
49
60
74
78
79
73
67
64
68
71
82
78
73
69
100
80
87
