,Date,Price,MarketCap,BlockSize,GoldPrice,GTrends,HashRate,MempoolCount,MempoolSize,MinningDifficulty,TransactionPerDay,TransactionFee,TransactionVolume_USD
210,2017-01-10,907.68,14608685049,932439,1246.2,47,2147763.14,18277764.5,18277764.5,317688000000,274694,102.04,115808000
211,2017-01-11,777.76,12519135996,956578,1257.7,59,2679581.83,8550282.5,8550282.5,336900000000,322023,119.94,310928992
212,2017-01-12,804.83,12956730411,926294,1261.0,64,2562350.13,8147081.0,8147081.0,336900000000,305180,111.82,222326000
213,2017-01-13,823.98,13266554392,786284,1259.0,48,2897297.86,8110578.0,8110578.0,336900000000,287174,106.35,168968000
214,2017-01-14,818.41,13178601992,858146,1203.35,49,2528855.36,2038561.0,2038561.0,336900000000,279376,97.9,93063296
215,2017-01-15,821.8,13234840657,742770,1203.35,39,2880550.47,1724480.5,1724480.5,336900000000,244361,86.85,71013600
216,2017-01-16,831.53,13393372620,659940,1202.85,40,2796813.54,2115040.0,2115040.0,336900000000,228627,82.22,82755200
217,2017-01-17,907.94,14625779851,775267,1275.1,45,2830308.31,1675297.0,1675297.0,336900000000,273886,103.64,155095008
218,2017-01-18,886.62,14284036613,892992,1273.4,43,2646087.06,5228278.0,5228278.0,336900000000,288085,109.39,225676992
219,2017-01-19,899.07,14486616700,901456,1263.2,41,2528855.36,1628013.5,1628013.5,336900000000,300771,108.62,105625000
220,2017-01-20,895.03,14423545371,834378,1266.9,40,2914045.25056,2450458.75,2450458.75,336900000000,301376,112.3957332,86728400
221,2017-01-21,921.79,14856911163,720772,1276.6,37,3165256.04802,1786305.0,1786305.0,336900000000,297984,104.84963495,111158000
222,2017-01-22,924.67,14905439337,682652,1276.6,36,3031276.95604,1608552.0,1608552.0,336900000000,259412,94.58963263,116573000
223,2017-01-23,921.01,14848013909,682543,1276.6,36,3398969.8922599996,9891430.5,9891430.5,392963000000,238313,87.11486550000001,73588600
224,2017-01-24,892.69,14393026385,914369,1271.8,41,2715269.05187,30023816.5,30023816.5,392963000000,232181,110.16262179,111349000
225,2017-01-25,901.54,14537488261,973645,1258.8,37,2910612.14912,33262798.0,33262798.0,392963000000,281612,143.1652105,120831000
226,2017-01-26,917.59,14797955301,987848,1250.6,40,2930146.45885,7539797.0,7539797.0,392963000000,307876,135.60681540000002,131958000
227,2017-01-27,919.75,14834831700,993133,1249.4,34,3066886.62693,5027470.5,5027470.5,392963000000,311840,125.18892663,125594000
228,2017-01-28,921.59,14866260449,837700,1254.1,34,3320832.65336,2786432.5,2786432.5,392963000000,261455,114.04371837,68979600
229,2017-01-29,919.5,14834377926,877454,1254.1,32,2969215.0783,6906576.25,6906576.25,392963000000,247177,122.5350693,60851700
230,2017-01-30,920.38,14850351605,855056,1254.1,34,3262229.72419,31355010.0,31355010.0,392963000000,240969,119.8377983,78227296
231,2017-01-31,970.4,15659186515,963722,1269.5,38,2852009.21995,31411343.5,31411343.5,392963000000,252964,137.40589477,164582000
232,2017-02-01,989.02,15962015276,959553,1267.2,42,2832474.91022,15991761.0,15991761.0,392963000000,310700,145.66158893,150110000
233,2017-02-02,1011.8,16331615570,962227,1278.3,48,3750587.4673300004,11151116.0,11151116.0,392963000000,345155,154.9165724,145820992
234,2017-02-03,1029.91,16625849489,914052,1279.9,47,3066886.62693,36862637.0,36862637.0,392963000000,258411,142.30055361,201278000
235,2017-02-04,1042.9,16837411920,970806,1291.0,43,2910612.14912,17737602.5,17737602.5,392963000000,323316,162.42120704,155064000
236,2017-02-05,1027.34,16588240157,947774,1291.0,41,3043000.8428700003,14654654.5,14654654.5,422171000000,285317,139.35303348,114208000
237,2017-02-06,1038.15,16764422010,961903,1291.0,37,3336807.8208,19515762.0,19515762.0,422171000000,294119,136.17869567,111762000
238,2017-02-07,1061.35,17141080574,979210,1294.1,45,2623276.58868,43185267.75,43185267.75,422171000000,227395,154.93020175,146007008
239,2017-02-08,1063.07,17170799127,945677,1296.0,48,3168918.11913,42172629.5,42172629.5,422171000000,329294,170.75671139,201855008
240,2017-02-09,994.38,16063448932,961155,1293.1,54,3063987.05558,35734136.0,35734136.0,422171000000,308783,157.14493504,407220000
241,2017-02-10,988.67,15973053725,956012,1292.2,43,3546669.9479,32444996.0,32444996.0,422171000000,343011,174.18568718,190452000
242,2017-02-11,1004.45,16229677099,967112,1282.6,44,3105959.481,14885861.0,14885861.0,422171000000,304452,141.11220269,102261000
243,2017-02-12,999.18,16146290349,957656,1282.6,38,2917083.5666099996,5449688.0,5449688.0,422171000000,259283,117.08000976,67530000
244,2017-02-13,990.64,16010322103,863048,1282.6,36,2959055.99203,7268375.5,7268375.5,422171000000,233746,102.74261946,100607000
245,2017-02-14,1004.55,16237219721,917950,1282.6,39,3420752.6716400003,3108333.0,3108333.0,422171000000,293068,136.77242215,137946000
246,2017-02-15,1007.48,16286329282,890610,1291.9,38,3546669.9479,13083822.5,13083822.5,422171000000,316138,140.99131586,89759400
247,2017-02-16,1027.44,16610905026,940094,1300.4,38,2917083.5666099996,28553421.0,28553421.0,422171000000,288256,134.04888989,122277000
248,2017-02-17,1046.21,16916338976,973956,1297.1,41,3189904.33184,25394407.5,25394407.5,422171000000,291742,170.92843209,136474000
249,2017-02-18,1054.42,17051064834,969080,1237.3,39,3168918.11913,19914848.0,19914848.0,422171000000,320287,165.84442388,99073504
250,2017-02-19,1047.87,16946913346,961960,1237.3,35,3330515.74407,13715047.5,13715047.5,440780000000,282995,153.36709614,77423296
251,2017-02-20,1079.98,17468244508,930902,1238.2,38,2936112.56385,9866992.0,9866992.0,440780000000,251769,129.44377921,109478000
252,2017-02-21,1115.3,18041455273,947068,1296.9,48,3242870.5929099997,26541994.0,26541994.0,440780000000,282545,159.91401438,186868992
253,2017-02-22,1117.44,18077985665,954252,1291.0,51,3023757.71501,47079641.0,47079641.0,440780000000,279300,165.81707207,136100000
254,2017-02-23,1166.72,18877442096,969897,1309.4,56,3045669.0028,63932011.5,63932011.5,440780000000,279390,183.25580355,189454000
255,2017-02-24,1173.68,18992415818,967386,1316.1,63,3286693.16849,56929144.5,56929144.5,440780000000,328652,211.65472424,330759008
256,2017-02-25,1143.84,18511906560,971158,1316.8,50,3637273.77313,40496404.0,40496404.0,440780000000,344094,230.61490244,139960992
257,2017-02-26,1165.2,18860247630,966343,1316.8,40,3659185.0609199996,11220022.5,11220022.5,440780000000,321776,191.30417997,116486000
258,2017-02-27,1179.97,19101427518,921744,1316.8,46,3900209.22661,15645298.5,15645298.5,440780000000,271371,161.17260121,131570000
259,2017-02-28,1179.97,19103684801,945159,1312.0,50,3155225.44175,34137044.5,34137044.5,440780000000,283344,195.38746144,184956000
260,2017-03-01,1222.5,19794459608,968240,1308.8,48,3352427.03186,43418674.0,43418674.0,440780000000,327993,227.37147230000002,229056992
261,2017-03-02,1251.01,20258543188,979150,1291.6,60,3155225.44175,40141501.5,40141501.5,440780000000,313872,229.59036693,368275008
262,2017-03-03,1274.99,20649259919,955603,1286.5,78,3440072.18302,62309826.0,62309826.0,440780000000,331010,252.22663973,315739008
263,2017-03-04,1255.15,20329978338,985294,1285.0,59,3458650.3231900004,60114856.75,60114856.75,460769000000,335316,259.68606189,183270000
264,2017-03-05,1267.12,20526235270,985894,1285.0,49,3069265.8497200003,50125449.0,50125449.0,460769000000,267615,222.87178018,134127000
265,2017-03-06,1272.83,20620991547,983250,1285.0,53,3367030.44708,62830053.0,62830053.0,460769000000,278613,216.69618574,153656992
266,2017-03-07,1223.54,19824773912,965595,1275.4,52,3252505.60194,63834734.0,63834734.0,460769000000,287161,238.98093612,291256000
267,2017-03-08,1150.0,18635275050,974857,1269.6,58,3504460.2612400004,56354526.5,56354526.5,460769000000,327660,269.77191295,332603008
268,2017-03-09,1188.49,19261188310,979431,1263.4,55,3252505.60194,45148257.5,45148257.5,460769000000,298572,233.7307623,212283008
269,2017-03-10,1116.72,18100188612,991813,1261.7,100,3389935.4161,48539835.5,48539835.5,460769000000,304950,236.67178552,563795968
270,2017-03-11,1175.83,19060468862,991811,1264.3,73,3573175.1683300002,48493916.5,48493916.5,460769000000,308143,257.91797636,283320000
271,2017-03-12,1221.38,19801195767,997570,1264.3,51,3412840.38513,41602867.5,41602867.5,460769000000,278520,217.66771727,227176000
272,2017-03-13,1231.92,19974334865,960152,1264.3,54,3550270.1993,29761185.75,29761185.75,460769000000,221890,190.62879952,380276992
273,2017-03-14,1240.0,20107761880,975970,1264.0,46,3321220.50902,27414201.0,27414201.0,460769000000,271118,220.75092528,245306000
274,2017-03-15,1249.61,20265831337,968846,1262.0,48,3573175.1683300002,33967451.0,33967451.0,460769000000,313521,256.53171308,297804992
275,2017-03-16,1187.81,19265847025,984010,1288.4,52,3252505.60194,30662260.5,30662260.5,460769000000,291859,236.25501962,638568000
276,2017-03-17,1100.23,17847435957,988273,1291.3,54,3504460.2612400004,22064683.0,22064683.0,460769000000,324045,264.55158129,706598976
277,2017-03-18,973.82,15798760668,993909,1294.9,62,3641704.8372,5024273.5,5024273.5,475705000000,294562,244.58901754,621302016
