training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.49,0.69,0.89,0.1,0.67,0.5,or($GTrends_bin6 $MinningDifficulty_bin0) 
0.48,0.69,0.9,0.1,0.67,0.5,or(and(!$GoldPrice_bin0 $GTrends_bin6) $MinningDifficulty_bin0) 
0.49,0.69,0.89,0.1,0.67,0.5,and(or($GTrends_bin6 $MinningDifficulty_bin0) !$MinningDifficulty_bin4) 
0.49,0.69,0.89,0.1,0.67,0.5,and(or($GTrends_bin6 $MinningDifficulty_bin0) !$MinningDifficulty_bin5) 
0.49,0.69,0.89,0.1,0.67,0.5,or(and(!$BlockSize_bin0 $MinningDifficulty_bin0) $GTrends_bin6) 
0.49,0.69,0.89,0.1,0.67,0.5,or(and(!$GTrends_bin2 $GTrends_bin6) $MinningDifficulty_bin0) 
0.49,0.69,0.89,0.1,0.67,0.5,or(and(!$GTrends_bin3 $GTrends_bin6) $MinningDifficulty_bin0) 
0.49,0.69,0.89,0.1,0.67,0.5,or(and($GTrends_bin6 !$MinningDifficulty_bin4) $MinningDifficulty_bin0) 
0.49,0.69,0.89,0.1,0.67,0.5,or(and($GTrends_bin6 !$MinningDifficulty_bin5) $MinningDifficulty_bin0) 
0.49,0.69,0.89,0.1,0.67,0.5,or(and(!$HashRate_bin7 $MinningDifficulty_bin0) $GTrends_bin6) 
