,Date,Price,MarketCap,BlockSize,GoldPrice,GTrends,HashRate,MempoolCount,MempoolSize,MinningDifficulty,TransactionPerDay,TransactionFee,TransactionVolume_USD
420,2017-08-08,3419.94,56417337745,943680,1307.1,54,6542565.6185099995,39264431.5,39264431.5,860222000000,250460,121.82649183,1752760064
421,2017-08-09,3342.47,55145196472,980759,1323.7,49,7012946.15317,38840122.5,38840122.5,860222000000,275658,159.06311046,1468960000
422,2017-08-10,3381.28,55791120000,954238,1334.5,44,6333394.737369999,42420792.5,42420792.5,923233000000,257587,157.95191308,1515110016
423,2017-08-11,3650.62,60241844923,981214,1338.1,50,6149818.07831,53544061.0,53544061.0,923233000000,262547,193.18600285,2021190016
424,2017-08-12,3884.71,64111163866,953436,1334.8,59,6608759.72595,10385273.0,10385273.0,923233000000,279050,234.94470226,2219589888
425,2017-08-13,4073.26,67230528989,992788,1334.8,76,6195712.24308,17910292.0,17910292.0,923233000000,261787,210.75240215,3159089920
426,2017-08-14,4325.13,71394704654,985007,1334.8,83,6792336.385,25994460.0,25994460.0,923233000000,264085,189.71104645,2463089920
427,2017-08-15,4181.93,69038855081,953352,1324.2,82,5966241.41926,50044160.0,50044160.0,923233000000,258580,249.18827382,3258050048
428,2017-08-16,4376.63,72260183303,970809,1327.5,66,6975913.04406,68565703.0,68565703.0,923233000000,309307,350.45038263,2272039936
429,2017-08-17,4331.69,71527949443,973641,1336.8,63,5966241.41926,50027482.5,50027482.5,923233000000,276650,347.52500864,2553359872
430,2017-08-18,4160.62,68710871037,978675,1335.7,63,8215055.49267,52469574.0,52469574.0,923233000000,348663,365.31634907,2941710080
431,2017-08-19,4193.7,69265141208,959973,1341.0,58,6838230.549769999,51942348.5,51942348.5,923233000000,306634,337.96192313,2975820032
432,2017-08-20,4087.66,67520478838,966474,1341.0,50,6930018.87929,36724596.0,36724596.0,923233000000,265055,265.91179874,2109769984
433,2017-08-21,4001.74,66106992038,961367,1341.0,48,5966241.41926,44527945.5,44527945.5,923233000000,215938,208.98199629,2800890112
434,2017-08-22,4100.52,67743202431,976478,1335.5,60,5277828.94781,72831714.5,72831714.5,923233000000,238261,297.96496476,3764239872
435,2017-08-23,4151.52,68593954170,998196,1338.8,53,4084580.66396,78885859.0,78885859.0,923233000000,196535,334.18474511,2369819904
436,2017-08-24,4334.68,71625870868,986505,1336.0,52,7297172.1974,83609290.0,83609290.0,923233000000,313947,541.97068152,2037750016
437,2017-08-25,4371.6,72241507489,923254,1341.9,52,4459277.50765,102234720.0,102234720.0,888172000000,201512,385.99923422,1727970048
