training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.45,0.59,1.0,0.0,0.43,-1.0,and(or(and($TransactionPerDay_bin9 $TransactionVolume_USD_bin2) $TransactionVolume_USD_bin0) !$BlockSize_bin4) 
0.5,0.63,1.0,0.0,0.43,-1.0,and(or(and($TransactionPerDay_bin9 $TransactionVolume_USD_bin2) $TransactionVolume_USD_bin0) !$HashRate_bin1) 
0.5,0.63,1.0,0.0,0.43,-1.0,and(or(and($TransactionPerDay_bin9 $TransactionVolume_USD_bin2) $TransactionVolume_USD_bin0) !$TransactionPerDay_bin6) 
0.45,0.59,1.0,0.0,0.43,-1.0,or(and(!$BlockSize_bin4 $TransactionVolume_USD_bin0) and($TransactionPerDay_bin9 $TransactionVolume_USD_bin2)) 
0.5,0.63,1.0,0.0,0.43,-1.0,or(and(!$HashRate_bin1 $TransactionVolume_USD_bin0) and($TransactionPerDay_bin9 $TransactionVolume_USD_bin2)) 
0.5,0.63,1.0,0.0,0.43,-1.0,or(and(!$TransactionPerDay_bin6 $TransactionVolume_USD_bin0) and($TransactionPerDay_bin9 $TransactionVolume_USD_bin2)) 
0.4,0.56,1.0,0.0,0.43,-1.0,and(or(and($TransactionPerDay_bin9 $TransactionVolume_USD_bin2) $TransactionVolume_USD_bin0) !$MempoolCount_bin4) 
0.4,0.56,1.0,0.0,0.43,-1.0,and(or(and($TransactionPerDay_bin9 $TransactionVolume_USD_bin2) $TransactionVolume_USD_bin0) !$MempoolSize_bin4) 
0.4,0.56,1.0,0.0,0.43,-1.0,or(and(!$MempoolCount_bin4 $TransactionVolume_USD_bin0) and($TransactionPerDay_bin9 $TransactionVolume_USD_bin2)) 
0.4,0.56,1.0,0.0,0.43,-1.0,or(and(!$MempoolSize_bin4 $TransactionVolume_USD_bin0) and($TransactionPerDay_bin9 $TransactionVolume_USD_bin2)) 
