training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.8,0.92,1.0,0.2,0.33,0.5,and(or(and(or(!$HashRate_bin5 $TransactionPerDay_bin5) $TransactionVolume_USD_bin0) and($MarketCap_bin0 $TransactionVolume_USD_bin1) and($TransactionPerDay_bin1 $TransactionFee_bin0)) !$HashRate_bin4) 
0.7,0.85,0.88,0.15,0.33,0.5,and(or(and($MarketCap_bin0 $TransactionVolume_USD_bin1) $TransactionVolume_USD_bin0) !$HashRate_bin4) 
0.8,0.88,0.89,0.2,0.33,0.5,and(or(and($MarketCap_bin0 $TransactionVolume_USD_bin1) and($TransactionPerDay_bin1 $TransactionFee_bin0) $TransactionVolume_USD_bin0) !$HashRate_bin4) 
0.8,0.88,0.89,0.25,0.37,0.56,or(and($MarketCap_bin0 $TransactionVolume_USD_bin1) and(!$HashRate_bin4 $TransactionVolume_USD_bin0) and($TransactionPerDay_bin1 $TransactionFee_bin0)) 
0.9,0.92,0.9,0.2,0.33,0.5,and(or(and(or($MarketCap_bin0 $TransactionPerDay_bin1) $TransactionFee_bin0) and($MarketCap_bin0 $TransactionVolume_USD_bin1) $TransactionVolume_USD_bin0) !$HashRate_bin4) 
0.7,0.85,0.88,0.3,0.43,0.67,and(or(and($MarketCap_bin0 $TransactionVolume_USD_bin1) and($TransactionPerDay_bin1 $TransactionFee_bin0) $TransactionVolume_USD_bin0) !$MarketCap_bin1) 
0.7,0.85,0.88,0.25,0.37,0.56,and(or(and($MarketCap_bin0 $TransactionVolume_USD_bin1) and($TransactionPerDay_bin1 $TransactionFee_bin0) $TransactionVolume_USD_bin0) !$TransactionPerDay_bin5) 
0.7,0.85,0.88,0.25,0.37,0.56,or(and($MarketCap_bin0 $TransactionVolume_USD_bin0) and($MarketCap_bin0 $TransactionVolume_USD_bin1) and($TransactionPerDay_bin1 $TransactionFee_bin0)) 
0.7,0.85,0.88,0.3,0.4,0.6,or(and($MarketCap_bin0 $TransactionVolume_USD_bin1) and(!$MarketCap_bin1 $TransactionVolume_USD_bin0) and($TransactionPerDay_bin1 $TransactionFee_bin0)) 
0.7,0.85,0.88,0.3,0.4,0.6,or(and($MarketCap_bin0 $TransactionVolume_USD_bin1) and(!$BlockSize_bin3 $TransactionVolume_USD_bin0) and($TransactionPerDay_bin1 $TransactionFee_bin0)) 
