training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.88,0.95,1.0,1.0,0.37,0.24,or(and(or(and(!$TransactionPerDay_bin4 $TransactionVolume_USD_bin0) $HashRate_bin9 $TransactionVolume_USD_bin3) !$MempoolCount_bin1 !$MempoolCount_bin2 !$MempoolSize_bin2 !$TransactionVolume_USD_bin1) $MarketCap_bin0) 
0.88,0.95,1.0,1.0,0.37,0.24,or(and(or(and(!$TransactionPerDay_bin4 $TransactionVolume_USD_bin0) $HashRate_bin9 $TransactionVolume_USD_bin3) !$MempoolCount_bin1 !$MempoolCount_bin2 !$MempoolSize_bin2 !$TransactionVolume_USD_bin1) !$MarketCap_bin1) 
0.88,0.95,1.0,1.0,0.37,0.24,or(and(or(and(!$TransactionPerDay_bin4 $TransactionVolume_USD_bin0) $HashRate_bin9 $TransactionVolume_USD_bin3) !$MempoolCount_bin1 !$MempoolCount_bin2 !$MempoolSize_bin2 !$TransactionVolume_USD_bin1) and($MarketCap_bin0 !$MempoolCount_bin4)) 
0.75,0.91,1.0,0.17,0.47,0.08,and(or($HashRate_bin9 $TransactionVolume_USD_bin0 $TransactionVolume_USD_bin3) !$MempoolCount_bin1 !$MempoolCount_bin2 !$TransactionVolume_USD_bin1) 
0.75,0.91,1.0,0.17,0.47,0.08,and(or($HashRate_bin9 $TransactionVolume_USD_bin0 $TransactionVolume_USD_bin3) !$MempoolCount_bin1 !$MempoolSize_bin2 !$TransactionVolume_USD_bin1) 
0.75,0.91,1.0,0.17,0.37,0.07,and(or($HashRate_bin9 $MempoolSize_bin9 $TransactionVolume_USD_bin0 $TransactionVolume_USD_bin3) !$MempoolCount_bin1 !$MempoolSize_bin2 !$TransactionVolume_USD_bin1) 
0.75,0.91,1.0,0.17,0.47,0.08,and(or($HashRate_bin9 $TransactionVolume_USD_bin0 $TransactionVolume_USD_bin3) !$MempoolCount_bin1 !$MempoolCount_bin2 !$MempoolSize_bin2 !$TransactionVolume_USD_bin1) 
0.75,0.91,1.0,0.17,0.47,0.08,and(or($HashRate_bin9 $TransactionVolume_USD_bin0 $TransactionVolume_USD_bin3) !$MempoolCount_bin1 !$MempoolCount_bin2 !$TransactionPerDay_bin4 !$TransactionVolume_USD_bin1) 
0.75,0.91,1.0,0.17,0.47,0.08,and(or($HashRate_bin9 $TransactionVolume_USD_bin0 $TransactionVolume_USD_bin3) !$MempoolCount_bin1 !$MempoolSize_bin2 !$TransactionPerDay_bin4 !$TransactionVolume_USD_bin1) 
0.75,0.91,1.0,0.17,0.47,0.08,and(or(and($MempoolSize_bin5 $TransactionVolume_USD_bin2) $TransactionVolume_USD_bin0 $TransactionVolume_USD_bin3) !$MempoolCount_bin1 !$MempoolSize_bin2 !$TransactionVolume_USD_bin1) 
