training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.47,0.62,0.9,0.53,0.67,0.73,and(or(and(!$GoldPrice_bin0 $TransactionVolume_USD_bin1) $MinningDifficulty_bin1 $TransactionVolume_USD_bin3) !$MinningDifficulty_bin4) 
0.54,0.64,0.86,0.53,0.67,0.73,and(or($MinningDifficulty_bin1 $TransactionVolume_USD_bin1 $TransactionVolume_USD_bin3) !$MinningDifficulty_bin4) 
0.54,0.64,0.86,0.53,0.67,0.73,or(and(or($TransactionVolume_USD_bin1 $TransactionVolume_USD_bin3) !$MinningDifficulty_bin4) $MinningDifficulty_bin1) 
0.46,0.61,0.89,0.53,0.67,0.73,and(or(and(!$GoldPrice_bin0 !$TransactionFee_bin3 $TransactionVolume_USD_bin1) $MinningDifficulty_bin1 $TransactionVolume_USD_bin3) !$MinningDifficulty_bin4) 
0.47,0.61,0.87,0.53,0.67,0.73,and(or(and(!$TransactionFee_bin3 $TransactionVolume_USD_bin1) $MinningDifficulty_bin1 $TransactionVolume_USD_bin3) !$MinningDifficulty_bin4) 
0.5,0.62,0.85,0.53,0.67,0.73,or(and(!$GoldPrice_bin0 $TransactionVolume_USD_bin1) $MinningDifficulty_bin1 $TransactionVolume_USD_bin3) 
0.46,0.61,0.87,0.53,0.67,0.73,and(or(and(or($MinningDifficulty_bin1 $TransactionVolume_USD_bin1) !$TransactionFee_bin3) $TransactionVolume_USD_bin3) !$MinningDifficulty_bin4) 
0.39,0.56,0.85,0.53,0.67,0.73,and(or($TransactionVolume_USD_bin1 $TransactionVolume_USD_bin3) !$HashRate_bin4 !$MinningDifficulty_bin4) 
0.42,0.57,0.82,0.53,0.67,0.73,and(or($TransactionVolume_USD_bin1 $TransactionVolume_USD_bin3) !$MinningDifficulty_bin4) 
0.62,0.69,0.86,0.67,0.7,0.71,and(or($MempoolCount_bin3 $MinningDifficulty_bin1 $TransactionVolume_USD_bin1 $TransactionVolume_USD_bin3) !$MinningDifficulty_bin4) 
