GoldPrice
1325.6
1326
1336.6
1333.9
1333.8
1333.8
1333.8
1314.2
1311.7
1306.6
1365.7
1367.7
1367.7
1367.7
1361.1
1370.3
1363.9
1383.2
1345.5
1345.5
1352
1403.3
1411.7
1405.5
1402.5
1401.8
1401.8
1401.8
1381.2
1389.5
1378.2
1374
1375.9
1375.9
1375.9
1379.3
1366.7
1379.2
1372.5
1368.3
1368.3
1368.3
1369.6
1378.1
1384.9
1401.8
1402.3
1402.3
1402.3
1415.5
1410
1414
1394
1391.4
1391.4
1391.4
1396.7
1401.7
1400.1
1392.9
1396.7
1396.7
1396.7
1405.1
1396.7
1405.2
1394.1
1391.3
1391.3
1391.3
1393.9
1376.5
1370.1
1369.3
1370.5
1370.5
1370.5
1360.6
1354
1359
1371.7
1326.25
1326.25
1331.1
1397.5
1393.5
1386.6
1379.5
1370.8
1370.8
1370.8
1367.2
1369.7
1361.3
1353.5
1360.8
1360.8
1360.8
1361.3
1374.9
1386.7
1383.7
1386.6
1386.6
1386.6
1372.7
1365.6
1368
1359.3
1354.8
1354.8
1354.8
1311
1310.2
1294.4
1293.4
1302.8
1302.8
1302.8
1298.4
1296.6
1301.2
1299.3
1300.7
1300.7
1300.7
1307.5
1314.3
1312.6
1312.1
1306.3
1306.3
1306.3
1317.7
1310.7
1315.6
1322.7
1319.3
1319.3
1319.3
1334.4
1354.4
1350.2
1352.1
1326.8
1326.8
1326.8
1322.6
1322.1
1313
1269.1
1271.7
1271.7
1271.7
1275.7
1275.1
1268.6
1261.2
1261.6
1261.6
1261.6
1262.8
1241.7
1185.55
1230.3
1243.4
1243.4
1243.4
1240.3
1223.2
1218.5
1227.2
1226.5
1226.5
1226.5
1219.8
1231.4
1227.2
1216.8
1221.1
1221.1
1221.1
1214.4
1219.1
1190.8
1198.6
1203.6
1203.6
1203.6
1194.7
1194.2
1191.5
1194.5
1135
1135
1134.55
1199.6
1201.7
1218.9
1212.2
1151.05
1151.05
1151.05
1222.4
1224.8
1239.8
1233.4
1245.3
1245.3
1245.3
1246.2
1257.7
1261
1259
1203.35
1203.35
1202.85
1275.1
1273.4
1263.2
1266.9
1276.6
1276.6
1276.6
1271.8
1258.8
1250.6
1249.4
1254.1
1254.1
1254.1
1269.5
1267.2
1278.3
1279.9
1291
1291
1291
1294.1
1296
1293.1
1292.2
1282.6
1282.6
1282.6
1282.6
1291.9
1300.4
1297.1
1237.3
1237.3
1238.2
1296.9
1291
1309.4
1316.1
1316.8
1316.8
1316.8
1312
