training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.4,0.55,0.94,0.0,0.47,-1.0,and(!$HashRate_bin0 !$HashRate_bin1 !$MinningDifficulty_bin1 $TransactionVolume_USD_bin0) 
0.4,0.55,0.94,0.0,0.47,-1.0,and(!$HashRate_bin0 !$HashRate_bin1 !$MinningDifficulty_bin1 !$TransactionVolume_USD_bin1) 
0.43,0.57,0.93,0.0,0.47,-1.0,and(!$BlockSize_bin4 !$GoldPrice_bin6 !$HashRate_bin0 $TransactionVolume_USD_bin0) 
0.42,0.56,0.93,0.0,0.47,-1.0,and(!$GoldPrice_bin6 !$HashRate_bin0 !$HashRate_bin1 $TransactionVolume_USD_bin0) 
0.4,0.54,0.93,0.0,0.47,-1.0,and(!$GoldPrice_bin4 !$GoldPrice_bin6 !$HashRate_bin1 $TransactionVolume_USD_bin0) 
0.4,0.54,0.93,0.0,0.47,-1.0,and(!$GoldPrice_bin4 !$GoldPrice_bin6 !$HashRate_bin1 !$TransactionVolume_USD_bin1) 
0.4,0.54,0.93,0.0,0.47,-1.0,and(!$GoldPrice_bin6 !$HashRate_bin1 !$MinningDifficulty_bin2 $TransactionVolume_USD_bin0) 
0.4,0.54,0.93,0.0,0.47,-1.0,and(!$GoldPrice_bin6 !$MempoolCount_bin3 !$TransactionPerDay_bin1 $TransactionVolume_USD_bin0) 
0.42,0.56,0.95,0.0,0.47,-1.0,and(or($GoldPrice_bin5 !$HashRate_bin0) !$HashRate_bin1 !$MinningDifficulty_bin1 $TransactionVolume_USD_bin0) 
0.46,0.57,0.9,0.0,0.47,-1.0,and(!$GoldPrice_bin6 !$MinningDifficulty_bin2 $TransactionVolume_USD_bin0) 
