training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.39,0.55,0.88,0.35,0.63,1.0,or($TransactionFee_bin0 $TransactionVolume_USD_bin5) 
0.47,0.6,0.92,0.35,0.23,0.33,or(and(or($TransactionFee_bin0 $TransactionFee_bin6) !$MinningDifficulty_bin3) $TransactionFee_bin1) 
0.4,0.56,0.92,0.35,0.23,0.33,and(or($TransactionFee_bin0 $TransactionFee_bin6 $TransactionVolume_USD_bin2) !$MempoolCount_bin3) 
0.4,0.56,0.92,0.35,0.23,0.33,and(or($TransactionFee_bin0 $TransactionFee_bin6 $TransactionVolume_USD_bin2) !$MempoolSize_bin3) 
0.4,0.56,0.92,0.35,0.23,0.33,or(and(or($TransactionFee_bin0 $TransactionVolume_USD_bin2) !$MempoolCount_bin3) $TransactionFee_bin6) 
0.4,0.58,0.96,0.35,0.23,0.33,or(and(or($TransactionFee_bin0 $TransactionFee_bin6) !$MinningDifficulty_bin3) $TransactionPerDay_bin6) 
0.42,0.57,0.91,0.0,0.43,-1.0,or(and(!$BlockSize_bin7 !$MinningDifficulty_bin3 $TransactionFee_bin0) $TransactionFee_bin1) 
0.39,0.55,0.88,0.35,0.63,1.0,or(and(!$GTrends_bin0 $TransactionFee_bin0) $TransactionVolume_USD_bin5) 
0.42,0.58,0.92,0.35,0.23,0.33,and(or($HashRate_bin4 !$MempoolCount_bin3) or($TransactionFee_bin0 $TransactionFee_bin6 $TransactionVolume_USD_bin2)) 
0.42,0.58,0.92,0.35,0.23,0.33,or(and(or($HashRate_bin4 !$MempoolCount_bin3) or($TransactionFee_bin0 $TransactionVolume_USD_bin2)) $TransactionFee_bin6) 
