training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.57,0.79,1.0,0.15,0.5,0.33,and(or($MempoolCount_bin9 $MempoolSize_bin9 $TransactionPerDay_bin5 $TransactionFee_bin4) !$MarketCap_bin1 !$HashRate_bin3) 
0.57,0.79,1.0,0.15,0.5,0.33,and(or($MempoolSize_bin9 $TransactionPerDay_bin5 $TransactionPerDay_bin8 $TransactionFee_bin4) !$MarketCap_bin1 !$HashRate_bin3) 
0.57,0.79,1.0,0.15,0.6,0.67,and(or(and(or($TransactionPerDay_bin5 $TransactionFee_bin4) $TransactionVolume_USD_bin1) $MempoolSize_bin9) !$MarketCap_bin1 !$HashRate_bin3) 
0.64,0.82,1.0,0.15,0.57,0.5,and(or(and(or($MempoolCount_bin9 $TransactionPerDay_bin5 $TransactionFee_bin0 $TransactionFee_bin4) $TransactionVolume_USD_bin1) $MempoolSize_bin9 $TransactionPerDay_bin8) !$MarketCap_bin1 !$HashRate_bin3) 
0.57,0.79,1.0,0.15,0.5,0.33,and(or($MempoolCount_bin9 $MempoolSize_bin9 $TransactionPerDay_bin5 $TransactionPerDay_bin8 $TransactionFee_bin4) !$MarketCap_bin1 !$HashRate_bin3) 
0.57,0.79,1.0,0.15,0.5,0.33,and(or(!$HashRate_bin3 $MinningDifficulty_bin5) or($MempoolCount_bin9 $MempoolSize_bin9 $TransactionPerDay_bin5 $TransactionFee_bin4) !$MarketCap_bin1) 
0.57,0.79,1.0,0.15,0.5,0.33,and(or(!$HashRate_bin3 $MinningDifficulty_bin5) or($MempoolSize_bin9 $TransactionPerDay_bin5 $TransactionPerDay_bin8 $TransactionFee_bin4) !$MarketCap_bin1) 
0.57,0.79,1.0,0.15,0.6,0.67,and(or(and(or($MempoolCount_bin9 $TransactionPerDay_bin5 $TransactionFee_bin4) $TransactionVolume_USD_bin1) $MempoolSize_bin9) !$MarketCap_bin1 !$HashRate_bin3) 
0.57,0.79,1.0,0.15,0.57,0.5,and(or(and(or($MempoolCount_bin9 $TransactionPerDay_bin5 $TransactionFee_bin4) $TransactionVolume_USD_bin1) $TransactionPerDay_bin8) !$MarketCap_bin1 !$HashRate_bin3) 
0.57,0.79,1.0,0.15,0.57,0.5,and(or(and(or($TransactionPerDay_bin5 $TransactionFee_bin4) $TransactionVolume_USD_bin1) $MempoolSize_bin9 $TransactionPerDay_bin8) !$MarketCap_bin1 !$HashRate_bin3) 
