training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.43,0.62,0.85,0.0,0.73,-1.0,or(and(!$TransactionPerDay_bin2 !$TransactionFee_bin5 !$TransactionFee_bin6 $TransactionVolume_USD_bin0 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin2) 
0.44,0.63,0.87,0.75,0.4,0.27,or(and(!$GoldPrice_bin3 !$GTrends_bin2 !$TransactionPerDay_bin2 !$TransactionFee_bin5 !$TransactionFee_bin6 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin2) 
0.47,0.64,0.86,0.75,0.43,0.29,or(and(!$BlockSize_bin2 !$GTrends_bin2 !$TransactionPerDay_bin2 !$TransactionFee_bin5 !$TransactionFee_bin6 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin2) 
0.47,0.64,0.86,0.75,0.43,0.29,and(or(and(!$GTrends_bin2 !$TransactionPerDay_bin2 !$TransactionFee_bin5 !$TransactionFee_bin6 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin2) !$BlockSize_bin2) 
0.46,0.64,0.86,0.75,0.4,0.27,and(or(and(!$MinningDifficulty_bin0 !$TransactionPerDay_bin2 !$TransactionFee_bin5 !$TransactionFee_bin6 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin2) !$GTrends_bin2) 
0.46,0.64,0.86,0.75,0.43,0.29,and(or(and(!$TransactionPerDay_bin2 !$TransactionFee_bin5 !$TransactionFee_bin6 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin2) !$BlockSize_bin2 !$GTrends_bin2) 
0.46,0.64,0.86,0.75,0.4,0.27,and(or(and(!$TransactionPerDay_bin2 !$TransactionFee_bin5 !$TransactionFee_bin6 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin2) !$GTrends_bin2 !$MinningDifficulty_bin0) 
0.47,0.65,0.88,0.75,0.43,0.29,or(and(!$BlockSize_bin2 !$GTrends_bin2 !$TransactionPerDay_bin2 !$TransactionPerDay_bin9 !$TransactionFee_bin5 !$TransactionFee_bin6 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin2) 
0.47,0.65,0.88,0.75,0.43,0.29,and(or(and(!$GTrends_bin2 !$TransactionPerDay_bin2 !$TransactionPerDay_bin9 !$TransactionFee_bin5 !$TransactionFee_bin6 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin2) !$BlockSize_bin2) 
0.46,0.64,0.87,0.75,0.4,0.27,or(and(or($MarketCap_bin1 !$GoldPrice_bin3) !$GTrends_bin2 !$TransactionPerDay_bin2 !$TransactionFee_bin5 !$TransactionFee_bin6 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin2) 
