training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.46,0.66,0.85,0.4,0.4,0.25,or(and(or($TransactionPerDay_bin4 $TransactionVolume_USD_bin2) !$MarketCap_bin2) $MinningDifficulty_bin0) 
0.49,0.69,0.91,0.3,0.43,0.23,or(and(or(!$GTrends_bin2 $TransactionPerDay_bin1) or(!$TransactionFee_bin0 $TransactionVolume_USD_bin2) !$MarketCap_bin2 !$MinningDifficulty_bin1) $MinningDifficulty_bin0) 
0.51,0.68,0.86,0.3,0.43,0.23,or(and(or(!$TransactionFee_bin0 $TransactionVolume_USD_bin2) !$MarketCap_bin2 !$GTrends_bin2) $MinningDifficulty_bin0) 
0.47,0.67,0.88,0.3,0.43,0.23,or(and(or(and(!$MarketCap_bin2 !$MempoolCount_bin5) $TransactionPerDay_bin1) or(!$TransactionFee_bin0 $TransactionVolume_USD_bin2)) $MinningDifficulty_bin0) 
0.46,0.67,0.88,0.3,0.43,0.23,or(and(or(!$TransactionFee_bin0 $TransactionVolume_USD_bin2) !$MarketCap_bin2 !$MempoolCount_bin5) $MinningDifficulty_bin0) 
0.46,0.67,0.9,0.4,0.4,0.25,or(and(or($TransactionPerDay_bin4 $TransactionVolume_USD_bin2) !$MarketCap_bin2 !$BlockSize_bin5) $MinningDifficulty_bin0) 
0.46,0.67,0.9,0.4,0.4,0.25,or(and(or($TransactionPerDay_bin4 $TransactionVolume_USD_bin2) !$MarketCap_bin2 !$MinningDifficulty_bin3) $MinningDifficulty_bin0) 
0.46,0.66,0.85,0.4,0.4,0.25,or(and(or(!$MarketCap_bin2 $TransactionPerDay_bin1) or($TransactionPerDay_bin4 $TransactionVolume_USD_bin2)) $MinningDifficulty_bin0) 
0.49,0.69,0.89,0.4,0.37,0.24,or(and(or($TransactionPerDay_bin4 !$TransactionFee_bin0 $TransactionVolume_USD_bin2) !$MarketCap_bin2 !$BlockSize_bin5 !$MinningDifficulty_bin3) $MinningDifficulty_bin0) 
0.51,0.7,0.91,0.3,0.43,0.23,or(and(or(!$GTrends_bin2 $TransactionPerDay_bin1) or(!$MinningDifficulty_bin1 $TransactionVolume_USD_bin1) or(!$TransactionFee_bin0 $TransactionVolume_USD_bin2) !$MarketCap_bin2) $MinningDifficulty_bin0) 
