training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program,experiment_dir
0.5,0.66,0.75,1.0,0.57,0.55,and(or(and(!$BlockSize_bin2 !$MinningDifficulty_bin7) $TransactionPerDay_bin6) or($GoldPrice_bin2 !$MinningDifficulty_bin4) or($MinningDifficulty_bin3 $TransactionPerDay_bin8 !$TransactionVolume_USD_bin1) !$HashRate_bin3) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.44,0.63,0.73,1.0,0.57,0.55,and(or(and(!$BlockSize_bin2 !$MinningDifficulty_bin7) $TransactionPerDay_bin6) or($MinningDifficulty_bin3 $TransactionPerDay_bin8 !$TransactionVolume_USD_bin1) !$HashRate_bin3 !$MinningDifficulty_bin4) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.47,0.65,0.74,0.94,0.53,0.54,and(or($GoldPrice_bin2 !$MinningDifficulty_bin4) or($MinningDifficulty_bin3 $TransactionPerDay_bin8 !$TransactionVolume_USD_bin1) !$BlockSize_bin2 !$HashRate_bin3 !$MinningDifficulty_bin7) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.48,0.63,0.69,1.0,0.53,0.53,and(or($MinningDifficulty_bin3 $TransactionPerDay_bin8 !$TransactionVolume_USD_bin1) !$HashRate_bin3 !$MinningDifficulty_bin4 !$MinningDifficulty_bin7) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.48,0.63,0.69,1.0,0.53,0.53,and(or(and(!$MinningDifficulty_bin4 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin3 $TransactionPerDay_bin8) !$HashRate_bin3 !$MinningDifficulty_bin7) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.47,0.65,0.75,0.94,0.53,0.54,and(or(and(!$GTrends_bin0 $TransactionPerDay_bin8) $MinningDifficulty_bin3 !$TransactionVolume_USD_bin1) or($GoldPrice_bin2 !$MinningDifficulty_bin4) !$BlockSize_bin2 !$HashRate_bin3 !$MinningDifficulty_bin7) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.54,0.65,0.69,0.94,0.5,0.52,and(or(and(!$TransactionPerDay_bin2 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin3 $TransactionPerDay_bin8) !$HashRate_bin3 !$MinningDifficulty_bin7) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.53,0.66,0.73,0.75,0.43,0.48,and(or(and(or($BlockSize_bin1 !$TransactionVolume_USD_bin1) !$TransactionPerDay_bin0 !$TransactionPerDay_bin2) $MinningDifficulty_bin3 $TransactionPerDay_bin8) !$HashRate_bin3 !$MinningDifficulty_bin7) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.46,0.63,0.71,0.75,0.43,0.48,and(or(and(or($MinningDifficulty_bin3 !$TransactionVolume_USD_bin1) !$TransactionPerDay_bin0 !$TransactionPerDay_bin2) $TransactionPerDay_bin8) !$HashRate_bin3 !$MinningDifficulty_bin7) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.46,0.63,0.71,0.75,0.43,0.48,and(or(and(or($MinningDifficulty_bin3 !$TransactionVolume_USD_bin1) !$TransactionPerDay_bin2) $TransactionPerDay_bin8) !$HashRate_bin3 !$MinningDifficulty_bin7 !$TransactionPerDay_bin0) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins5GTrendsBins5HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.4,0.6,0.68,0.75,0.63,0.63,and(or($MarketCap_bin0 $TransactionPerDay_bin8) !$HashRate_bin8) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.4,0.6,0.68,0.75,0.63,0.63,or(and($MarketCap_bin0 !$HashRate_bin8) $TransactionPerDay_bin8) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.43,0.62,0.71,0.75,0.63,0.63,and(or($MarketCap_bin0 $TransactionPerDay_bin6 $TransactionPerDay_bin8) !$HashRate_bin8 !$MempoolCount_bin2) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.43,0.62,0.71,0.75,0.63,0.63,and(or($MarketCap_bin0 $TransactionPerDay_bin6 $TransactionPerDay_bin8) !$HashRate_bin8 !$MempoolSize_bin2) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.43,0.62,0.71,0.75,0.63,0.63,and(or(and(or($MarketCap_bin0 $TransactionPerDay_bin6) !$MempoolCount_bin2) $TransactionPerDay_bin8) !$HashRate_bin8) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.43,0.62,0.71,0.75,0.63,0.63,and(or(and(or($MarketCap_bin0 $TransactionPerDay_bin6) !$MempoolSize_bin2) $TransactionPerDay_bin8) !$HashRate_bin8) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.46,0.63,0.71,0.75,0.63,0.63,and(or(and($MarketCap_bin0 !$MempoolCount_bin2) $TransactionPerDay_bin6 $TransactionPerDay_bin8) !$HashRate_bin8) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.44,0.63,0.71,0.81,0.6,0.59,and(or(and($MarketCap_bin0 !$HashRate_bin8) $TransactionPerDay_bin6 $TransactionPerDay_bin8) !$MempoolCount_bin2) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.44,0.63,0.71,0.81,0.6,0.59,and(or(and($MarketCap_bin0 !$HashRate_bin8) $TransactionPerDay_bin6 $TransactionPerDay_bin8) !$MempoolSize_bin2) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.44,0.63,0.73,0.69,0.6,0.61,and(or(and($MinningDifficulty_bin3 !$TransactionVolume_USD_bin0) $MarketCap_bin0 $TransactionPerDay_bin8) !$HashRate_bin8 !$TransactionPerDay_bin2) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins2HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins2TransactionVolume_USDBins2
0.41,0.6,0.67,0.81,0.67,0.65,and(or($MarketCap_bin0 $TransactionPerDay_bin8) or(!$HashRate_bin8 $MempoolSize_bin2)) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins7HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins7TransactionVolume_USDBins2
0.4,0.6,0.68,0.75,0.63,0.63,and(or($MarketCap_bin0 $TransactionPerDay_bin8) !$HashRate_bin8) ,/home/misgana/Desktop/BTCPrediction/MOSES/sliding-window-data/month_18_to_25/LA_1/MarketCapBins3BlockSizeBins10GoldPriceBins7GTrendsBins7HashRateBins10MempoolCountBins10MempoolSizeBins10MinningDifficultyBins10TransactionPerDayBins10TransactionFeeBins7TransactionVolume_USDBins2
