training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.47,0.64,0.82,0.09,0.6,0.33,and(or(and(!$BlockSize_bin5 !$TransactionFee_bin0 !$TransactionVolume_USD_bin4) $GTrends_bin6) !$MinningDifficulty_bin3) 
0.5,0.67,0.86,0.09,0.6,0.33,and(or(and(!$TransactionFee_bin0 !$TransactionVolume_USD_bin4) $BlockSize_bin5 $GTrends_bin6) !$MinningDifficulty_bin1 !$MinningDifficulty_bin3 !$MinningDifficulty_bin5) 
0.46,0.63,0.82,0.09,0.6,0.33,and(or(and(!$TransactionFee_bin0 !$TransactionVolume_USD_bin4) $GTrends_bin6) !$BlockSize_bin5 !$MinningDifficulty_bin3) 
0.46,0.64,0.84,0.09,0.6,0.33,and(or(and(!$BlockSize_bin5 !$TransactionFee_bin0 !$TransactionVolume_USD_bin4) $GTrends_bin6) !$HashRate_bin3 !$MinningDifficulty_bin3) 
0.49,0.66,0.88,0.0,0.6,0.0,and(or(and($HashRate_bin4 !$TransactionVolume_USD_bin1) and(!$TransactionFee_bin0 !$TransactionVolume_USD_bin4) $MinningDifficulty_bin7) !$MempoolSize_bin2 !$MinningDifficulty_bin1 !$MinningDifficulty_bin3) 
0.45,0.63,0.83,0.27,0.53,0.33,and(or(and(or($MempoolCount_bin0 !$TransactionFee_bin0) !$TransactionVolume_USD_bin4) $HashRate_bin4) !$MempoolCount_bin5 !$MinningDifficulty_bin3) 
0.45,0.63,0.83,0.27,0.53,0.33,and(or(and(or($MempoolSize_bin0 !$TransactionFee_bin0) !$TransactionVolume_USD_bin4) $HashRate_bin4) !$MempoolCount_bin5 !$MinningDifficulty_bin3) 
0.43,0.61,0.81,0.0,0.6,0.0,and(or(and(!$MinningDifficulty_bin3 !$TransactionFee_bin0 !$TransactionVolume_USD_bin4) $MempoolCount_bin9) !$HashRate_bin3) 
0.5,0.65,0.81,0.0,0.6,0.0,and(or(and(!$MempoolCount_bin5 !$TransactionFee_bin0 !$TransactionVolume_USD_bin4) $MinningDifficulty_bin7) !$MinningDifficulty_bin3) 
0.5,0.66,0.85,0.0,0.6,0.0,and(or(and(!$TransactionFee_bin0 !$TransactionVolume_USD_bin4) $HashRate_bin4 $MinningDifficulty_bin7) !$MempoolSize_bin2 !$MinningDifficulty_bin1 !$MinningDifficulty_bin3) 
