training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.75,0.85,0.9,0.19,0.4,0.38,and(or(and(!$TransactionFee_bin1 !$TransactionFee_bin3 $TransactionVolume_USD_bin4) $TransactionPerDay_bin6 $TransactionFee_bin0) !$MinningDifficulty_bin2) 
0.75,0.85,0.9,0.25,0.5,0.57,or(and(or(and(!$TransactionFee_bin1 !$TransactionFee_bin3 $TransactionVolume_USD_bin4) $TransactionFee_bin0) !$MinningDifficulty_bin2) $HashRate_bin4) 
0.75,0.85,0.9,0.19,0.4,0.38,or(and(or(and(!$TransactionFee_bin1 !$TransactionFee_bin3 $TransactionVolume_USD_bin4) $TransactionFee_bin0) !$MinningDifficulty_bin2) $TransactionPerDay_bin6) 
0.75,0.85,0.9,0.25,0.5,0.57,or(and(or(and(!$TransactionFee_bin3 $TransactionVolume_USD_bin4) $TransactionFee_bin0) !$MinningDifficulty_bin2 !$TransactionFee_bin1) $HashRate_bin4) 
0.67,0.85,1.0,0.63,0.6,0.63,and(or(and(or(and(!$MempoolSize_bin5 $MinningDifficulty_bin0 $TransactionPerDay_bin1) !$TransactionFee_bin1) !$TransactionFee_bin3 $TransactionVolume_USD_bin4) $MarketCap_bin0 $TransactionFee_bin0) or(!$MarketCap_bin1 $TransactionFee_bin1) !$MinningDifficulty_bin2) 
0.67,0.85,1.0,0.0,0.43,0.0,and(or(and(or(and(!$MempoolSize_bin5 $MinningDifficulty_bin0 $TransactionPerDay_bin1) !$TransactionFee_bin1) !$TransactionFee_bin3 $TransactionVolume_USD_bin4) $TransactionFee_bin0) or(!$MarketCap_bin1 $TransactionFee_bin1) or(!$BlockSize_bin1 !$MinningDifficulty_bin2)) 
0.67,0.85,1.0,0.0,0.43,0.0,and(or(and(or(and(!$MempoolSize_bin5 $MinningDifficulty_bin0 $TransactionPerDay_bin1) !$TransactionFee_bin1) !$TransactionFee_bin3 $TransactionVolume_USD_bin4) $TransactionFee_bin0) or(!$MarketCap_bin1 $TransactionFee_bin1) or($BlockSize_bin6 !$MinningDifficulty_bin2)) 
0.67,0.85,1.0,0.0,0.43,0.0,and(or(and(or(and(!$MempoolSize_bin5 $MinningDifficulty_bin0 $TransactionPerDay_bin1) !$TransactionFee_bin1) !$TransactionFee_bin3 $TransactionVolume_USD_bin4) $TransactionFee_bin0) or(!$MarketCap_bin1 $TransactionFee_bin1) or(!$GoldPrice_bin2 !$MinningDifficulty_bin2)) 
0.67,0.85,1.0,0.63,0.6,0.63,or(and(or(and(or(and(!$MempoolSize_bin5 $MinningDifficulty_bin0 $TransactionPerDay_bin1) !$TransactionFee_bin1) !$TransactionFee_bin3 $TransactionVolume_USD_bin4) $TransactionFee_bin0) or(!$MarketCap_bin1 $TransactionFee_bin1) !$MinningDifficulty_bin2) $MarketCap_bin0) 
0.67,0.85,1.0,0.13,0.43,0.4,or(and(or(and(or(and(!$MempoolSize_bin5 $MinningDifficulty_bin0 $TransactionPerDay_bin1) !$TransactionFee_bin1) !$TransactionFee_bin3 $TransactionVolume_USD_bin4) $TransactionFee_bin0) or(!$MarketCap_bin1 $TransactionFee_bin1) !$MinningDifficulty_bin2) $HashRate_bin9) 
