training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.74,0.81,1.0,0.91,0.8,0.84,and(or(!$TransactionVolume_USD_bin1 $TransactionVolume_USD_bin4) !$BlockSize_bin3) 
0.68,0.77,1.0,0.7,0.6,0.76,and(or(!$TransactionVolume_USD_bin1 $TransactionVolume_USD_bin4) !$GoldPrice_bin4) 
0.68,0.77,1.0,0.91,0.77,0.81,and(or(!$TransactionVolume_USD_bin1 $TransactionVolume_USD_bin4) !$GTrends_bin5) 
0.68,0.77,1.0,0.87,0.73,0.8,and(or(!$TransactionVolume_USD_bin1 $TransactionVolume_USD_bin4) !$HashRate_bin0) 
0.74,0.81,1.0,0.91,0.77,0.81,and(or(!$TransactionVolume_USD_bin1 $TransactionVolume_USD_bin4) !$MempoolCount_bin3) 
0.74,0.81,1.0,0.91,0.77,0.81,and(or(!$TransactionVolume_USD_bin1 $TransactionVolume_USD_bin4) !$MempoolSize_bin3) 
0.53,0.65,1.0,0.96,0.8,0.81,and(or(!$TransactionVolume_USD_bin1 $TransactionVolume_USD_bin4) !$MinningDifficulty_bin0) 
0.79,0.85,1.0,0.83,0.7,0.79,and(or(!$TransactionVolume_USD_bin1 $TransactionVolume_USD_bin4) !$TransactionPerDay_bin4) 
0.74,0.81,1.0,0.17,0.37,1.0,and(or(!$TransactionVolume_USD_bin1 $TransactionVolume_USD_bin4) $TransactionFee_bin0) 
0.74,0.81,1.0,0.17,0.37,1.0,and(or(!$TransactionVolume_USD_bin1 $TransactionVolume_USD_bin4) !$TransactionFee_bin1) 
