Date,Price,MarketCap,BlockSize,GoldPrice,GTrends,HashRate,MempoolCount,MempoolSize,MinningDifficulty,TransactionPerDay,TransactionFee,TransactionVolume_USD
2017-12-06,14291.5,239024437136,1058645,1316.9,43,11918845.1662,112002295.0,112002295.0,1347000000000,404982,219.679754,12656300032
2017-12-07,17899.7,299405364249,1058881,1303.7,100,14867776.0589,0.0,0.0,1590900000000,443085,257.16995428,17950699520
2017-12-08,16569.4,277185764485,1037376,1298.8,85,11941671.1962,86758292.0,86758292.0,1590900000000,375097,361.57706839,21135998976
2017-12-09,15178.2,253946084745,1058532,1297.5,56,12337090.7723,73309167.0,73309167.0,1590900000000,385649,641.42966479,13911300096
2017-12-10,15455.4,258615393665,1050330,1297.5,51,13760601.246,68720388.0,68720388.0,1590900000000,401683,567.08842445,13433299968
2017-12-11,16936.8,283439888520,1056198,1297.5,58,12969762.0939,113515111.0,113515111.0,1590900000000,336725,458.10029691,12153900032
2017-12-12,17415.4,291483935710,1061447,1292.6,56,13523349.5004,123482998.0,123482998.0,1590900000000,376743,483.63865068,14603799552
2017-12-13,16408.2,274663619978,1061643,1299.4,50,12337090.7723,116371027.8,116371027.8,1590900000000,372755,537.94407913,12976900096
2017-12-14,16564.0,277310347000,1051163,1307.9,42,14709608.2285,111072508.5,111072508.5,1590900000000,417782,604.2979452000001,13777399808
2017-12-15,17706.9,296482120238,1047133,1308.1,36,14630524.3133,107431722.0,107431722.0,1590900000000,498327,644.60794431,14309999616
2017-12-16,19497.4,326502485530,1061459,1316.3,38,13365181.67,109391557.0,109391557.0,1590900000000,401046,592.70393429,12740599808
2017-12-17,19140.8,320576568850,1053704,1316.3,41,13523349.5004,117971564.0,117971564.0,1590900000000,367109,534.01138337,13314599936
2017-12-18,19114.2,320174318520,1040279,1316.3,43,14630524.3133,111038553.0,111038553.0,1590900000000,389396,535.43867532,14839499776
2017-12-19,17776.7,297801055828,1042671,1315.5,45,16946489.2357,110322815.5,110322815.5,1873110000000,398230,587.12548366,16894499840
2017-12-20,16624.6,278528964015,1060609,1321.1,68,13035760.9505,101274362.0,101274362.0,1873110000000,378650,662.59550536,22149699584
2017-12-21,15802.9,264788651530,1072239,1322.0,47,12663310.6376,107485776.0,107485776.0,1873110000000,370510,911.59174277,16516599808
2017-12-22,13831.8,231788283457,1037986,1330.5,95,12290860.3248,103591334.3,103591334.3,1873110000000,334586,1128.76167038,22197999616
2017-12-23,14699.2,246349213910,1063276,1277.9,57,14432449.6238,118955340.0,118955340.0,1873110000000,380167,1495.94647734,13086000128
2017-12-24,13925.8,233414163395,1059315,1277.9,40,12942648.3723,114044344.0,114044344.0,1873110000000,307343,1065.61559484,11572299776
2017-12-25,14026.6,235126843805,1064197,1277.9,33,14153111.8891,122793825.0,122793825.0,1873110000000,274541,881.12136284,10664699904
2017-12-26,16099.8,269908107763,1052932,1339.2,35,12570198.0594,112165408.0,112165408.0,1873110000000,229465,689.39441204,13454300160
2017-12-27,15838.5,265559172050,1047358,1343.0,32,13221986.107,112603018.5,112603018.5,1873110000000,247558,725.62381816,12487600128
2017-12-28,14606.5,244929825575,1070645,1350.1,32,14525562.202,117031344.0,117031344.0,1873110000000,312090,784.81712352,12336499712
2017-12-29,14656.2,245793634125,1081199,1362.6,29,13873774.1545,111120763.0,111120763.0,1873110000000,303181,785.83389168,13025500160
2017-12-30,12952.2,217239803085,1047507,1308.7,27,15363575.406,111178797.8,111178797.8,1873110000000,356954,785.79504963,14452599808
2017-12-31,14156.4,237465823980,1035906,1308.7,23,13687548.998,116185291.5,116185291.5,1873110000000,338192,778.5711097,12136299520
2018-01-01,13657.2,229119155396,1037654,1308.7,45,15177350.2495,120941140.0,120941140.0,1873110000000,293150,545.14452622,10291200000
