training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.53,0.71,1.0,0.67,0.6,0.5,and(or(and($TransactionPerDay_bin5 $TransactionPerDay_bin7) $GoldPrice_bin4 $TransactionPerDay_bin2 $TransactionPerDay_bin9 $TransactionVolume_USD_bin0) !$GoldPrice_bin2 !$TransactionPerDay_bin0) 
0.53,0.71,1.0,0.58,0.37,0.33,and(or(and($TransactionPerDay_bin5 $TransactionPerDay_bin7) $GoldPrice_bin4 $TransactionPerDay_bin2 $TransactionPerDay_bin9 $TransactionVolume_USD_bin0) !$HashRate_bin5 !$TransactionPerDay_bin0) 
0.65,0.79,1.0,0.75,0.43,0.39,and(or(and($TransactionPerDay_bin5 $TransactionPerDay_bin7) $GoldPrice_bin4 $TransactionPerDay_bin2 $TransactionPerDay_bin9 $TransactionVolume_USD_bin0) !$MempoolCount_bin8 !$TransactionPerDay_bin0) 
0.65,0.79,1.0,0.75,0.43,0.39,and(or(and($TransactionPerDay_bin5 $TransactionPerDay_bin7) $GoldPrice_bin4 $TransactionPerDay_bin2 $TransactionPerDay_bin9 $TransactionVolume_USD_bin0) !$MempoolSize_bin8 !$TransactionPerDay_bin0) 
0.47,0.68,1.0,0.75,0.5,0.43,and(or(and($TransactionPerDay_bin5 $TransactionPerDay_bin7) $GoldPrice_bin4 $TransactionPerDay_bin2 $TransactionVolume_USD_bin0) !$TransactionPerDay_bin0) 
0.53,0.68,0.9,0.25,0.47,0.3,and(or($GoldPrice_bin4 $TransactionPerDay_bin2 $TransactionPerDay_bin9) !$TransactionPerDay_bin0) 
0.53,0.71,1.0,0.33,0.37,0.27,and(or(and($TransactionPerDay_bin5 $TransactionPerDay_bin7) $GoldPrice_bin4 $TransactionPerDay_bin2 $TransactionPerDay_bin9 $TransactionVolume_USD_bin0) or(!$MarketCap_bin0 $HashRate_bin3) !$TransactionPerDay_bin0) 
0.59,0.75,1.0,0.67,0.57,0.47,and(or(and($TransactionPerDay_bin5 $TransactionPerDay_bin7) $GoldPrice_bin4 $TransactionPerDay_bin2 $TransactionPerDay_bin9 $TransactionVolume_USD_bin0) or($MarketCap_bin2 !$GoldPrice_bin2) !$TransactionPerDay_bin0) 
0.59,0.75,1.0,0.75,0.43,0.39,and(or(and($TransactionPerDay_bin5 $TransactionPerDay_bin7) $GoldPrice_bin4 $TransactionPerDay_bin2 $TransactionPerDay_bin9 $TransactionVolume_USD_bin0) or(!$GoldPrice_bin2 !$MinningDifficulty_bin0) !$TransactionPerDay_bin0) 
0.59,0.75,1.0,0.67,0.6,0.5,and(or(and($TransactionPerDay_bin5 $TransactionPerDay_bin7) $GoldPrice_bin4 $TransactionPerDay_bin2 $TransactionPerDay_bin9 $TransactionVolume_USD_bin0) or(!$GoldPrice_bin2 $MinningDifficulty_bin2) !$TransactionPerDay_bin0) 
