training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.46,0.65,0.93,0.2,0.4,0.67,and(or(and(!$GoldPrice_bin4 !$GTrends_bin2 $TransactionVolume_USD_bin2) $GoldPrice_bin3 $TransactionVolume_USD_bin5) !$TransactionVolume_USD_bin4) 
0.46,0.65,0.93,0.2,0.4,0.67,and(or(and(!$GoldPrice_bin4 !$GTrends_bin2 !$TransactionPerDay_bin8 $TransactionVolume_USD_bin2) $GoldPrice_bin3 $TransactionVolume_USD_bin5) !$TransactionVolume_USD_bin4) 
0.45,0.64,0.92,0.2,0.47,1.0,and(or(and(!$GoldPrice_bin4 !$GTrends_bin2 $TransactionVolume_USD_bin2) $GoldPrice_bin3 $TransactionVolume_USD_bin5) !$TransactionVolume_USD_bin4 !$TransactionVolume_USD_bin6) 
0.47,0.63,0.88,0.2,0.4,0.67,and(or(and(!$GTrends_bin2 $TransactionVolume_USD_bin2) $GoldPrice_bin3 $TransactionVolume_USD_bin5) !$TransactionVolume_USD_bin4) 
0.42,0.59,0.85,0.25,0.43,0.71,or(and($GoldPrice_bin3 !$TransactionVolume_USD_bin4) $MinningDifficulty_bin6 $TransactionVolume_USD_bin5) 
0.42,0.59,0.85,0.25,0.43,0.71,or(and(or($GoldPrice_bin3 $TransactionVolume_USD_bin5) !$TransactionVolume_USD_bin4) $MinningDifficulty_bin6) 
0.43,0.61,0.87,0.2,0.4,0.67,and(or($GoldPrice_bin3 $TransactionVolume_USD_bin2 $TransactionVolume_USD_bin5) !$GTrends_bin2 !$TransactionVolume_USD_bin4) 
0.46,0.65,0.93,0.2,0.4,0.67,and(or(and(!$GoldPrice_bin4 !$GTrends_bin2 !$MinningDifficulty_bin6 !$TransactionPerDay_bin8 $TransactionVolume_USD_bin2) $GoldPrice_bin3 $TransactionVolume_USD_bin5) !$TransactionVolume_USD_bin4) 
0.45,0.64,0.92,0.2,0.47,1.0,and(or(and(!$GoldPrice_bin4 !$GTrends_bin2 !$MinningDifficulty_bin6 $TransactionVolume_USD_bin2) $GoldPrice_bin3 $TransactionVolume_USD_bin5) !$TransactionVolume_USD_bin4 !$TransactionVolume_USD_bin6) 
0.45,0.64,0.92,0.2,0.47,1.0,and(or(and(!$GoldPrice_bin4 !$GTrends_bin2 !$TransactionPerDay_bin8 $TransactionVolume_USD_bin2) $GoldPrice_bin3 $TransactionVolume_USD_bin5) !$TransactionVolume_USD_bin4 !$TransactionVolume_USD_bin6) 
