training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.51,0.7,0.87,0.17,0.37,0.18,and(or(!$TransactionFee_bin0 $TransactionVolume_USD_bin2) !$GoldPrice_bin5 !$MinningDifficulty_bin1 !$MinningDifficulty_bin3 !$TransactionVolume_USD_bin4) 
0.51,0.7,0.87,0.17,0.37,0.18,and(or(and(!$MinningDifficulty_bin1 !$TransactionFee_bin0) $TransactionVolume_USD_bin2) !$GoldPrice_bin5 !$MinningDifficulty_bin3 !$TransactionVolume_USD_bin4) 
0.51,0.7,0.87,0.17,0.37,0.18,and(or(and(!$MempoolCount_bin0 !$MinningDifficulty_bin1 !$TransactionFee_bin0) $TransactionVolume_USD_bin2) !$GoldPrice_bin5 !$MinningDifficulty_bin3 !$TransactionVolume_USD_bin4) 
0.51,0.7,0.87,0.17,0.37,0.18,and(or(and(!$MempoolCount_bin0 !$TransactionFee_bin0) $TransactionVolume_USD_bin2) !$GoldPrice_bin5 !$MinningDifficulty_bin1 !$MinningDifficulty_bin3 !$TransactionVolume_USD_bin4) 
0.51,0.7,0.87,0.17,0.37,0.18,and(or($BlockSize_bin3 !$MinningDifficulty_bin3) or(!$TransactionFee_bin0 $TransactionVolume_USD_bin2) !$GoldPrice_bin5 !$MinningDifficulty_bin1 !$TransactionVolume_USD_bin4) 
0.51,0.7,0.87,0.17,0.37,0.18,and(or(and(!$MinningDifficulty_bin1 !$TransactionFee_bin0) $TransactionVolume_USD_bin2) or($BlockSize_bin3 !$MinningDifficulty_bin3) !$GoldPrice_bin5 !$TransactionVolume_USD_bin4) 
0.55,0.69,0.8,0.17,0.37,0.18,and(or(!$TransactionFee_bin0 $TransactionVolume_USD_bin2) !$MinningDifficulty_bin3 !$TransactionVolume_USD_bin4) 
0.52,0.68,0.82,0.17,0.37,0.18,and(or(!$TransactionFee_bin0 $TransactionVolume_USD_bin2) !$GoldPrice_bin5 !$MinningDifficulty_bin3 !$TransactionVolume_USD_bin4) 
0.51,0.7,0.87,0.17,0.37,0.18,and(or(and($BlockSize_bin3 $MempoolSize_bin6) !$MinningDifficulty_bin3) or(!$TransactionFee_bin0 $TransactionVolume_USD_bin2) !$GoldPrice_bin5 !$MinningDifficulty_bin1 !$TransactionVolume_USD_bin4) 
0.51,0.7,0.87,0.17,0.37,0.18,and(or(and($HashRate_bin0 $MempoolSize_bin6) !$MinningDifficulty_bin3) or(!$TransactionFee_bin0 $TransactionVolume_USD_bin2) !$GoldPrice_bin5 !$MinningDifficulty_bin1 !$TransactionVolume_USD_bin4) 
