Price
685.56
694.47
766.31
748.91
756.23
763.78
737.23
666.65
596.12
623.98
665.3
665.12
629.37
655.28
647
639.89
673.34
676.3
703.7
658.66
683.66
670.63
677.33
640.56
666.52
650.96
649.36
647.66
664.55
654.47
658.08
663.26
660.77
679.46
673.11
672.86
665.68
665.01
650.62
655.56
661.28
654.1
651.78
654.35
655.03
656.99
655.05
624.68
606.27
547.47
566.35
578.29
575.04
587.78
592.69
591.05
587.8
592.1
589.12
587.56
585.59
570.47
567.24
577.44
573.22
574.32
575.63
581.7
581.31
586.75
583.41
580.18
577.76
579.65
569.95
573.91
574.11
577.5
575.47
572.3
575.54
598.21
608.63
606.59
610.44
614.54
626.32
622.86
623.51
606.72
608.24
609.24
610.68
607.16
606.97
605.98
609.87
609.23
608.31
597.15
596.3
602.84
602.63
600.83
608.04
606.17
604.73
605.69
609.73
613.98
610.89
612.13
610.2
612.51
613.02
617.12
619.11
616.75
618.99
641.07
636.19
636.79
640.38
638.65
641.63
639.19
637.96
630.52
630.86
632.83
657.29
657.07
653.76
657.59
678.3
688.31
689.65
714.48
701.86
700.97
729.79
740.83
688.7
703.23
703.42
711.52
703.13
709.85
723.27
715.53
716.41
705.05
702.03
705.02
711.62
744.2
740.98
751.59
751.62
731.03
739.25
751.35
744.59
740.29
741.65
735.38
732.03
735.81
735.6
745.69
756.77
777.94
771.16
773.87
758.7
764.22
768.13
770.81
772.79
774.65
769.73
780.09
780.56
781.48
778.09
784.91
790.83
790.53
792.71
800.88
834.28
864.54
921.98
898.82
896.18
907.61
933.2
975.92
973.5
961.24
963.74
998.33
1021.75
1043.84
1154.73
1013.38
902.2
908.59
911.2
902.83
907.68
777.76
804.83
823.98
818.41
821.8
831.53
907.94
886.62
899.07
895.03
921.79
924.67
921.01
892.69
901.54
917.59
919.75
921.59
919.5
920.38
970.4
989.02
1011.8
1029.91
1042.9
1027.34
1038.15
1061.35
1063.07
994.38
988.67
1004.45
999.18
990.64
1004.55
1007.48
1027.44
1046.21
1054.42
1047.87
1079.98
1115.3
1117.44
1166.72
1173.68
1143.84
1165.2
1179.97
1179.97
1222.5
1251.01
1274.99
1255.15
1267.12
1272.83
1223.54
1150
1188.49
1116.72
1175.83
1221.38
1231.92
1240
1249.61
1187.81
1100.23
973.82
1036.74
1054.23
1120.54
1049.14
1038.59
937.52
972.78
966.72
1045.77
1047.15
1039.97
1026.43
1071.79
1080.5
1102.17
1143.81
1133.25
1124.78
1182.68
1176.9
1175.95
1187.87
1187.13
1205.01
1200.37
1169.28
1167.54
1172.52
1182.94
1193.91
1211.67
1210.29
1229.08
1222.05
1231.71
1207.21
1250.15
1265.49
1281.08
1317.73
1316.48
1321.79
1347.89
1421.6
1452.82
1490.09
1537.67
1555.45
1578.8
1596.71
1723.35
1755.36
1787.13
1848.57
1724.24
1804.91
1808.91
1738.43
1734.45
1839.09
1888.65
1987.71
2084.73
2041.2
2173.4
2320.42
2443.64
2304.98
