Date,Price,MarketCap,BlockSize,GoldPrice,GTrends,HashRate,MempoolCount,MempoolSize,MinningDifficulty,TransactionPerDay,TransactionFee,TransactionVolume_USD
2018-08-03,7434.39,127785826655,786495,1259.7,70,45249464.7908,1970589.5,1970589.5,5949440000000,222822,25.20903778,4627150000
2018-08-04,7032.85,120899698889,841942,1254.1,66,49094190.5573,333934.5,333934.5,5949440000000,232631,23.21487948,4268390000
2018-08-05,7068.48,121526079384,580276,1254.1,63,52051671.9162,420184.0,420184.0,5949440000000,192734,17.19453121,3679110000
2018-08-06,6951.8,119531508535,580368,1254.1,70,47319701.742,11880779.0,11880779.0,5949440000000,171393,13.6299328,3925900000
2018-08-07,6753.12,116128339800,1056717,1254.7,72,38743005.8012,10306586.0,10306586.0,5949440000000,219182,17.7504862,4682800000
2018-08-08,6305.8,108448409560,1017125,1257.3,89,44657968.518999994,571819.5,571819.5,5949440000000,236664,18.61533926,5064430000
2018-08-09,6568.23,112973963230,793226,1256.3,75,46432457.3343,674093.5,674093.5,5949440000000,229538,20.75086011,4267040000
2018-08-10,6184.71,106390927598,810651,1255.1,72,44066472.2472,482208.5,482208.5,5949440000000,224240,20.750207500000002,4528680000
2018-08-11,6295.73,108314257212,792975,1234.6,73,52051671.9162,696191.75,696191.75,5949440000000,225039,20.41451761,4047850000
2018-08-12,6322.69,108790259014,606948,1234.6,64,53994493.0548,1874151.5,1874151.5,6389320000000,192383,15.39050663,5665250000
2018-08-13,6297.57,108369686635,594230,1234.6,73,49230273.0794,1823584.5,1823584.5,6389320000000,168701,12.77525693,4083980000
2018-08-14,6199.71,106696389129,895555,1236.4,90,47642199.7543,7897772.5,7897772.5,6389320000000,217498,19.92080467,5301700000
2018-08-15,6308.52,108581773101,1030744,1220.2,83,43195594.4439,508610.0,508610.0,6389320000000,252798,26.45582537,4895450000
2018-08-16,6334.73,109045250379,789528,1219.2,71,51135961.0696,1786549.5,1786549.5,6389320000000,246453,22.16329503,4328420000
2018-08-17,6580.63,113290724406,766616,1219.3,68,50183117.0745,202795.0,202795.0,6389320000000,231588,24.04769454,4992990000
2018-08-18,6423.76,110603014928,831162,1229.6,58,48277429.0843,677962.5,677962.5,6389320000000,235779,24.88424895,3984520000
2018-08-19,6506.07,112031838393,589781,1229.6,57,50818346.4046,390700.5,390700.5,6389320000000,190027,16.45331646,3311170000
2018-08-20,6308.53,108642191682,599147,1229.6,65,46054126.4291,1188191.75,1188191.75,6389320000000,160953,17.04586085,3665100000
2018-08-21,6488.76,111758100192,833750,1234.9,68,47642199.7543,305551.0,305551.0,6389320000000,219846,29.07233893,3377180000
2018-08-22,6376.71,109840902181,786610,1238.2,73,47006970.4242,3064310.5,3064310.5,6389320000000,219700,24.75227584,4668110000
2018-08-23,6534.88,112577436411,755554,1228.4,66,50818346.4046,2448779.0,2448779.0,6389320000000,224556,24.27418043,3426180000
2018-08-24,6719.96,115778358839,772460,1248.2,62,47324585.0892,2938470.0,2938470.0,6389320000000,217783,19.30837036,4097820000
2018-08-25,6763.19,116534497933,827815,1251.2,56,48824180.026,445814.5,445814.5,6727230000000,221959,19.15356329,3312600000
2018-08-26,6707.26,115585205491,754833,1251.2,55,45145645.9145,157359.5,157359.5,6727230000000,194348,21.06312548,3295500000
2018-08-27,6884.64,118657885712,562838,1251.2,62,57853309.2089,128153.0,128153.0,6727230000000,170639,27.80300602,4019000000
2018-08-28,7096.28,122319195736,714495,1249.6,76,61866255.5125,1756143.25,1756143.25,6727230000000,228105,32.65580356,4659940000
2018-08-29,7047.16,121484666374,893403,1246.5,69,51165065.3698,348763.0,348763.0,6727230000000,236946,45.21346372,4145880000
2018-08-30,6978.23,120309828156,879796,1239.5,69,46483294.6823,6992311.5,6992311.5,6727230000000,235269,23.64752291,4463250000
2018-08-31,7037.58,121346613238,823481,1241.1,62,51499477.5617,2770119.0,2770119.0,6727230000000,233840,24.10101603,4495650000
2018-09-01,7193.25,124044625438,815922,1204.9,59,51833889.7537,2824561.5,2824561.5,6727230000000,238742,25.25628116,4116050000
2018-09-02,7272.72,125427780027,763356,1204.9,63,50496240.9858,395417.5,395417.5,6727230000000,211475,19.211722199999997,4329540000
2018-09-03,7260.06,125222785390,644199,1206.3,64,48155355.6421,808049.0,808049.0,6727230000000,184549,16.3033171,4087760000
2018-09-04,7361.66,126986882925,851842,1233.6,68,48155355.6421,898321.0,898321.0,6727230000000,225108,19.91598267,4273640000
2018-09-05,6792.83,117185657641,984015,1236.0,83,42135936.1869,492136.5,492136.5,6727230000000,239179,24.1065379,5800460000
2018-09-06,6529.17,112649565532,990600,1239.1,92,44142409.3386,961771.0,961771.0,6727230000000,239752,31.82732747,5523470000
2018-09-07,6467.07,111590424587,880257,1235.5,72,50161828.7939,762400.0,762400.0,6727230000000,252096,31.29006024,4264680000
2018-09-08,6225.98,107442122871,891570,1235.0,61,53036795.5276,529983.0,529983.0,7019200000000,230467,27.92194982,3835060000
2018-09-09,6300.86,108747090915,709052,1235.0,60,52338942.9549,1602960.0,1602960.0,7019200000000,204845,18.81937591,3671890000
2018-09-10,6329.7,109255603474,617594,1235.0,66,56874984.6776,1806111.0,1806111.0,7019200000000,189692,18.37028897,3714100000
2018-09-11,6321.2,109119948884,918094,1237.6,67,47105048.6594,1657880.0,1657880.0,7019200000000,222896,19.97514305,3849910000
2018-09-12,6351.8,109661521297,919239,1246.6,73,49198606.3776,318342.5,318342.5,7019200000000,235581,23.27470384,4064230000
2018-09-13,6517.31,112530970182,713591,1243.8,70,58619616.1095,217377.5,217377.5,7019200000000,234945,23.91441308,4210910000
2018-09-14,6512.71,112462453186,837780,1236.6,63,51641090.3822,5568977.25,5568977.25,7019200000000,238745,20.29803773,4076220000
2018-09-15,6543.2,113000324618,1062391,1241.2,56,46058269.8003,269418.5,269418.5,7019200000000,222793,21.21893106,3216300000
2018-09-16,6517.18,112562367224,766246,1241.2,53,48849680.0912,845737.5,845737.5,7019200000000,207977,15.69995673,3273730000
2018-09-17,6281.2,108497127334,640532,1241.2,61,48500753.8049,1934927.0,1934927.0,7019200000000,183257,13.07015213,3910780000
2018-09-18,6371.3,110064685348,886530,1238.3,58,47105048.6594,2209586.5,2209586.5,7019200000000,234638,17.45767671,4180090000
2018-09-19,6398.54,110547735544,940334,1244.1,61,49547532.664,3708776.0,3708776.0,7019200000000,243988,19.01368472,4431340000
2018-09-20,6519.67,112653130183,815944,1247.0,61,54432500.6731,578233.0,578233.0,7019200000000,254975,17.09335521,4348110000
2018-09-21,6734.95,116385068032,818866,1236.9,68,54756137.2027,1786516.5,1786516.5,7152630000000,256395,18.26192982,6531940000
2018-09-22,6721.98,116173876360,1009386,1240.0,57,51200543.8779,104894.0,104894.0,7152630000000,271895,25.61259462,4509660000
2018-09-23,6710.63,115990387532,715676,1240.0,53,55111696.5352,425676.0,425676.0,7152630000000,219313,18.65597145,4197500000
2018-09-24,6595.41,114011060309,674971,1240.0,57,53333899.8728,367552.0,367552.0,7152630000000,207316,14.47737832,4177310000
2018-09-25,6446.47,111450035114,794069,1240.8,59,52622781.2078,4298039.0,4298039.0,7152630000000,232919,15.50844294,4726180000
2018-09-26,6495.0,112300336125,773487,1234.4,60,60089527.19,3100935.5,3100935.5,7152630000000,252831,20.31737127,4437300000
