training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.36,0.52,0.73,0.89,0.6,0.63,and(!$TransactionFee_bin4 !$TransactionVolume_USD_bin0) 
0.36,0.52,0.73,0.89,0.6,0.63,and(!$TransactionFee_bin4 $TransactionVolume_USD_bin1) 
0.44,0.56,0.74,0.89,0.6,0.63,and(or($MinningDifficulty_bin5 !$TransactionVolume_USD_bin0) !$TransactionFee_bin4) 
0.39,0.56,0.8,0.89,0.6,0.63,or(and(or($MinningDifficulty_bin5 !$TransactionFee_bin3) !$TransactionFee_bin4 !$TransactionVolume_USD_bin0) and($GTrends_bin4 $TransactionFee_bin1)) 
0.39,0.56,0.8,0.89,0.6,0.63,and(or(and(or($MinningDifficulty_bin5 !$TransactionFee_bin3) !$TransactionVolume_USD_bin0) and($GTrends_bin4 $TransactionFee_bin1)) !$TransactionFee_bin4) 
0.45,0.56,0.74,0.89,0.6,0.63,and(or($GoldPrice_bin0 !$TransactionVolume_USD_bin0) !$TransactionFee_bin4) 
0.43,0.55,0.73,0.89,0.6,0.63,and(or(!$MarketCap_bin2 !$TransactionFee_bin4) !$TransactionVolume_USD_bin0) 
0.43,0.55,0.73,0.89,0.6,0.63,and(or(!$MarketCap_bin2 !$TransactionFee_bin4) $TransactionVolume_USD_bin1) 
0.37,0.53,0.73,0.89,0.6,0.63,and(or($GTrends_bin0 !$TransactionFee_bin4) !$TransactionVolume_USD_bin0) 
0.37,0.53,0.73,0.89,0.6,0.63,and(or($GTrends_bin6 !$TransactionFee_bin4) !$TransactionVolume_USD_bin0) 
