training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.41,0.62,0.85,0.18,0.6,0.4,or(and($TransactionFee_bin0 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin0) 
0.45,0.63,0.82,0.18,0.6,0.4,or(and(or($TransactionFee_bin0 $TransactionFee_bin3) !$MinningDifficulty_bin3 !$TransactionPerDay_bin8 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin0) 
0.45,0.63,0.82,0.18,0.6,0.4,and(or(and(or($TransactionFee_bin0 $TransactionFee_bin3) !$TransactionPerDay_bin8 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin0) !$MinningDifficulty_bin3) 
0.45,0.61,0.78,0.18,0.47,0.22,and(or($MinningDifficulty_bin0 $TransactionVolume_USD_bin3 $TransactionVolume_USD_bin5) !$MinningDifficulty_bin3) 
0.45,0.61,0.78,0.18,0.47,0.22,or(and(or($TransactionVolume_USD_bin3 $TransactionVolume_USD_bin5) !$MinningDifficulty_bin3) $MinningDifficulty_bin0) 
0.45,0.61,0.79,0.18,0.6,0.4,or(and(or($TransactionFee_bin0 $TransactionFee_bin3) !$MinningDifficulty_bin3 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin0) 
0.45,0.61,0.79,0.18,0.6,0.4,and(or(and(or($TransactionFee_bin0 $TransactionFee_bin3) !$TransactionVolume_USD_bin1) $MinningDifficulty_bin0) !$MinningDifficulty_bin3) 
0.43,0.6,0.78,0.18,0.47,0.22,and(or(and(!$MarketCap_bin0 $TransactionVolume_USD_bin3) $MinningDifficulty_bin0 $TransactionVolume_USD_bin5) !$MinningDifficulty_bin3) 
0.43,0.6,0.78,0.09,0.57,0.25,or(and(or($TransactionFee_bin0 $TransactionFee_bin3) !$TransactionVolume_USD_bin0 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin0) 
0.41,0.62,0.85,0.18,0.6,0.4,or(and(!$MinningDifficulty_bin3 $TransactionFee_bin0 !$TransactionVolume_USD_bin1) $MinningDifficulty_bin0) 
