training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.47,0.65,0.94,0.26,0.53,1.0,and(or(and(!$HashRate_bin2 !$MinningDifficulty_bin8 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin6) $TransactionPerDay_bin7) !$GoldPrice_bin5 !$HashRate_bin1 !$MempoolSize_bin4 !$TransactionVolume_USD_bin5) 
0.46,0.65,0.94,0.26,0.53,1.0,and(or(and(!$MinningDifficulty_bin8 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin6) $TransactionPerDay_bin7) !$GoldPrice_bin5 !$HashRate_bin1 !$HashRate_bin2 !$MempoolCount_bin4 !$TransactionVolume_USD_bin5) 
0.46,0.65,0.94,0.26,0.53,1.0,and(or(and(!$MinningDifficulty_bin8 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin6) $TransactionPerDay_bin7) !$GoldPrice_bin5 !$HashRate_bin1 !$HashRate_bin2 !$MempoolSize_bin4 !$TransactionVolume_USD_bin5) 
0.44,0.62,0.89,0.26,0.53,1.0,and(!$GoldPrice_bin5 !$HashRate_bin1 !$HashRate_bin2 !$MinningDifficulty_bin8 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin5 !$TransactionVolume_USD_bin6) 
0.5,0.65,0.89,0.26,0.53,1.0,and(!$GoldPrice_bin5 !$HashRate_bin1 !$MempoolSize_bin4 !$MinningDifficulty_bin8 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin5 !$TransactionVolume_USD_bin6) 
0.43,0.61,0.89,0.21,0.5,1.0,and(!$GoldPrice_bin4 !$GoldPrice_bin5 !$HashRate_bin1 !$MinningDifficulty_bin8 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin5 !$TransactionVolume_USD_bin6) 
0.46,0.64,0.93,0.26,0.53,1.0,and(or(and(!$GoldPrice_bin5 !$MinningDifficulty_bin8 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin6) $TransactionPerDay_bin7) !$HashRate_bin1 !$HashRate_bin2 !$MempoolCount_bin4 !$TransactionVolume_USD_bin5) 
0.46,0.64,0.93,0.26,0.53,1.0,and(or(and(!$GoldPrice_bin5 !$MinningDifficulty_bin8 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin6) $TransactionPerDay_bin7) !$HashRate_bin1 !$HashRate_bin2 !$MempoolSize_bin4 !$TransactionVolume_USD_bin5) 
0.45,0.63,0.92,0.26,0.53,1.0,and(or(and(!$BlockSize_bin5 !$MinningDifficulty_bin8 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin6) $TransactionPerDay_bin7) !$GoldPrice_bin5 !$HashRate_bin1 !$HashRate_bin2 !$TransactionVolume_USD_bin5) 
0.46,0.65,0.94,0.26,0.53,1.0,and(or(and(!$MinningDifficulty_bin8 !$TransactionVolume_USD_bin2 !$TransactionVolume_USD_bin6) $TransactionPerDay_bin7) !$GoldPrice_bin5 !$HashRate_bin1 !$HashRate_bin2 !$MempoolCount_bin4 !$MempoolSize_bin4 !$TransactionVolume_USD_bin5) 
