training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.79,0.88,1.0,0.75,0.5,0.43,and(or(and(or(and($HashRate_bin0 !$MinningDifficulty_bin2) $TransactionFee_bin6 $TransactionVolume_USD_bin3) or($TransactionPerDay_bin9 !$TransactionVolume_USD_bin3) !$TransactionFee_bin2) !$MarketCap_bin2) !$GoldPrice_bin2) 
0.79,0.88,1.0,0.5,0.43,0.35,and(or(and(or(and($HashRate_bin0 !$MinningDifficulty_bin2) $TransactionFee_bin6 $TransactionVolume_USD_bin3) or($TransactionPerDay_bin9 !$TransactionVolume_USD_bin3) !$TransactionFee_bin2) !$MarketCap_bin2) !$BlockSize_bin9 !$GoldPrice_bin2) 
0.71,0.85,1.0,0.67,0.53,0.44,and(or(and(or(and($HashRate_bin0 !$MinningDifficulty_bin2) $TransactionFee_bin6 $TransactionVolume_USD_bin3) or($TransactionPerDay_bin9 !$TransactionVolume_USD_bin3) !$TransactionFee_bin2) !$MarketCap_bin2) !$GoldPrice_bin2 !$GTrends_bin3) 
0.57,0.69,0.8,0.92,0.47,0.42,!$MarketCap_bin2 
0.79,0.85,0.92,0.75,0.4,0.38,and(or(and(or(and($HashRate_bin0 !$MinningDifficulty_bin2) $TransactionFee_bin6 $TransactionVolume_USD_bin3) or($TransactionPerDay_bin9 !$TransactionVolume_USD_bin3) !$TransactionFee_bin2) !$MarketCap_bin2) !$BlockSize_bin8) 
0.79,0.85,0.92,0.67,0.4,0.36,and(or(and(or(and($HashRate_bin0 !$MinningDifficulty_bin2) $TransactionFee_bin6 $TransactionVolume_USD_bin3) or($TransactionPerDay_bin9 !$TransactionVolume_USD_bin3) !$TransactionFee_bin2) !$MarketCap_bin2) !$BlockSize_bin9) 
0.71,0.81,0.91,0.75,0.43,0.39,and(or(and(or(and($HashRate_bin0 !$MinningDifficulty_bin2) $TransactionFee_bin6 $TransactionVolume_USD_bin3) or($TransactionPerDay_bin9 !$TransactionVolume_USD_bin3) !$TransactionFee_bin2) !$MarketCap_bin2) !$TransactionPerDay_bin3) 
0.71,0.81,0.91,0.75,0.47,0.41,and(or(and(or(and($HashRate_bin0 !$MinningDifficulty_bin2) $TransactionFee_bin6 $TransactionVolume_USD_bin3) or($TransactionPerDay_bin9 !$TransactionVolume_USD_bin3) !$TransactionFee_bin2) !$MarketCap_bin2) !$TransactionPerDay_bin4) 
0.64,0.77,0.9,0.83,0.47,0.42,and(or(and(or(and($HashRate_bin0 !$MinningDifficulty_bin2) $TransactionFee_bin6 $TransactionVolume_USD_bin3) or($TransactionPerDay_bin9 !$TransactionVolume_USD_bin3) !$TransactionFee_bin2) !$MarketCap_bin2) !$MempoolCount_bin7) 
0.64,0.77,0.9,0.83,0.47,0.42,and(or(and(or(and($HashRate_bin0 !$MinningDifficulty_bin2) $TransactionFee_bin6 $TransactionVolume_USD_bin3) or($TransactionPerDay_bin9 !$TransactionVolume_USD_bin3) !$TransactionFee_bin2) !$MarketCap_bin2) !$MempoolSize_bin7) 
