training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.64,0.82,1.0,0.89,0.7,0.7,and(or($TransactionPerDay_bin1 !$TransactionFee_bin1) or($TransactionPerDay_bin2 !$TransactionFee_bin0) !$BlockSize_bin7 !$GTrends_bin3 !$TransactionFee_bin3) 
0.64,0.82,1.0,0.83,0.7,0.71,and(or($TransactionPerDay_bin1 !$TransactionFee_bin1) or($TransactionPerDay_bin2 !$TransactionFee_bin0) !$GoldPrice_bin1 !$GTrends_bin3 !$TransactionFee_bin3) 
0.71,0.86,1.0,0.83,0.63,0.65,and(or($TransactionPerDay_bin1 !$TransactionFee_bin1) or($TransactionPerDay_bin2 !$TransactionFee_bin0) !$GTrends_bin3 !$HashRate_bin2 !$TransactionFee_bin3) 
0.64,0.82,1.0,0.78,0.6,0.64,and(or($TransactionPerDay_bin1 !$TransactionFee_bin1) or($TransactionPerDay_bin2 !$TransactionFee_bin0) !$GTrends_bin3 !$MempoolCount_bin1 !$TransactionFee_bin3) 
0.64,0.82,1.0,0.78,0.6,0.64,and(or($TransactionPerDay_bin1 !$TransactionFee_bin1) or($TransactionPerDay_bin2 !$TransactionFee_bin0) !$GTrends_bin3 !$MempoolSize_bin1 !$TransactionFee_bin3) 
0.64,0.82,1.0,0.89,0.7,0.7,and(or(!$BlockSize_bin7 $MinningDifficulty_bin0) or($TransactionPerDay_bin1 !$TransactionFee_bin1) or($TransactionPerDay_bin2 !$TransactionFee_bin0) !$GTrends_bin3 !$TransactionFee_bin3) 
0.64,0.82,1.0,0.89,0.7,0.7,and(or(!$BlockSize_bin7 $TransactionPerDay_bin2) or($TransactionPerDay_bin1 !$TransactionFee_bin1) or($TransactionPerDay_bin2 !$TransactionFee_bin0) !$GTrends_bin3 !$TransactionFee_bin3) 
0.71,0.86,1.0,0.83,0.63,0.65,and(or(!$HashRate_bin2 $TransactionPerDay_bin2) or($TransactionPerDay_bin1 !$TransactionFee_bin1) or($TransactionPerDay_bin2 !$TransactionFee_bin0) !$GTrends_bin3 !$TransactionFee_bin3) 
0.57,0.75,0.89,0.83,0.63,0.65,and(!$GTrends_bin3 !$TransactionFee_bin0 !$TransactionFee_bin1 !$TransactionFee_bin3) 
0.64,0.79,0.9,0.83,0.63,0.65,and(or($HashRate_bin7 !$TransactionFee_bin0) !$GTrends_bin3 !$TransactionFee_bin1 !$TransactionFee_bin3) 
