training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.53,0.74,1.0,0.06,0.37,0.33,or(and(!$MarketCap_bin1 !$TransactionPerDay_bin2 $TransactionVolume_USD_bin4) and($TransactionPerDay_bin8 $TransactionFee_bin0) and(!$TransactionFee_bin0 $TransactionVolume_USD_bin3)) 
0.53,0.74,1.0,0.11,0.4,0.5,or(and(!$MempoolCount_bin5 !$TransactionPerDay_bin2 $TransactionVolume_USD_bin4) and($TransactionPerDay_bin8 $TransactionFee_bin0) and(!$TransactionFee_bin0 $TransactionVolume_USD_bin3)) 
0.53,0.74,1.0,0.11,0.4,0.5,or(and(!$MempoolSize_bin5 !$TransactionPerDay_bin2 $TransactionVolume_USD_bin4) and($TransactionPerDay_bin8 $TransactionFee_bin0) and(!$TransactionFee_bin0 $TransactionVolume_USD_bin3)) 
0.53,0.74,1.0,0.11,0.4,0.5,or(and(!$TransactionPerDay_bin1 !$TransactionPerDay_bin2 $TransactionVolume_USD_bin4) and($TransactionPerDay_bin8 $TransactionFee_bin0) and(!$TransactionFee_bin0 $TransactionVolume_USD_bin3)) 
0.53,0.74,1.0,0.11,0.4,0.5,and(or(and(!$TransactionPerDay_bin2 $TransactionVolume_USD_bin4) and($TransactionPerDay_bin8 $TransactionFee_bin0) and(!$TransactionFee_bin0 $TransactionVolume_USD_bin3)) !$MempoolCount_bin5) 
0.53,0.74,1.0,0.11,0.4,0.5,and(or(and(!$TransactionPerDay_bin2 $TransactionVolume_USD_bin4) and($TransactionPerDay_bin8 $TransactionFee_bin0) and(!$TransactionFee_bin0 $TransactionVolume_USD_bin3)) !$MempoolSize_bin5) 
0.53,0.74,1.0,0.11,0.4,0.5,and(or(and(!$TransactionPerDay_bin2 $TransactionVolume_USD_bin4) and($TransactionPerDay_bin8 $TransactionFee_bin0) and(!$TransactionFee_bin0 $TransactionVolume_USD_bin3)) !$TransactionPerDay_bin1) 
0.53,0.74,1.0,0.11,0.4,0.5,and(or(and(!$TransactionPerDay_bin2 $TransactionVolume_USD_bin4) and($TransactionPerDay_bin8 $TransactionFee_bin0) and(!$TransactionFee_bin0 $TransactionVolume_USD_bin3)) !$MempoolCount_bin5 !$MinningDifficulty_bin2) 
0.53,0.74,1.0,0.06,0.37,0.33,or(and(or(!$MarketCap_bin1 $MarketCap_bin2) !$TransactionPerDay_bin2 $TransactionVolume_USD_bin4) and($TransactionPerDay_bin8 $TransactionFee_bin0) and(!$TransactionFee_bin0 $TransactionVolume_USD_bin3)) 
0.53,0.74,1.0,0.11,0.4,0.5,or(and(or(!$MarketCap_bin1 !$TransactionPerDay_bin1) !$TransactionPerDay_bin2 $TransactionVolume_USD_bin4) and($TransactionPerDay_bin8 $TransactionFee_bin0) and(!$TransactionFee_bin0 $TransactionVolume_USD_bin3)) 
