training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.53,0.69,0.77,0.6,0.4,0.43,and(!$GoldPrice_bin4 !$MinningDifficulty_bin6 !$TransactionPerDay_bin8 !$TransactionFee_bin4 !$TransactionVolume_USD_bin3) 
0.5,0.69,0.78,0.6,0.4,0.43,and(!$GoldPrice_bin4 !$MinningDifficulty_bin4 !$MinningDifficulty_bin6 !$TransactionPerDay_bin8 !$TransactionFee_bin4 !$TransactionVolume_USD_bin3) 
0.49,0.69,0.79,0.73,0.47,0.48,and(or(and(!$MinningDifficulty_bin4 !$TransactionPerDay_bin8 !$TransactionFee_bin4 !$TransactionVolume_USD_bin3) $MempoolSize_bin7) !$MinningDifficulty_bin3 !$MinningDifficulty_bin6) 
0.49,0.69,0.81,0.6,0.4,0.43,and(or(!$MinningDifficulty_bin3 $TransactionFee_bin3) !$MinningDifficulty_bin4 !$MinningDifficulty_bin6 !$TransactionPerDay_bin8 !$TransactionFee_bin4 !$TransactionVolume_USD_bin3) 
0.5,0.7,0.81,0.6,0.4,0.43,and(or(!$BlockSize_bin3 !$MempoolSize_bin1) !$GoldPrice_bin4 !$MinningDifficulty_bin4 !$MinningDifficulty_bin6 !$TransactionPerDay_bin8 !$TransactionFee_bin4 !$TransactionVolume_USD_bin3) 
0.5,0.7,0.81,0.6,0.4,0.43,and(or($HashRate_bin3 !$MinningDifficulty_bin6) or(!$MinningDifficulty_bin3 $TransactionFee_bin3) !$MinningDifficulty_bin4 !$TransactionPerDay_bin8 !$TransactionFee_bin4 !$TransactionVolume_USD_bin3) 
0.55,0.7,0.77,0.6,0.4,0.43,and(or($BlockSize_bin7 !$MinningDifficulty_bin6) !$GoldPrice_bin4 !$TransactionPerDay_bin8 !$TransactionFee_bin4 !$TransactionVolume_USD_bin3) 
0.55,0.7,0.77,0.6,0.4,0.43,and(or(!$GoldPrice_bin4 $MempoolCount_bin7) !$MinningDifficulty_bin6 !$TransactionPerDay_bin8 !$TransactionFee_bin4 !$TransactionVolume_USD_bin3) 
0.55,0.7,0.77,0.6,0.4,0.43,and(or(!$GoldPrice_bin4 $MempoolSize_bin1) !$MinningDifficulty_bin6 !$TransactionPerDay_bin8 !$TransactionFee_bin4 !$TransactionVolume_USD_bin3) 
0.55,0.7,0.77,0.6,0.4,0.43,and(or(!$GoldPrice_bin4 $MempoolSize_bin7) !$MinningDifficulty_bin6 !$TransactionPerDay_bin8 !$TransactionFee_bin4 !$TransactionVolume_USD_bin3) 
