training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.79,0.88,1.0,0.33,0.57,0.44,and(or(and($GoldPrice_bin0 $TransactionVolume_USD_bin2) and(!$TransactionPerDay_bin2 !$TransactionPerDay_bin7 !$TransactionFee_bin0 $TransactionFee_bin1 !$TransactionVolume_USD_bin2)) !$BlockSize_bin8) 
0.79,0.88,1.0,0.58,0.47,0.39,and(or(and($GoldPrice_bin0 $TransactionVolume_USD_bin2) and(!$TransactionPerDay_bin2 !$TransactionPerDay_bin7 !$TransactionFee_bin0 !$TransactionVolume_USD_bin2) $TransactionVolume_USD_bin0) !$BlockSize_bin8) 
0.64,0.81,1.0,0.67,0.43,0.38,and(or(and($GoldPrice_bin0 $TransactionVolume_USD_bin2) and(!$TransactionPerDay_bin2 !$TransactionPerDay_bin7 !$TransactionFee_bin0 !$TransactionVolume_USD_bin2) $TransactionVolume_USD_bin0) !$MempoolSize_bin7) 
0.79,0.88,1.0,0.58,0.47,0.39,and(or(and($GoldPrice_bin0 $TransactionVolume_USD_bin2) and(!$TransactionPerDay_bin2 !$TransactionPerDay_bin7 $TransactionFee_bin1 !$TransactionVolume_USD_bin2) $TransactionVolume_USD_bin0) !$BlockSize_bin8) 
0.79,0.88,1.0,0.58,0.47,0.39,and(or(and($GoldPrice_bin0 $TransactionVolume_USD_bin2) and(!$TransactionPerDay_bin2 !$TransactionPerDay_bin7 !$TransactionFee_bin0 $TransactionFee_bin1 !$TransactionVolume_USD_bin2) $TransactionVolume_USD_bin0) !$BlockSize_bin8) 
0.64,0.81,1.0,0.67,0.43,0.38,and(or(and($GoldPrice_bin0 $TransactionVolume_USD_bin2) and(!$TransactionPerDay_bin2 !$TransactionPerDay_bin7 !$TransactionFee_bin0 $TransactionFee_bin1 !$TransactionVolume_USD_bin2) $TransactionVolume_USD_bin0) !$MempoolSize_bin7) 
0.79,0.88,1.0,0.33,0.57,0.44,and(or(and($GoldPrice_bin0 $TransactionVolume_USD_bin2) and(!$TransactionPerDay_bin2 !$TransactionPerDay_bin7 !$TransactionFee_bin0 $TransactionFee_bin1 !$TransactionVolume_USD_bin2) and($TransactionFee_bin1 $TransactionVolume_USD_bin0)) !$BlockSize_bin8) 
0.79,0.85,0.92,0.42,0.53,0.42,or(and($GoldPrice_bin0 $TransactionVolume_USD_bin2) and(!$TransactionPerDay_bin2 !$TransactionPerDay_bin7 !$TransactionFee_bin0 !$TransactionVolume_USD_bin2)) 
0.79,0.85,0.92,0.42,0.53,0.42,or(and($GoldPrice_bin0 $TransactionVolume_USD_bin2) and(!$TransactionPerDay_bin2 !$TransactionPerDay_bin7 $TransactionFee_bin1 !$TransactionVolume_USD_bin2)) 
0.5,0.69,0.88,0.42,0.53,0.42,and(!$TransactionPerDay_bin2 !$TransactionPerDay_bin7 !$TransactionFee_bin0 !$TransactionVolume_USD_bin2) 
