training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.41,0.57,1.0,0.23,0.27,0.75,or($TransactionVolume_USD_bin1 $TransactionVolume_USD_bin5) 
0.47,0.57,0.89,0.38,0.4,0.83,and(!$TransactionFee_bin0 !$TransactionVolume_USD_bin4) 
0.35,0.52,1.0,0.08,0.2,1.0,$TransactionVolume_USD_bin1 
0.88,0.78,0.83,0.88,0.77,0.85,!$TransactionVolume_USD_bin4 
0.88,0.78,0.83,0.73,0.67,0.86,and(!$TransactionVolume_USD_bin4 !$TransactionVolume_USD_bin6) 
0.59,0.61,0.83,0.54,0.5,0.82,or($TransactionPerDay_bin2 !$TransactionFee_bin0) 
0.47,0.52,0.8,0.46,0.47,0.86,!$TransactionFee_bin0 
0.47,0.52,0.8,0.46,0.47,0.86,$TransactionFee_bin1 
0.76,0.7,0.81,0.81,0.73,0.88,and(!$TransactionPerDay_bin2 !$TransactionVolume_USD_bin4) 
0.76,0.7,0.81,0.77,0.7,0.87,and(!$TransactionPerDay_bin5 !$TransactionVolume_USD_bin0) 
