training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
1.0,0.88,0.63,0.08,0.37,0.11,or($BlockSize_bin7 $GoldPrice_bin4 $MempoolSize_bin3) 
1.0,0.92,0.71,0.08,0.37,0.11,or(and(or($BlockSize_bin1 !$MempoolCount_bin8) $GTrends_bin0 $MempoolSize_bin3 !$MinningDifficulty_bin4) $BlockSize_bin7 $GoldPrice_bin4) 
1.0,0.92,0.71,0.08,0.37,0.11,or(and(or($BlockSize_bin1 !$MempoolCount_bin8) !$GTrends_bin1 $MempoolSize_bin3 !$MinningDifficulty_bin4) $BlockSize_bin7 $GoldPrice_bin4) 
1.0,0.92,0.71,0.08,0.37,0.11,and(or(and(or($BlockSize_bin1 !$MempoolCount_bin8) $MempoolSize_bin3 !$MinningDifficulty_bin4) $BlockSize_bin7 $GoldPrice_bin4) !$GTrends_bin1) 
1.0,0.88,0.63,0.08,0.37,0.11,or(and(!$BlockSize_bin4 $GoldPrice_bin4) $BlockSize_bin7 $MempoolSize_bin3) 
1.0,0.88,0.63,0.08,0.37,0.11,or(and($GoldPrice_bin4 !$HashRate_bin7) $BlockSize_bin7 $MempoolSize_bin3) 
1.0,0.88,0.63,0.08,0.37,0.11,or(and(!$MempoolCount_bin8 $MempoolSize_bin3) $BlockSize_bin7 $GoldPrice_bin4) 
1.0,0.88,0.63,0.08,0.37,0.11,or(and($MempoolSize_bin3 !$MinningDifficulty_bin4) $BlockSize_bin7 $GoldPrice_bin4) 
1.0,0.88,0.63,0.08,0.37,0.11,or(and(or($GoldPrice_bin4 $MempoolSize_bin3) !$MinningDifficulty_bin4) $BlockSize_bin7) 
1.0,0.88,0.63,0.08,0.47,0.17,or(and(or($MempoolSize_bin3 $TransactionPerDay_bin7) !$MinningDifficulty_bin4) $BlockSize_bin7) 
