training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.45,0.61,1.0,0.13,0.5,0.67,and(or(and(!$BlockSize_bin4 $MinningDifficulty_bin2 !$TransactionPerDay_bin6 !$TransactionPerDay_bin7) $TransactionPerDay_bin2) !$MempoolCount_bin1 !$MempoolCount_bin6) 
0.45,0.61,1.0,0.13,0.5,0.67,and(or(and(!$BlockSize_bin4 $MinningDifficulty_bin2 !$TransactionPerDay_bin6) and(!$MempoolSize_bin1 $TransactionPerDay_bin2)) !$MempoolCount_bin1 !$MempoolCount_bin6) 
0.45,0.61,1.0,0.13,0.5,0.67,and(or(and(or(!$BlockSize_bin4 $MempoolSize_bin1) $MinningDifficulty_bin2 !$TransactionPerDay_bin6 !$TransactionPerDay_bin7) $TransactionPerDay_bin2) !$MempoolCount_bin1 !$MempoolCount_bin6) 
0.45,0.61,1.0,0.13,0.5,0.67,and(or(and(!$BlockSize_bin4 $MinningDifficulty_bin2 !$TransactionPerDay_bin6 !$TransactionPerDay_bin7) and(!$MempoolSize_bin1 $TransactionPerDay_bin2)) !$MempoolCount_bin1 !$MempoolCount_bin6) 
0.45,0.61,1.0,0.13,0.5,0.67,and(or(and(or(!$BlockSize_bin4 $MempoolSize_bin1) $MinningDifficulty_bin2 !$TransactionPerDay_bin6) and(!$MempoolSize_bin1 $TransactionPerDay_bin2)) !$MempoolCount_bin1 !$MempoolCount_bin6) 
0.55,0.68,1.0,0.19,0.53,0.75,and(or(and(!$BlockSize_bin4 $MinningDifficulty_bin2 !$TransactionPerDay_bin4 !$TransactionPerDay_bin6 !$TransactionPerDay_bin7) $GoldPrice_bin3 $TransactionPerDay_bin2) !$MempoolCount_bin1 !$MempoolCount_bin6) 
0.55,0.68,1.0,0.19,0.53,0.75,and(or(and(!$BlockSize_bin4 $MinningDifficulty_bin2 !$TransactionPerDay_bin4 !$TransactionPerDay_bin6) and(!$MempoolSize_bin1 $TransactionPerDay_bin2) $GoldPrice_bin3) !$MempoolCount_bin1 !$MempoolCount_bin6) 
0.6,0.71,1.0,0.19,0.53,0.75,and(or(and(!$BlockSize_bin4 $MinningDifficulty_bin2 !$TransactionPerDay_bin6 !$TransactionPerDay_bin7) and(!$MempoolSize_bin1 $TransactionPerDay_bin2) $GoldPrice_bin3) !$MempoolCount_bin1 !$MempoolCount_bin6) 
0.45,0.61,1.0,0.13,0.5,0.67,and(or(and(or(!$BlockSize_bin4 $MempoolSize_bin1) $MinningDifficulty_bin2 !$TransactionPerDay_bin6 !$TransactionPerDay_bin7) and(!$MempoolSize_bin1 $TransactionPerDay_bin2)) !$MempoolCount_bin1 !$MempoolCount_bin6) 
0.4,0.57,1.0,0.13,0.5,0.67,and(or(and(!$BlockSize_bin4 $MinningDifficulty_bin2 !$TransactionPerDay_bin4 !$TransactionPerDay_bin6) $TransactionPerDay_bin2) !$MempoolCount_bin1 !$MempoolCount_bin6) 
