training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.47,0.65,0.89,0.25,0.47,0.83,and(or($MinningDifficulty_bin4 $TransactionFee_bin0) !$GoldPrice_bin3 !$MempoolCount_bin4 !$MinningDifficulty_bin8) 
0.45,0.64,0.89,0.5,0.57,0.77,and(or($MinningDifficulty_bin4 $TransactionFee_bin0) !$GoldPrice_bin3 !$MempoolSize_bin3 !$MempoolSize_bin4) 
0.45,0.64,0.9,0.3,0.53,1.0,and(or($MinningDifficulty_bin4 $TransactionFee_bin0) !$HashRate_bin8 !$MempoolSize_bin2 !$MempoolSize_bin3 !$MempoolSize_bin4) 
0.45,0.64,0.9,0.25,0.5,1.0,and(or($MinningDifficulty_bin4 $TransactionFee_bin0) !$MempoolCount_bin2 !$MempoolSize_bin3 !$MempoolSize_bin4 !$MinningDifficulty_bin8) 
0.45,0.64,0.9,0.25,0.5,1.0,and(or($MinningDifficulty_bin4 $TransactionFee_bin0) !$MempoolSize_bin2 !$MempoolSize_bin3 !$MempoolSize_bin4 !$MinningDifficulty_bin8) 
0.51,0.67,0.9,0.25,0.47,0.83,and(or($MarketCap_bin0 !$MempoolCount_bin4) or($MinningDifficulty_bin4 $TransactionFee_bin0) !$GoldPrice_bin3 !$MinningDifficulty_bin8) 
0.45,0.66,0.94,0.45,0.6,0.9,and(or($MinningDifficulty_bin4 $TransactionFee_bin0) !$GoldPrice_bin3 !$HashRate_bin8 !$MempoolSize_bin3 !$MempoolSize_bin4) 
0.45,0.66,0.94,0.25,0.5,1.0,and(or($MinningDifficulty_bin4 $TransactionFee_bin0) !$GoldPrice_bin3 !$MempoolSize_bin3 !$MempoolSize_bin4 !$MinningDifficulty_bin8) 
0.47,0.65,0.89,0.25,0.47,0.83,and(or($MinningDifficulty_bin2 $MinningDifficulty_bin4 $TransactionFee_bin0) !$GoldPrice_bin3 !$MempoolCount_bin4 !$MinningDifficulty_bin8) 
0.47,0.65,0.89,0.25,0.47,0.83,and(or($MinningDifficulty_bin4 $TransactionFee_bin0 !$TransactionFee_bin1) !$GoldPrice_bin3 !$MempoolCount_bin4 !$MinningDifficulty_bin8) 
