training_recall,training_accuracy,training_precision,test_recall,test_accuracy,test_precision,program
0.67,0.83,1.0,0.67,0.43,0.45,and(or(and($HashRate_bin7 $TransactionPerDay_bin6) $HashRate_bin6 $TransactionPerDay_bin4 !$TransactionVolume_USD_bin1) !$HashRate_bin8) 
0.58,0.79,1.0,0.67,0.43,0.45,and(or(and($HashRate_bin7 $TransactionPerDay_bin6) $HashRate_bin6 $TransactionPerDay_bin4 !$TransactionVolume_USD_bin1) !$BlockSize_bin9 !$HashRate_bin8) 
0.67,0.79,0.89,0.73,0.47,0.48,and(or(and($HashRate_bin7 $TransactionPerDay_bin6) $HashRate_bin6 $TransactionPerDay_bin4 !$TransactionVolume_USD_bin1) !$MempoolCount_bin6) 
0.67,0.79,0.89,0.73,0.47,0.48,and(or(and($HashRate_bin7 $TransactionPerDay_bin6) $HashRate_bin6 $TransactionPerDay_bin4 !$TransactionVolume_USD_bin1) !$MempoolSize_bin6) 
0.58,0.75,0.88,0.6,0.43,0.45,and(or(and($HashRate_bin7 $TransactionPerDay_bin6) $HashRate_bin6 $TransactionPerDay_bin4 !$TransactionVolume_USD_bin1) !$BlockSize_bin0) 
0.58,0.75,0.88,0.67,0.43,0.45,and(or(and($HashRate_bin7 $TransactionPerDay_bin6) $HashRate_bin6 $TransactionPerDay_bin4 !$TransactionVolume_USD_bin1) !$TransactionPerDay_bin2) 
0.67,0.79,0.89,0.73,0.43,0.46,and(or(and($HashRate_bin7 $TransactionPerDay_bin6) $HashRate_bin6 $TransactionPerDay_bin4 !$TransactionVolume_USD_bin1) or(!$MarketCap_bin2 !$TransactionPerDay_bin2)) 
0.67,0.79,0.89,0.6,0.43,0.45,and(or(and($HashRate_bin7 $TransactionPerDay_bin6) $HashRate_bin6 $TransactionPerDay_bin4 !$TransactionVolume_USD_bin1) or(!$BlockSize_bin0 $TransactionVolume_USD_bin1)) 
0.67,0.79,0.89,0.67,0.43,0.45,and(or(and($HashRate_bin7 $TransactionPerDay_bin6) $HashRate_bin6 $TransactionPerDay_bin4 !$TransactionVolume_USD_bin1) or(!$HashRate_bin8 $TransactionPerDay_bin2)) 
0.67,0.75,0.8,0.73,0.43,0.46,or($HashRate_bin6 $TransactionPerDay_bin4 !$TransactionVolume_USD_bin1) 
